dict	l_id	k1	predicted	reason	plain_excerpt	gold	notes
bhs	12146	mudrA	encyclopedic	desc_tok=171_char=1190	(in these mgs. not in Skt. ), ( 1 ) (= Pali muddā, acc. to PTSD art of calculation ; assoc. with gaṇanā; acc. to DN comm. 〔i.95.19〕 hattha-muddā-gaṇanā, cf. Tib. below, while gaṇanā is acchiddaka-( q.v. CPD )-gaṇanā), some method of calcula		
bhs	10422	praBeda	encyclopedic	desc_tok=19_char=152	, m. , ( 1 ) ten thousand : Mvy 〔7993〕 ( mg. proved by position and Tib. khri ); ( 2 ) analysis, solution (of questions): praśna-˚da-kuśalaś SP 〔340.2〕.		
bhs	10314	pratyottareRa	encyclopedic	desc_tok=35_char=267	, adv. , after (with prec. gen. ; cf. ottareṇa , also preceded by Dīpaṃkarasya): (Dīpaṃkarasya tathāgatasya) pratyottareṇa (all mss. ; Senart em. tasyott˚, but tasya is implausible in this position) Mv 〔i.2.2〕, after D. Em. to *pratyuttareṇ		
bhs	16555	sarvotuka	encyclopedic	desc_tok=42_char=334	, or ˚duka , adj. (〔§ 3.92〕; semi- MIndic for Skt. sarvartuka; see sarvārtuka ; = Pali sabbotuka, AMg. savvouya, savvottuya), of all seasons : ˚tukāni ( mss. sarvodakāni; with puṣpāṇi) Mv 〔iii.69.12, 13〕; (puṣpāṇi …) sarvotuka-(so Senart em		
bhs	3581	udyAna	encyclopedic	desc_tok=145_char=922	(in Skt. nt. , park , and so Pali uyyāna), ( 1 ) park , as m. (? with m. form of pron. ): udyāna sarve ( n. pl. ) LV 〔231.1〕 ( vs ); ( 2 ) advance (of an army), one of the arts mastered by the young Bodhisattva: LV 〔156.12〕 udyāne ( Tib. md		
bhs	13498	vAdirAj	encyclopedic	desc_tok=10_char=67	, a name or form of Mañjuśrī: ˚rāḍ-Mañjuśrīrūpaṃ Sādh 〔104.5〕; etc.		
bhs	13835	viDamanaka	encyclopedic	desc_tok=21_char=123	( nt. or m. ; cf. prec. ), bellows : ˚kena vā (in series of methods of producing wind) Śikṣ 〔249.2〕; so acc. to Tib. sbud .		
bhs	11234	BAziRikA	residual	crossref_short	, see bhās˚ .		
bhs	441	aDimucyanA	residual	crossref	= prec. , q.v. : Sūtrāl. 〔xi.61〕.		
bhs	7382	durAkAra	residual	crossref_short	, see ākāra .		
bhs	8523	niSCavIkftvA	residual	crossref_short	, see nicchavi˚ .		
bhs	10687	prAtihArapakza	residual	crossref	= prec. , q.v.		
bhs	10133	pratiSamayati	residual	crossref	= pratiśām˚ , q.v.		
bhs	12722	raSami	residual	crossref	= next, 〔§ 3.101〕, m.c. : raśami-śata- LV 〔357.3〕 ( vs ); best mss. rasami-, others raśmi-, metr. inferior.		
bhs	14725	vyutKaRqaSaH	residual	crossref	= vyutkaṇṭhaśaḥ , q.v. : Prāt 〔532.11〕; acc. to Chin. , picking out the best morsels (to Skt. khaṇḍa).		
bur	12693	BasUcaka	synonym	syn_list_n=2	bhasūcaka m. (bha étoile) astronome, astrologue.		
bur	1202	aBisUcita	synonym	syn_list_n=2	abhisūcita pp. (sūc) montré, manifesté.		
bur	1790	aSEkza	synonym	syn_list_n=3	aśaikṣa a. (a priv. ) Bd. qui n'est plus éleve; qui est maître, et même arhat .		
bur	1471	al	synonym	syn_list_n=6	al. alāmi, ale 1; p. āla; a1. āliṣam; pp. alita. Orner. -- Contenir, empêcher. Suffire.		
bur	12544	bukk	synonym	syn_list_n=5	bukk. bukkāmi 1 et bukkayāmi 10. Aboyer, hurler, rugir, braire, etc. Parler.		
bur	11387	pyuzyAmi	synonym	syn_list_n=6	pyuṣyāmi 4 (api; uṣ) . Brûler. Diviser, partager, distribuer. pyoṣayāmi 10. Envoyer, lancer; rejeter.		
bur	14984	vAYC	synonym	syn_list_n=3	vāñch. vāñchāmi, vāñche 1. Désirer; angl. wish. Cf. kāṅkṣ.		
bur	13820	yAsayAmi	synonym	syn_list_n=3	yāsayāmi; pqp. ayīyasam; c. de yas.		
bur	6850	Cad	equivalent	short_tok=3	chad (?) pour chand.		
bur	844	anvIta	equivalent	short_tok=3	anvīta comme anvita.		
bur	9736	nikrAmAmi	equivalent	short_tok=5	nikrāmāmi (kram) fouler aux pieds.		
bur	11478	prajapAmi	equivalent	short_tok=6	prajapāmi (jap) réciter à voix basse.		
bur	17637	samaBijAye	equivalent	short_tok=4	samabhijāye (jan) naître.		
bur	17919	sampariBarAmi	equivalent	short_tok=4	samparibharāmi (bhṛ) mépriser.		
bur	17540	sannimantraye	equivalent	short_tok=3	sannimantraye (mantra) inviter.		
bur	15370	vitfzyAmi	equivalent	short_tok=4	vitṛṣyāmi (tṛṣ) avoir soif.		
bur	16666	SAkamBarI	encyclopedic	desc_tok=17_char=93	śākambharī f. Durgā . Np. de ville. śākambharīya n. sel extrait d'un lac près de Śākambharī .		
bur	6565	cikasizAmi	encyclopedic	desc_tok=5_char=25	cikasiṣāmi dés. de kas 1.		
bur	9657	nAgoda	encyclopedic	desc_tok=10_char=54	nāgoda et nāgodara n. esp. de cuirasse ou de plastron.		
bur	10015	niryUha	encyclopedic	desc_tok=24_char=155	niryūha m. extrait, décoction (?) . Aigrette, guirlande, ornement de tête. Console ou pendoir fixé contre un mur; console ou tablette de pigeonnier. Porte.		
bur	14043	rANkala	encyclopedic	desc_tok=4_char=17	rāṅkala m. épine.		
bur	15342	viqAla	encyclopedic	desc_tok=23_char=133	viḍāla m. chat. viḍālaka m. chat. Collyre pour les yeux malades. -- N. orpiment jaune. viḍālapada m. poids de 16 māṣas ou d'un karṣa.		
bur	13824	yiyasizAmi	encyclopedic	desc_tok=5_char=23	yiyasiṣāmi dés. de yas.		
bur	17226	zoqaSan	encyclopedic	desc_tok=35_char=199	ṣoḍaśan a. (ṣaṣ; daśan) seize; lat. sedecim. ṣoḍaśāṅghri m. (aṅghri) crabe. ṣoḍaśārcis m. (arcis) la planète Vénus. ṣoḍaśāvarta m. (ā; vṛt) conque [à 16 spires]. ṣoḍaśāṃśu m. (aṃśu) la planète Vénus.		
bur	1043.1	aBAva	residual	crossref	Lbody=1043		
cae	22115	bila	synonym	syn_list_n=4	n. cleft, hollow, cavern, den.		
cae	10359	caraRyu	synonym	syn_list_n=2	a. moving, movable.		
cae	7554	kAmyA	synonym	syn_list_n=3	f. wish, desire, striving after ( gen. or —˚).		
cae	20026	pOroBAgya	synonym	syn_list_n=2	n. envy, malevolence.		
cae	20839	prayARa	synonym	syn_list_n=7	n. setting out, starting, going forth; journey, march; onset, beginning.		
cae	38437	sTaRqila	synonym	syn_list_n=4	a. levelled piece of ground prepared for a sacrifice, place, spot, ground i.g.		
cae	35402	samidDi	synonym	syn_list_n=2	f. burning, flaming.		
cae	28913	vArimuc	synonym	syn_list_n=2	a. discharging water; m. cloud.		
cae	32919	SuzRa	equivalent	name_formula	m. N. of a demon slain by Indra.		
cae	33602	SvetASvatara	equivalent	name_formula	m. N. of a teacher, pl. his school.		
cae	39372	haridra	equivalent	name_formula	m. the yellow sandal tree; f. A turmeric, N. of a river.		
cae	6927	kaTaMjAtIyaka	equivalent	short_tok=4	a. of what kind?		
cae	24287	mahABoja	equivalent	name_formula	m. great prince, N. of a king.		
cae	18757	pARini	equivalent	name_formula	m. N. of a celebrated grammarian.		
cae	37438	subanDu	equivalent	name_formula	a. closely connected, related; m. a good friend, N. of a poet etc.		
cae	12310	tiniSa	equivalent	name_formula	m. N. of a tree.		
cae	5137	Izatkara	encyclopedic	desc_tok=5_char=19	a. easy to be done.		
cae	3521	aSman	encyclopedic	desc_tok=2_char=9	m. eater.		
cae	3358	avivikta	encyclopedic	desc_tok=2_char=19	a. undiscriminated.		
cae	26690	rasAntaravid	encyclopedic	desc_tok=5_char=32	a. knowing the different tastes.		
cae	36227	sahanIya	encyclopedic	desc_tok=6_char=29	a. to be endured or pardoned.		
cae	35789	sarovara	encyclopedic	desc_tok=4_char=20	n. a beautiful lake.		
cae	37071	suKopavizwa	encyclopedic	desc_tok=2_char=15	a. = suKAsIna .		
cae	5985	uBayaTA	encyclopedic	desc_tok=6_char=27	adv. in both ways or cases.		
cae	9987	Ganasamaya	residual	eqn_head	m. = GanakAla .		
cae	23493	maRibanDana	residual	eqn_head	n. = prec. , also string or ornament of pearls.		
cae	25512	mlit	residual	crossref	= mrit .		
cae	16356	nitambinI	residual	eqn_head	f. = nitambavatI .		
cae	19753	pUrvapeya	residual	eqn_head	n. = pUrvapAyya .		
cae	18397	parisyanda	residual	eqn_head	m. = parizyanda .		
cae	20453	pratiSruti	residual	eqn_head	f. = prec. ; echo, resonance.		
cae	25522	yaka	residual	crossref	= ya/ who, which.		
ccs	17322	BAmita	synonym	syn_list_n=2	grimmig, zornig.		
ccs	627	aDoBAga	synonym	syn_list_n=2	m. unterer Teil, Unterleib.		
ccs	9546	dAtar	synonym	syn_list_n=10	u. dAta/r gebend (bes. zur Ehe) schenkend, abtretend, zahlend gewähnrend, mitteilend, lehrend, bewirkend, veranstaltend; m. Geber, Schenker.		
ccs	5204	kUwavAgurA	synonym	syn_list_n=2	f. Fallstrick, Schlinge*		
ccs	12242	nirGfRa	synonym	syn_list_n=4	mitleidlos, grausam; n. adv. Abstr. ˚tA f. , ˚tva n.		
ccs	19987	rakzitavya	synonym	syn_list_n=3	zu hüten, zu bewahren, zu schonen.		
ccs	27145	sahIyaMs	synonym	syn_list_n=2	(Compar.) gewaltiger, stärker.		
ccs	22253	vicitra	synonym	syn_list_n=7	mannigfaltig, bunt; seltsam, wunderbar, prächtig, schön; n. adv. Abstr. ˚tA f.		
ccs	957	anunAsika	equivalent	short_tok=1	nasal.		
ccs	6394	gokAma	equivalent	short_tok=2	Rinder begehrend.		
ccs	12404	nirvfkza	equivalent	short_tok=1	baumlos.		
ccs	13105	paWitasidDa	equivalent	short_tok=4	schon beim Hersagen wirksam.		
ccs	15256	pratawa	equivalent	short_tok=3	ein hohes Ufer.		
ccs	27885	suputra	equivalent	short_tok=4	treffliche Söhne habend.		
ccs	21272	vanacaravftti	equivalent	short_tok=5	wie ein Wäldler lebend.*		
ccs	23761	vyasi	equivalent	short_tok=2	ohne Schwert.		
ccs	7431	janmAntara	encyclopedic	desc_tok=10_char=68	n. ein anderes (vergangenes o. zukünftiges) Leben. ˚gata neugeboren.		
ccs	7430	janmasTAna	encyclopedic	desc_tok=2_char=8	n. dass.		
ccs	5485	kOlUta	encyclopedic	desc_tok=3_char=17	m. pl. Volksname.		
ccs	15067	pOrta	encyclopedic	desc_tok=6_char=39	mit karman n. ein verdienstliches Werk.		
ccs	14527	putrin	encyclopedic	desc_tok=3_char=20	f. ˚RI = putravant .		
ccs	28422	somamada	encyclopedic	desc_tok=2_char=14	m. Somarausch.		
ccs	28223	suhfttA	encyclopedic	desc_tok=4_char=27	f. , ˚ttva n. Freundschaft.		
ccs	8970	trAyati	encyclopedic	desc_tok=4_char=20	das Verbum trA (g.).		
ccs	25009	SElatanayA	residual	eqn_head	f. = SElakanyA .		
ccs	24734	SItasaMsparSa	residual	crossref	= SItalasparSa .		
ccs	612	aDIk	residual	crossref	= aDi +i (g.)		
ccs	12221	nirupaplava	residual	crossref	= nirupadrava .		
ccs	25780	saMgamamaRi	residual	eqn_head	m. = vor. m.		
ccs	26249	saptadvIpavant	residual	crossref	= vor. Adj.; f. ˚vatI = vor. f.		
ccs	28011	suracApa	residual	eqn_head	m. = surAkArmuka .		
ccs	19558	yaTArTita	residual	crossref	= yaTAByarTita .		
gra	3139	GAsi	synonym	syn_list_n=3	m. , Futter, Speise [von ghas]. -ím 162,14 (jaghā́sa).		
gra	2273	e	synonym	syn_list_n=6	Deutestamm [verwandt mit den Stämmen a, i] von hinweisender Bedeutung, enthalten in éka, etá, ená, evá.		
gra	6502	maGavat	synonym	syn_list_n=4	a. , Nebenform von maghávan ( s. d. ) in den Formen. -an, -adbhis, -adbhyas, -attama.		
gra	6675.1	mar	synonym	syn_list_n=6	schimmern, funkeln [ gr. μαρμαίρω , vgl. Ku. Zeitschr. 〔16,161 fg.〕 ]; davon marút, márīci.		
gra	5395	paScAddaGvan	synonym	syn_list_n=3	a. , zurückbleibend, zu kurz kommend [von paścā́t und daghvan von dagh], enthalten in ápaścāddaghvan.		
gra	6081	priyasa	synonym	syn_list_n=3	a. , erwünschtes gebend, mit Acc. -ā́sas priyā́ 809,38 .		
gra	7246	raRyajit	synonym	syn_list_n=4	a. , erfreuliches [ráṇya] erbeutend [jít von ji]. -ít (sómas) 771,1 neben gojít, aśvajít, viśvajít.		
gra	9973	suvipra	synonym	syn_list_n=3	a. , ernstlich betend, Beter . -as utá śáṇstā 〰 162,5 .		
gra	11296	i	equivalent	short_tok=1	197,2.b: 226,3		
gra	11067	izaRay	equivalent	short_tok=3	226,1: iṣaṇay st. isaṇay		
gra	12301	kzumat	equivalent	short_tok=3	-ántam vā́jam 195,8 .		
gra	12508	raRvasaMdfS	equivalent	short_tok=2	-ṛ́k 295,5 ; 517,21 .		
gra	11199	rap	equivalent	short_tok=1	1146,2: 174,7 st. 174,6		
gra	12699	stotf	equivalent	short_tok=1	-ré 669,6 ; 732,7 ; 733,2 ; 752,5 ; 757,6 ; 774,30 ; 778,27 ; 779,19 ; 784,8 ; 809,6 ; 982,5 .		
gra	11119	tanti	equivalent	short_tok=3	521,2: -áyas st. -ayas		
gra	11196	yuvAku	equivalent	short_tok=4	1124,5: yuvā́ku st. yuvākú		
gra	4690	DArAvara	encyclopedic	desc_tok=12_char=75	a. , Regengüsse [ 1. dhārā] liebend [vará lieb]. -ā́s [ m. ] 225,1 marútas.		
gra	10677	hiraRyaparRa	encyclopedic	desc_tok=9_char=62	a. , goldene Federn [parṇá] habend . -ās haṃsā́sas vām 341,4 .		
gra	3467	jA	encyclopedic	desc_tok=41_char=280	a. , m. , f. [von jan], 1〉 a. , geboren, geartet, in Zusammensetzungen apsu-jā́ u. s. w. ; 2〉 m. , f. , Kind; 3〉 f. , Geschöpf, Wesen . -ā́s [ N. s. ] 2〉 sū́ryasya 805,1 . -ā́m 2〉 pitúr 801,2 ; 829,2 . -ā́s [ A. p. ] 2〉 143,8 (nas). — 3〉 48		
gra	2419	kaparda	encyclopedic	desc_tok=31_char=199	m. , eine gewundene kleine Muschel, dann die in Form einer solchen aufgewundene Haarflechte, in der letzten Bedeutung enthalten in cátuṣkaparda, dakṣiṇatás-kaparda, und zu Grunde liegend in kapardín.		
gra	2591	kutra	encyclopedic	desc_tok=16_char=103	[vom Stamme kú], 1〉 wo? wohin? 2〉 kútrā cid, wo es auch sei: 361,2 ; 444,3 ; wohin es auch sei: 585,2 .		
gra	5443	pArayizRu	encyclopedic	desc_tok=12_char=79	a. , hinübertragend, rettend [ v. par Caus. ]. -úas [ N. pl. f. ] áśvās 923,3 .		
gra	12515	rA	encyclopedic	desc_tok=9_char=61	9〉 auch ohne Dat. ; Aor. rā́sa: -at 3〉 379,1 ; vā́jān 491,6 .		
gra	11204	rE	encyclopedic	desc_tok=6_char=26	1184,10.b: śíkṣa st. cíkṣa		
gra	119.1	aGaaSva	residual	crossref	Lbody=119		
gra	10.1	aMsia	residual	crossref	Lbody=10		
gra	484.1	anindia	residual	crossref	Lbody=484		
gra	679.1	apIcia	residual	crossref	Lbody=679		
gra	12408	dakziRa	residual	citation_only	-ām 933,7 .		
gra	1700.1	idDaagni	residual	crossref	Lbody=1700		
gra	1742	indrAvat	residual	crossref	siehe índravat.		
gra	11325.1	tir	residual	crossref	Lbody=11325		
md	2268	aBivyakta	synonym	syn_list_n=5	abhi-vi‿akta, pp. √ añj: -m, ad. 🞄plainly; -vyakti, f. manifestation.		
md	2890	avidya	synonym	syn_list_n=5	a-vidya, a. uncultured; destitute 🞄of knowledge; ā, f. ignorance.		
md	6957	gAlana	synonym	syn_list_n=3	gālana, n. straining, clarifying.		
md	11892	pfkza	synonym	syn_list_n=6	pṛkṣ-á, a. spotted, dappled; or according 🞄to the commentators , furnished with 🞄nourishment; m. dappled horse; N. .		
md	18713	sanaSruta	synonym	syn_list_n=4	sána-śruta, pp. long known, famed 🞄of old ( RV. ); m. N. ( Br. ).		
md	8370	tanUnapAt	synonym	syn_list_n=6	tánū-nápāt, m. son of himself, ep. 🞄 of Agni; fire; -naptṛ, m. id. .		
md	8480	tavIyas	synonym	syn_list_n=3	táv-īyas, tavyas táv-yas, cpv. of tavas.		
md	4644	unmeza	synonym	syn_list_n=5	un-meṣa, m. opening the eyes; quivering 🞄( of lightining ); opening ( of a bud ); appearance.		
md	17633	SalAtura	equivalent	name_formula	śalātura, N. of Pāṇiniʼs birthplace .		
md	18321	SroRa	equivalent	name_formula	śroṇá, a. lame ( RV. ): ā́, f. N. of the 🞄20th (21st) lunar asterism (= śravaṇā; V. , P. ).		
md	8181	jyotsnikA	equivalent	name_formula	jyotsn-ikā, f. N. of a singer .		
md	6617	kzemendra	equivalent	name_formula	kṣema‿indra, m. N. of several authors .		
md	15548	lahara	equivalent	name_formula	lahara, m. N. of a people ( pl. ); N. of 🞄a province in Cashmere ( now Lahal).		
md	14486	meDAtiTi	equivalent	name_formula	médha‿atithi, m. N. of a seer ; N. 🞄 of a commentator on Manu .		
md	16173	vAkovAkya	equivalent	name_formula	vāko-vākyâ, n. dialogue; N. of 🞄certain portions of Vedic tradition .		
md	16152	vasvOkasArA	equivalent	name_formula	vasu‿auka-sārā, f. N. of the 🞄city of Kubera.		
md	13384	Bedaka	encyclopedic	desc_tok=65_char=528	bheda-ka, a. breaking, — into or 🞄through, piercing; breaking down the dam 🞄of ( tanks ), diverting ( water-courses ); destroying 🞄( boundary-marks ); leading astray ( ministers ); 🞄discriminating, distinguishing; differentiating, 🞄determin		
md	555	aRyanta	encyclopedic	desc_tok=12_char=55	a-ṇi‿anta, a. not ending in the cs. 🞄 suffix i (= aya).		
md	2157	abDi	encyclopedic	desc_tok=21_char=116	ab-dhi, m. sea; -kanyā, f. Lakṣmī; 🞄 -jīvin, m. fisherman; -tanaya, m. du. the 🞄Aśvins; -tala, n. bottom of the sea.		
md	7650	cUqa	encyclopedic	desc_tok=39_char=232	cū́ḍa, m. ridge ( on bricks ); ceremony 🞄of tonsure ( performed on children ); ā, f. 🞄hair on the crown; tuft of hair left on the 🞄crown after the ceremony of tonsure ; ceremony 🞄of tonsure; crest, summit; a-ka, —˚ = 🞄cūḍā, tonsure.		
md	5043	fRa	encyclopedic	desc_tok=45_char=241	ṛ-ṇá, ( pp. ) a. guilty; n. obligation, 🞄debt; -ṃ dhāraya, owe ( ac. ) to ( g. ); -ṃ kṛ, 🞄borrow from ( ab. ); — pra-yam, — nī, — saṃ-nī, 🞄pay off a debt; -dā, id. ; lend to ( lc. ); — pra‿āp, 🞄incur a debt; — mṛgaya or yāc, ask for a 🞄loan		
md	7843	jana	encyclopedic	desc_tok=30_char=183	ján-a, m. creature; man; person; race, 🞄tribe; people, subjects; folks, -kind ( often 🞄 —˚ with coll. mg. ); low person; this person; 🞄 ayaṃ-, eṣa-, or asau-, = we, I, my lover 🞄here.		
md	19402	siD	encyclopedic	desc_tok=104_char=727	2. SIDH, Ⅳ. P. ( Ā. ) sidhya, V. , C. : 🞄be accomplished or fulfilled, succeed 🞄( ord. mg. ); C. : hit a mark ( lc. ); be valid or 🞄admissible; be cured ( rare ); result, follow, 🞄be proved or established; yield, to ( any one , 🞄 g. ); atta		
md	14663	yati	encyclopedic	desc_tok=11_char=45	1. yá-ti, a. pl. ( nm. ac. yáti ) as many as.		
mw	76081	Cupa	synonym	syn_list_n=3	air, wind, L.		
mw	263998	heti	synonym	syn_list_n=2	of an Asura , BhP.		
mw	45506	karmAra	synonym	syn_list_n=10	a blacksmith &c., RV. x, 72, 2 ; AV. iii, 5, 6 ; VS. ; Mn. iv, 215 &c.		
mw	59933	kzudrajAtIPala	synonym	syn_list_n=2	n. a kind of Myrobalan , L.		
mw	168455	mocayitf	synonym	syn_list_n=4	mfn. freeing, releasing, Kull. on Mn. viii, 342.		
mw	137884	prasAdana	synonym	syn_list_n=2	boiled rice, L.		
mw	36359	upasTAna	synonym	syn_list_n=5	staying upon or at, abiding, a place of abiding, abode, Nir.		
mw	189871	vAksaMvara	synonym	syn_list_n=3	m. restraint of sp˚ , caution in speaking, Lalit. ( w.r. vAkya-vara ).		
mw	151882.1	BUtapUrvam	equivalent	short_tok=2	ind. , formerly		
mw	19924.4	aSvapati	equivalent	short_tok=10	of a king of Madras and father of SāvitrI , MBh.		
mw	146543	braDnaSva	equivalent	name_formula	m. N. of a prince, MBh. ( w.r. for braDnA Sva or vaDry-aSva ?)		
mw	56135	keSari	equivalent	name_formula	m. (= ˚rin ), N. of the father of Hanumat , R. iv, 33, 14		
mw	60122	kzupa	equivalent	name_formula	N. of a mountain westward from Dvārakā , ib. 8950 ( v.l. a-kzaya )		
mw	130113	prakarzaka	equivalent	name_formula	m. ‘harasser, disquieter’, N. of the god of love, L.		
