eid	code	confidence	note
1138	1.5.1	2	write-in; Bignonia tree
1139	1.5.3	2	write-in; priyangu creeper
1167	1.5.3	1	write-in; plant per varga
1212	1.5.3	2	
1214	1.5.3	2	
1230	1.5.3	2	write-in; wild sugarcane grass
1247	1.5.1	2	write-in; plantain tree
1272	1.5.3	1	write-in; fragrant herb
1292	5.2.3.3.3	1	write-in; cinnamon bark spice
1305	1.5.3	2	sorrel plant
1316	1.5	1	write-in; kampilya dye plant
1317	1.5.3	2	
1349	1.5.3	2	bamboo
1355	1.5.3	1	write-in; balvaja grass, gloss missing
1392	1.6.2	2	porcupine quill
1403	1.6.1.1.3	1	write-in; AK deer sense, not demon
1409	1.6.1.1.3	2	rohita deer
1416	1.6.1.1.3	3	
1420	1.6.1.1.4	3	
1421	1.6.1.3.2	3	
1437	1.6.1.2	3	write-in; cataka bird
1475	1.6.1.7	3	
1512	4.2.1.5	2	
1516	1.6.6	2	flight of parrots
1526	2.6.5.2	2	write-in; young woman
1553	2.6.2.3	2	harlot
1581	4.5.4.3	1	write-in; maidservant sense
1582	2.6.2.3	2	courtesan
1661	4.1.9.1.3	2	write-in; elder brother
1670	8.2.2.3	3	
1709	2.5.2	2	write-in; abscess
1733	2.2	1	write-in; semen, no specific domain
1735	2.2.4	2	write-in; phlegm
1754	2.2.4	2	write-in; nasal mucus
1778	2.1.2	2	buttocks
1809	2.1.3.3	3	
1813	2.1.3.1	1	palm span of hand, AK body list
1822	2.1.3.1	2	elbow
1846	2.3.1.1	3	
1873	5.4.1	2	write-in; forehead ornament
1895	5.4.1	2	write-in; anklet, not goose
1896	5.4.1	2	write-in; bell girdle ornament
1917	5.3	2	write-in; cloth, garment
1932	5.4.5	2	write-in; unguent body-rubbing
1942	5.4.2	1	write-in; aloe-wood perfume
1954	5.4.2	1	write-in; red-sandal cosmetic dye
1982	4.1.9.8	3	write-in; family, lineage
2010	8.2.9.1	2	write-in; heavy
2023	3.2.2	1	novice student
2028	3.2.3	1	self-derived knowledge
2052	4.9.8	1	sacrificial fire
2060	4.9.3.1	1	write-in; ritual kindling verse
2061	3.5.4.4	2	write-in; Vedic metre
2097	4.9.5.3	2	write-in; worship
2102	3.5.1.1.5	3	write-in; silence
2114	2.2.3	2	write-in; saliva drop
2115	4.9.8	1	write-in; priest's ritual seat
2146	5.4.3.6	3	
2173	4.1.4.1	2	write-in; kshatriya caste
2184	4.9.7.1	2	write-in; family priest
2233	4.1.6	2	write-in; sowing dissension
2255	9.6.2.6	2	future consequence
2260	3.5.6	1	write-in; fly-whisk royal insignia
2280	1.6.6	2	elephant multitude
2338	7.2.4.1.1	2	write-in; litter, palanquin
2346	8.1.3.3	2	write-in; multitude of chariots
2366	8.1.1.1	2	thousand-fold
2372	4.8.3.7	2	armour under weapons
2434	7.7.2	3	
2443	6.7.8	2	sword hilt, handle
2456	8.6.6	2	write-in; corner, angle, edge
2462	4.8.3.6	1	write-in; army in motion
2492	2.5.6.4	2	write-in; fainting, stupor
2497	7.2.6.3	2	write-in; flight, running away
2513	2.5.7.2	2	
2550	6.2.9	2	write-in; vegetable field
2559	6.2.9	1	write-in; field sown per khari
2564	6.7.1.1	2	write-in; goad as poking tool
2567	6.7.5	2	yoke-tie
2589	1.5.3	2	flax
2590	5.2.5	1	hemp, bhang
2610	5.2.1.2.2	2	
2648	5.2.3.6	1	write-in; fermented gruel drink
2649	5.2.3.3.3	2	write-in; asafoetida seasoning
2661	5.2.3.4	2	write-in; curd-sugar-spice dish
2777	6.3.1.7	2	donkey
2782	6.8.4.3	2	price, hire, rent
2807	8.2.8	2	write-in; grain capacity measure
2810	8.2.8	1	write-in; load measure, AK context
2819	6.8.6	1	write-in; stamped coin, AK
2829	1.2.2.3	3	write-in; copper
2849	1.2.2.4	2	write-in; vermilion pigment
