token	freq	section	status	bucket	cls	ru_proposed	citation	note	classified_by
fgg.	110	meaning / designation / usage labels	rule-bulk	b	нем	сл.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
fg.	102	meaning / designation / usage labels	rule-bulk	b	нем	сл.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
dass.	78	meaning / designation / usage labels	rule-bulk	b	нем	то же	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
ebend.	47	meaning / designation / usage labels	residue-ambiguous	b	нем	там же	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")	H1323: на hUNgarAI стоит дважды подряд — вопрос к источнику (Cologne), не к списку	agent (Sonnet 5, claude-sonnet-5), H1682
bes.	43	meaning / designation / usage labels	rule-bulk	b	нем	особ.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
insbes.	38	meaning / designation / usage labels	rule-bulk	b	нем	особ.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
best.	33	meaning / designation / usage labels	rule-bulk	b	нем	определ.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
überh.	31	meaning / designation / usage labels	rule-bulk	b	нем	вообще	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Gegens.	29	meaning / designation / usage labels	rule-bulk	b	нем	противоп.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
N. pr.	26	meaning / designation / usage labels	rule-bulk	b	лат	имя собств.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
viell.	20	meaning / designation / usage labels	rule-bulk	b	нем	возможно	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Bez.	17	meaning / designation / usage labels	rule-bulk	b	нем	обозн.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
übertr.	16	meaning / designation / usage labels	rule-bulk	b	нем	перен.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
eig.	11	meaning / designation / usage labels	rule-bulk	b	нем	букв.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
uneig.	9	meaning / designation / usage labels	rule-bulk	b	нем	неточно	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Erkl.	6	meaning / designation / usage labels	rule-bulk	b	нем	пояснение	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Beiw.	5	meaning / designation / usage labels	rule-bulk	b	нем	эпит.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
N.	5	meaning / designation / usage labels	rule-bulk	b	нем	имя	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
ders.	5	meaning / designation / usage labels	rule-bulk	b	нем	тот же	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
W.	5	meaning / designation / usage labels	residue-ambiguous	b	конт	слово	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")	ОСТОРОЖНО: в store встречается n="Wange" (щека) — фиксированное «слово» неверно; переводить по n=-атрибуту	agent (Sonnet 5, claude-sonnet-5), H1682
d. W.	4	meaning / designation / usage labels	rule-bulk	b	нем	слово	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
euphem.	4	meaning / designation / usage labels	rule-bulk	b	лат	эвфем.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Bedd.	3	meaning / designation / usage labels	rule-bulk	b	нем	знач.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Jmd.	3	meaning / designation / usage labels	rule-bulk	b	нем	кто-л.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
urspr.	3	meaning / designation / usage labels	rule-bulk	b	нем	первонач.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
desgl.	3	meaning / designation / usage labels	rule-bulk	b	нем	то же	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")	H1323 (ISvare)	agent (Sonnet 5, claude-sonnet-5), H1682
w.	3	meaning / designation / usage labels	rule-bulk	b	конт	слово	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")	при n=-атрибуте переводить по нему	agent (Sonnet 5, claude-sonnet-5), H1682
Bein.	3	meaning / designation / usage labels	rule-bulk	b	нем	эпит.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
folg.	3	meaning / designation / usage labels	rule-bulk	b	нем	сл.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Insbes.	3	meaning / designation / usage labels	rule-bulk	b	нем	особ.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Viell.	2	meaning / designation / usage labels	rule-bulk	b	нем	возможно	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
nam.	2	meaning / designation / usage labels	rule-bulk	b	нем	особ.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
des.	2	meaning / designation / usage labels	rule-bulk	b	нем	того же	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Erkll.	2	meaning / designation / usage labels	rule-bulk	b	нем	пояснения	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
gew.	2	meaning / designation / usage labels	rule-bulk	b	нем	обычно	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
vorangeh.	2	meaning / designation / usage labels	rule-bulk	b	нем	предш.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
diess.	2	meaning / designation / usage labels	rule-bulk	b	нем	это	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
mannigf.	1	meaning / designation / usage labels	rule-bulk	b	нем	разнообр.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Beiww.	1	meaning / designation / usage labels	rule-bulk	b	нем	эпит.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Verbind.	1	meaning / designation / usage labels	rule-bulk	b	нем	связь	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Einschieb.	1	meaning / designation / usage labels	rule-bulk	b	нем	вставка	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
D.	1	meaning / designation / usage labels	rule-bulk	b	нем	там же	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
einf.	1	meaning / designation / usage labels	rule-bulk	b	нем	просто	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
vom.	1	meaning / designation / usage labels	rule-bulk	b	нем	от	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")	«desid. vom. caus.» = «дезид. от кауз.»	agent (Sonnet 5, claude-sonnet-5), H1682
vorang.	1	meaning / designation / usage labels	rule-bulk	b	нем	предш.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
bildl.	1	meaning / designation / usage labels	rule-bulk	b	нем	перен.	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
dgl.	1	meaning / designation / usage labels	rule-bulk	b	нем	то же	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
Uneig.	1	meaning / designation / usage labels	rule-bulk	b	нем	неточно	RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")		agent (Sonnet 5, claude-sonnet-5), H1682
geder.	1	meaning / designation / usage labels	residue-ambiguous	b	OCR		RU_MAP + DA-vote N3(a)/N4; MG's own worked examples Bein./N. pr. (ABBREVIATIONS_RU.md "MG flagged... Bein. Vṛṣaṇaśva's")	gedeutet? — OCR-шум, вопрос к источнику	agent (Sonnet 5, claude-sonnet-5), H1682
med.	459	domain labels	rule-bulk	b	лат	мед.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP	строчное med. = Medizin (домен); НЕ путать с Med. = медий (залог), см. отдельную строку	agent (Sonnet 5, claude-sonnet-5), H1682
medic.	7	domain labels	rule-bulk	b	лат	мед.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
buddh.	7	domain labels	rule-bulk	b	лат	будд.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
Astr.	4	domain labels	rule-bulk	b	лат	астр.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
liturg.	3	domain labels	rule-bulk	b	лат	литург.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
astrol.	3	domain labels	rule-bulk	b	лат	астрол.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
astr.	2	domain labels	rule-bulk	b	лат	астр.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
Philos.	1	domain labels	rule-bulk	b	лат	филос.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
Rhet.	1	domain labels	rule-bulk	b	лат	рит.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
techn.	1	domain labels	rule-bulk	b	лат	техн.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
Astrol.	1	domain labels	rule-bulk	b	лат	астрол.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
metr.	1	domain labels	rule-bulk	b	лат	метр.	ABBREVIATIONS_RU.md "subject-domain labels (semantic-field tags, not grammar) translate like any encyclopedic register label" + RU_MAP		agent (Sonnet 5, claude-sonnet-5), H1682
e.	2	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	n="einander"/"eingesogen"	agent (Sonnet 5, claude-sonnet-5), H1682
H.	2	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	n="Herrschaft"/"Hand" — переводить по n=-атрибуту, фиксированного соответствия нет	agent (Sonnet 5, claude-sonnet-5), H1682
o. W.	2	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	n="ohne Wissen" = «без ведома»	agent (Sonnet 5, claude-sonnet-5), H1682
o.	2	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	n="ohne"	agent (Sonnet 5, claude-sonnet-5), H1682
schl.	1	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	n="schliessen"	agent (Sonnet 5, claude-sonnet-5), H1682
d.	1	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	der/die/das перед контекстным сокращением	agent (Sonnet 5, claude-sonnet-5), H1682
M.	1	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	n="Mann"	agent (Sonnet 5, claude-sonnet-5), H1682
r. V.	1	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	n="richtige Vorstellung"	agent (Sonnet 5, claude-sonnet-5), H1682
d. r. V.	1	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	n="der richtigen Verfassung"	agent (Sonnet 5, claude-sonnet-5), H1682
Fr.	1	contextual German word-abbreviations (n=-attribute class)	residue-ambiguous	b	конт		Mechanism note, not a per-token RU_MAP entry: these tokens' visible German expansion lives in the source's own `n=` attribute, which varies per occurrence -- no context-independent fixed correspondence is possible at the token level (O dict notes, H1303 Session 1)	n="Fremde"	agent (Sonnet 5, claude-sonnet-5), H1682
