sup7_headword	in_mw72	in_mw99	mw99_annexure	class
AcArakARqa	N	N	N	never-seen
AcArakAlakUwa	N	N	N	never-seen
AcAryARI	N	N	N	never-seen
AcAryI	N	N	N	never-seen
AcArya	Y	Y	Y	kept
AcAryaSikzA	N	N	N	never-seen
AcAryacampU	N	N	N	never-seen
AcAryadeva	N	Y	N	added-since-mw72
AcAryaka	Y	Y	N	kept
AcAryakaraRa	N	Y	N	added-since-mw72
AcAryamuzwi	N	Y	Y	added-since-mw72
AcAryaprapatti	N	N	N	never-seen
AcCAdaka	Y	Y	N	kept
AcCedanI	N	Y	N	added-since-mw72
AcCowanikA	N	N	N	never-seen
Acamanaka	Y	Y	N	kept
AcandrArkagraha	N	N	N	never-seen
Acandram	N	Y	N	added-since-mw72
AcandratArakam	N	Y	N	added-since-mw72
AcaparAca	N	Y	N	added-since-mw72
Acaturam	Y	Y	N	kept
Acitra	N	Y	Y	added-since-mw72
Acyutadanti	Y	Y	N	kept
AdAdika	Y	Y	N	kept
AdAya	Y	Y	N	kept
AdaDIci	N	Y	Y	added-since-mw72
AdaSakaRWabanDam	N	N	N	never-seen
AdarSAvekzaRa	N	N	N	never-seen
AdarSa	Y	Y	N	kept
AdarSamuKa	N	N	N	never-seen
AdeSa	Y	Y	Y	kept
AdeSanAprAtihArya	N	N	N	never-seen
AdehadAham	N	Y	Y	added-since-mw72
AdevayAnam	N	N	N	never-seen
Adeya	Y	Y	Y	kept
Adftatva	N	N	N	never-seen
Adi	Y	Y	Y	kept
AdiBarataprastAra	N	Y	N	added-since-mw72
Adicakrin	N	N	N	never-seen
AdidIpa	N	Y	Y	added-since-mw72
Adikarmika	N	N	N	never-seen
AdikuRqanIya	N	N	N	never-seen
AdimaDyAntaja	N	N	N	never-seen
AdinavadarSa	N	Y	N	added-since-mw72
AditA	N	Y	Y	added-since-mw72
AditsA	Y	Y	N	kept
AdityAramBaRa	N	N	N	never-seen
Aditya	Y	Y	N	kept
AdityaDAman	N	Y	Y	added-since-mw72
AdityadarSana	N	Y	N	added-since-mw72
Adityajyotis	N	Y	N	added-since-mw72
AdityakIlaka	N	Y	Y	added-since-mw72
Adityastotra	N	Y	N	added-since-mw72
Adityatva	N	Y	N	added-since-mw72
AdivarAha	N	Y	Y	added-since-mw72
AdivimAnajIrRodDAra	N	N	N	never-seen
AdvAdaSavarzaBAvin	N	N	N	never-seen
AdvAram	N	Y	N	added-since-mw72
AdyANgaDArin	N	N	N	never-seen
AdyadvAra	N	N	N	never-seen
AdyakAraRatA	N	N	N	never-seen
Adyakola	N	N	N	never-seen
Adyanta	N	Y	N	added-since-mw72
AdyantasTAyika	N	N	N	never-seen
AdyopAdAnatA	N	N	N	never-seen
AgAra	Y	Y	Y	kept
AgArika	N	Y	Y	added-since-mw72
AgamaSazkulI	N	Y	N	added-since-mw72
Agamana	Y	Y	N	kept
AgamanagamanA	N	N	N	never-seen
AgamasArasaMgraha	N	N	N	never-seen
Agamya	Y	Y	Y	kept
Agantuka	Y	Y	N	kept
Agarava	N	Y	N	added-since-mw72
AgastI	N	Y	N	added-since-mw72
Agasvin	N	Y	Y	added-since-mw72
Agati	Y	Y	N	kept
AgnIndra	N	Y	N	added-since-mw72
Agneya	Y	Y	Y	kept
Agnihotrika	N	Y	N	added-since-mw72
AgnivAruRa	Y	Y	N	kept
AgnizwomIya	N	Y	N	added-since-mw72
AgnyADeyika	Y	Y	N	kept
AgoraRa	N	N	N	never-seen
AgrAyaRa	Y	Y	N	kept
AgrAyaRasUtra	N	N	N	never-seen
AgrahArika	Y	Y	N	kept
AgrayaRIya	N	Y	Y	added-since-mw72
AgrayaRa	Y	Y	N	kept
AgrayaRadevatA	N	N	N	never-seen
AhAraka	Y	Y	N	kept
AhAryapurIza	N	N	N	never-seen
Aha	Y	Y	N	kept
Ahalam	N	Y	N	added-since-mw72
AharaRIya	N	N	N	never-seen
AharaRa	Y	Y	N	kept
Ahartos	N	N	N	never-seen
Ahasa	N	Y	Y	added-since-mw72
Ahatyavacana	N	Y	N	added-since-mw72
Ahava	Y	Y	N	kept
AhavaSoBin	N	Y	Y	added-since-mw72
AhavanIyatas	N	Y	N	added-since-mw72
Aheya	Y	Y	N	kept
Ahftya	Y	Y	Y	kept
AhitAgnibrAhmaRa	N	N	N	never-seen
Ahita	Y	Y	Y	kept
AhlAdayitar	N	N	N	never-seen
AhnikaBAskara	N	N	N	never-seen
AhrIkya	N	Y	Y	added-since-mw72
AhutiBAga	N	Y	N	added-since-mw72
Ahutimant	N	N	N	never-seen
AhuvaDyE	N	N	N	never-seen
AhvAnana	N	Y	Y	added-since-mw72
AhvAtar	N	N	N	never-seen
Ahva	Y	Y	N	kept
AjAnu	N	Y	N	added-since-mw72
AjIva	Y	Y	N	kept
AjIvika	N	Y	N	added-since-mw72
AjIvin	Y	Y	N	kept
AjYApanIya	N	N	N	never-seen
AjYAviDAyin	N	N	N	never-seen
AjYeya	N	N	N	never-seen
AjakaroRa	N	Y	N	added-since-mw72
AjiBUmi	N	Y	Y	added-since-mw72
AjiSiras	N	Y	N	added-since-mw72
AjiSoBin	N	Y	Y	added-since-mw72
Ajipati	N	Y	N	added-since-mw72
AjyAyaMs	N	N	N	never-seen
AjyaBuj	N	Y	N	added-since-mw72
AjyaDAnI	N	Y	N	added-since-mw72
AjyaDanvan	N	Y	N	added-since-mw72
Ajyagraha	N	Y	N	added-since-mw72
AjyasTAlI	N	Y	N	added-since-mw72
AkASADikaraRavAda	N	N	N	never-seen
AkASAsaNgavimuktinirupalepa	N	N	N	never-seen
AkASaBErava	N	N	N	never-seen
AkASaPena	N	N	N	never-seen
AkASagarBa	N	Y	N	added-since-mw72
AkASamaRi	N	Y	Y	added-since-mw72
AkASaplavA	N	Y	Y	added-since-mw72
AkASarakzitA	N	N	N	never-seen
AkASasParaRa	N	N	N	never-seen
AkAlikAtIram	N	Y	N	added-since-mw72
AkAlika	Y	Y	N	kept
AkArABinirhAra	N	N	N	never-seen
AkArAnapakAra	N	N	N	never-seen
AkArolleKin	N	N	N	never-seen
AkEwaBavEri	N	N	N	never-seen
AkIwam	N	N	N	never-seen
Akalana	Y	Y	N	kept
Akalla	N	Y	N	added-since-mw72
AkalpasAra	N	N	N	never-seen
Akaluza	N	Y	Y	added-since-mw72
Akampra	N	Y	Y	added-since-mw72
Akampya	N	N	N	never-seen
AkarRI	N	N	N	never-seen
AkarRatawa	N	N	N	never-seen
Akarin	Y	Y	N	kept
Akarza	Y	Y	Y	kept
AkarzaPalaka	N	N	N	never-seen
AkarzakArikA	N	Y	N	added-since-mw72
Akarzin	Y	Y	N	kept
Akaza	Y	Y	N	kept
Ake	Y	Y	Y	kept
Akevalika	N	N	N	never-seen
Akftilozwa	N	Y	Y	added-since-mw72
Akfzwa	Y	Y	Y	kept
Akfzwiman	N	Y	N	added-since-mw72
Akfzwimant	N	N	N	never-seen
Akfzwya	N	Y	N	added-since-mw72
AkiMcanyAyatana	N	Y	Y	added-since-mw72
AkoSa	N	N	N	never-seen
Akopavant	N	N	N	never-seen
AkowanA	N	Y	Y	added-since-mw72
Akowana	N	Y	Y	added-since-mw72
AkozWam	N	Y	Y	added-since-mw72
AkrIqaSEla	N	N	N	never-seen
AkrIqagiri	N	Y	N	added-since-mw72
Akrandana	Y	Y	N	kept
Akrandanin	N	N	N	never-seen
Akrandin	Y	Y	N	kept
Akrandita	Y	Y	N	kept
AkroSanavant	N	N	N	never-seen
AkroSayitar	N	N	N	never-seen
Akruzwa	Y	Y	N	kept
AktaKa	N	Y	N	added-since-mw72
AkumAram	N	Y	N	added-since-mw72
AkzaRika	N	N	N	never-seen
Akzapawalika	N	Y	N	added-since-mw72
AkzepaRa	Y	Y	N	kept
Akzepin	Y	Y	N	kept
Akzeptar	N	N	N	never-seen
Akzipta	Y	Y	N	kept
Akzveqita	N	Y	Y	added-since-mw72
Akzyant	N	N	N	never-seen
AlAla	N	Y	Y	added-since-mw72
AlApa	Y	Y	N	kept
AlApaka	N	N	N	never-seen
Ala	Y	Y	Y	kept
AlaMkArika	N	Y	Y	added-since-mw72
AlajAla	N	Y	Y	added-since-mw72
Alakzita	N	Y	Y	added-since-mw72
AlamBam	N	Y	N	added-since-mw72
Alambam	N	Y	N	added-since-mw72
AlambanapratyayaDyAnaSAstravyAKyA	N	N	N	never-seen
Alapita	N	Y	Y	added-since-mw72
Alaptaka	N	Y	Y	added-since-mw72
Alasyavant	N	N	N	never-seen
AlavandArstotra	N	N	N	never-seen
AleKani	N	Y	N	added-since-mw72
AleSa	N	Y	N	added-since-mw72
AliNga	Y	Y	N	kept
AliNganA	N	Y	N	added-since-mw72
AlokAcala	N	N	N	never-seen
Alokaka	N	Y	N	added-since-mw72
Alokakara	N	Y	Y	added-since-mw72
AlokasuvegaDvaja	N	Y	Y	added-since-mw72
Alokavant	N	N	N	never-seen
AlolikA	N	Y	Y	added-since-mw72
Alopa	N	Y	N	added-since-mw72
Am	Y	Y	N	kept
AmUlam	Y	Y	N	kept
AmUrDAntam	N	Y	N	added-since-mw72
Ama	Y	Y	Y	kept
AmaBfzwa	N	Y	N	added-since-mw72
AmaSrAdDa	N	Y	Y	added-since-mw72
Amajjam	N	Y	Y	added-since-mw72
Amala	N	N	N	never-seen
AmantraRA	N	Y	N	added-since-mw72
Amapeza	N	Y	N	added-since-mw72
AmapiSita	N	N	N	never-seen
Ambuda	N	Y	N	added-since-mw72
AmeKalam	N	Y	N	added-since-mw72
Amezwaka	N	Y	Y	added-since-mw72
AmfRAlam	N	N	N	never-seen
AmikzApayasya	N	Y	Y	added-since-mw72
Amitra	Y	Y	Y	kept
AmitraSocani	N	Y	Y	added-since-mw72
AmizakiMcitka	N	N	N	never-seen
AmlocantI	N	Y	Y	added-since-mw72
AmnAyakriyArTatvAdisUtravicAra	N	N	N	never-seen
AmnAyayoni	N	Y	Y	added-since-mw72
Amodin	Y	Y	N	kept
Amodita	Y	Y	N	kept
AmratIrTa	N	N	N	never-seen
AmravAwaka	N	Y	N	added-since-mw72
AmuKa	Y	Y	Y	kept
Amukta	Y	Y	N	kept
AnABi	N	Y	Y	added-since-mw72
AnAha	Y	Y	N	kept
AnAkzipa	N	N	N	never-seen
AnApAnasmfti	N	N	N	never-seen
AnIlanizaDAyata	N	Y	Y	added-since-mw72
Anamam	N	Y	N	added-since-mw72
Anana	Y	Y	N	kept
Ananda	Y	Y	Y	kept
AnandagirIya	N	N	N	never-seen
AnandakAvya	N	Y	N	added-since-mw72
AnandapraBA	N	Y	N	added-since-mw72
Anandapura	N	Y	N	added-since-mw72
AnandarAGava	N	N	N	never-seen
Anantarya	Y	Y	Y	kept
Anarta	Y	Y	N	kept
Anartaka	N	Y	N	added-since-mw72
Anartasatkfta	N	N	N	never-seen
Andola	Y	Y	N	kept
AndolikA	N	Y	Y	added-since-mw72
Anetavya	Y	Y	N	kept
Aneya	N	Y	Y	added-since-mw72
AnfSaMsa	Y	Y	N	kept
Anfhata	N	N	N	never-seen
Anftika	N	Y	Y	added-since-mw72
AniSam	N	Y	N	added-since-mw72
Animila	N	N	N	never-seen
AntarAyika	N	Y	N	added-since-mw72
Antara	N	Y	N	added-since-mw72
Antra	Y	Y	N	kept
AnugrAhika	N	N	N	never-seen
AnujAvara	Y	Y	N	kept
AnukUlika	Y	Y	N	kept
AnumatI	N	N	N	never-seen
AnupUrvI	N	N	N	never-seen
AnupUrva	Y	Y	N	kept
AnuvanDika	N	N	N	never-seen
AnuyAjika	N	Y	Y	added-since-mw72
Anuzak	Y	Y	Y	kept
AnvIkzikI	Y	Y	Y	kept
Ap	Y	Y	N	kept
ApAdana	Y	Y	N	kept
ApAdatalamastakam	N	Y	Y	added-since-mw72
ApAdin	N	Y	Y	added-since-mw72
ApAkasTa	N	N	N	never-seen
ApArzRi	N	Y	Y	added-since-mw72
ApAtajYAna	N	N	N	never-seen
ApAtika	N	Y	N	added-since-mw72
ApAzWi	N	Y	Y	added-since-mw72
ApIWAntam	N	N	N	never-seen
ApIqa	Y	Y	N	kept
ApIqaka	N	N	N	never-seen
ApIqin	N	Y	Y	added-since-mw72
ApaReya	N	N	N	never-seen
ApadevIya	N	N	N	never-seen
Apali	N	N	N	never-seen
Aparuza	N	Y	Y	added-since-mw72
AparvaBaNganipuRa	N	N	N	never-seen
Apas	Y	Y	N	kept
Apastamba	Y	Y	N	kept
Apatanta	N	Y	Y	added-since-mw72
ApatsahAya	N	Y	Y	added-since-mw72
Apattisama	N	N	N	never-seen
Apawaliman	N	N	N	never-seen
ApfcCya	Y	Y	N	kept
Api	Y	Y	Y	kept
ApiSaliSikzA	N	N	N	never-seen
Apin	N	N	N	never-seen
Apluta	Y	Y	N	kept
Apluti	N	Y	N	added-since-mw72
Apoda	N	Y	Y	added-since-mw72
Apolupa	N	N	N	never-seen
ApravaRa	N	Y	N	added-since-mw72
Apsara	N	Y	N	added-since-mw72
AptacCandas	N	Y	Y	added-since-mw72
AptakAma	N	Y	N	added-since-mw72
AptavAda	N	Y	Y	added-since-mw72
AptavAkya	N	Y	N	added-since-mw72
Aptavya	Y	Y	N	kept
Apti	Y	Y	Y	kept
AptoryAmahOtra	N	N	N	never-seen
ApuNKaSiKam	N	N	N	never-seen
ApyAnavant	N	N	N	never-seen
Apyeya	N	Y	N	added-since-mw72
AqI	N	Y	N	added-since-mw72
Aqambarita	N	Y	Y	added-since-mw72
AqvAlana	N	Y	Y	added-since-mw72
ArA	Y	Y	N	kept
ArADanakrama	N	N	N	never-seen
ArAgay	N	N	N	never-seen
ArAgra	N	Y	N	added-since-mw72
ArAla	N	Y	N	added-since-mw72
ArAmADipati	N	Y	Y	added-since-mw72
ArAsa	N	Y	Y	added-since-mw72
ArAva	Y	Y	Y	kept
ArDika	Y	Y	N	kept
ArRava	N	Y	Y	added-since-mw72
ArTat	N	N	N	never-seen
ArUQa	Y	Y	Y	kept
ArUQajAtaka	N	N	N	never-seen
ArUQapatita	N	N	N	never-seen
ArUpya	N	Y	Y	added-since-mw72
Ara	Y	Y	Y	kept
AraRyakaBawwaBAskara	N	N	N	never-seen
AragvaDamaya	N	N	N	never-seen
Arakza	Y	Y	N	kept
AramBa	Y	Y	N	kept
AramBayajYa	N	Y	Y	added-since-mw72
ArambaRacCedana	N	Y	Y	added-since-mw72
ArambaRaka	N	N	N	never-seen
Arata	Y	Y	N	kept
Arawita	N	Y	N	added-since-mw72
ArdrIBAva	N	N	N	never-seen
Ardra	Y	Y	N	kept
Ardrapavi	N	Y	N	added-since-mw72
ArdratA	N	Y	N	added-since-mw72
ArdravAsas	N	Y	Y	added-since-mw72
Arhata	Y	Y	N	kept
Ari	N	N	N	never-seen
Arizwa	N	N	N	never-seen
ArkAyaRa	N	Y	N	added-since-mw72
Arka	N	Y	Y	added-since-mw72
AroDana	Y	Y	N	kept
ArogyApay	N	N	N	never-seen
Arogya	Y	Y	N	kept
Arogyay	N	N	N	never-seen
Aroha	Y	Y	Y	kept
ArohaRa	Y	Y	N	kept
Aropayitar	N	N	N	never-seen
ArtAyana	N	Y	Y	added-since-mw72
ArtAyani	N	Y	Y	added-since-mw72
ArtanAda	N	Y	N	added-since-mw72
Artarava	N	N	N	never-seen
ArtayajYa	N	N	N	never-seen
Artikara	N	N	N	never-seen
Artvya	Y	Y	N	kept
AruRaSikzA	N	N	N	never-seen
Arupita	N	Y	N	added-since-mw72
Aruta	N	Y	N	added-since-mw72
AryAdviSatI	N	N	N	never-seen
AryaKaRqa	N	N	N	never-seen
AryabrahmaviSezacittaparipfcCA	N	N	N	never-seen
AryabudDi	N	N	N	never-seen
AryadAsI	N	N	N	never-seen
Aryamati	N	N	N	never-seen
AryaputrIya	N	N	N	never-seen
AryasTavirIyaka	N	N	N	never-seen
AryasTavira	N	Y	Y	added-since-mw72
Aryavajra	N	Y	Y	added-since-mw72
Aryavant	N	N	N	never-seen
Arza	Y	Y	N	kept
ArzeyabrAhmaRa	N	Y	Y	added-since-mw72
ArzoQA	N	Y	N	added-since-mw72
As	Y	Y	N	kept
AsAda	Y	Y	Y	kept
AsAdanA	N	Y	Y	added-since-mw72
AsInanyAya	N	N	N	never-seen
AsInapracalAyita	N	Y	N	added-since-mw72
AsPAla	Y	Y	N	kept
AsPAlita	Y	Y	N	kept
AsParaRakasamADi	N	N	N	never-seen
AsPowana	Y	Y	N	kept
AsPura	N	Y	Y	added-since-mw72
AsTApana	Y	Y	N	kept
AsTApita	Y	Y	N	kept
AsTI	N	N	N	never-seen
AsTita	Y	Y	Y	kept
AsaMjYika	N	Y	Y	added-since-mw72
AsaNga	Y	Y	Y	kept
Asahasrakftvas	N	N	N	never-seen
AsaktaBAva	N	Y	N	added-since-mw72
AsanADyAya	N	N	N	never-seen
Asanapawwa	N	N	N	never-seen
Asanda	Y	Y	N	kept
Asanna	Y	Y	N	kept
AsannakAlika	N	Y	Y	added-since-mw72
AsannayoDin	N	Y	Y	added-since-mw72
AsapARqu	N	N	N	never-seen
Asaritaka	N	N	N	never-seen
Asecanaka	Y	Y	N	kept
Asecanavant	N	N	N	never-seen
Askandam	N	Y	N	added-since-mw72
Askandana	Y	Y	N	kept
AspadI	N	N	N	never-seen
AsrAva	Y	Y	Y	kept
AsurakARqa	N	N	N	never-seen
AsvAdanIya	N	Y	Y	added-since-mw72
AsvApana	N	Y	Y	added-since-mw72
AsyadaGna	N	Y	N	added-since-mw72
AsyamETunika	N	Y	Y	added-since-mw72
AsyasaMmita	N	N	N	never-seen
AsyavErasya	N	Y	Y	added-since-mw72
AtA	N	Y	N	added-since-mw72
AtI	N	Y	N	added-since-mw72
Atapa	Y	Y	Y	kept
AtapanivAraRa	N	Y	Y	added-since-mw72
AtapavAraRa	N	Y	N	added-since-mw72
AtaptakArin	N	N	N	never-seen
AtarpaRa	Y	Y	N	kept
Atas	N	N	N	never-seen
Atfpti	N	Y	Y	added-since-mw72
AtiSayika	N	Y	Y	added-since-mw72
AtiTeya	Y	Y	N	kept
AticCandasa	N	Y	N	added-since-mw72
Atijagata	N	Y	Y	added-since-mw72
AtisArika	N	Y	Y	added-since-mw72
AtitAMsu	N	Y	Y	added-since-mw72
AtiyAtrika	N	N	N	never-seen
AtizWadgu	N	Y	N	added-since-mw72
AtmAlamBa	N	N	N	never-seen
AtmArpaRa	N	N	N	never-seen
AtmArpaRaSruti	N	N	N	never-seen
AtmIyadeSa	N	N	N	never-seen
AtmIyajAtya	N	N	N	never-seen
AtmaBU	N	Y	N	added-since-mw72
AtmaBavAyana	N	Y	N	added-since-mw72
AtmaBaya	N	N	N	never-seen
AtmaGoza	N	Y	N	added-since-mw72
AtmaMBari	N	N	N	never-seen
AtmaSlAGAkara	N	N	N	never-seen
AtmaSlAGana	N	N	N	never-seen
AtmadevatA	N	Y	N	added-since-mw72
AtmahitAyana	N	Y	N	added-since-mw72
AtmajYAnopadeSa	N	N	N	never-seen
AtmakAma	N	Y	Y	added-since-mw72
AtmamAna	N	Y	N	added-since-mw72
Atmamaya	N	Y	N	added-since-mw72
Atman	Y	Y	N	kept
Atmanivedana	N	Y	N	added-since-mw72
AtmaprIti	N	Y	N	added-since-mw72
AtmapraBa	N	Y	N	added-since-mw72
AtmaprakASikAvivaraRa	N	N	N	never-seen
AtmapriyA	N	N	N	never-seen
AtmarUpa	N	N	N	never-seen
AtmasaMBAvita	N	N	N	never-seen
AtmasaMsTA	N	N	N	never-seen
AtmasaMsTa	N	Y	N	added-since-mw72
Atmasama	N	Y	N	added-since-mw72
Atmasnehamaya	N	N	N	never-seen
Atmatantra	N	Y	N	added-since-mw72
AtmatrARaparigraha	N	Y	N	added-since-mw72
AtmatvajAtisidDivAda	N	N	N	never-seen
AtmavidyAvilAsa	N	N	N	never-seen
AtmayAjin	N	Y	N	added-since-mw72
Atmayoni	N	Y	N	added-since-mw72
AtmollAsa	N	Y	Y	added-since-mw72
Atmotkarza	N	N	N	never-seen
AtreyaSikzA	N	N	N	never-seen
Attaretas	N	N	N	never-seen
Attasva	N	Y	Y	added-since-mw72
Atyayika	Y	Y	N	kept
AvAhana	Y	Y	N	kept
AvAmadevyam	N	N	N	never-seen
AvApa	Y	Y	Y	kept
AvAri	Y	Y	N	kept
AvAriDi	N	Y	Y	added-since-mw72
AvAsika	N	Y	Y	added-since-mw72
AvaSyaka	Y	Y	N	kept
AvaSyakasUtra	N	N	N	never-seen
Avaka	N	N	N	never-seen
AvaleKana	N	N	N	never-seen
Avantaka	N	Y	N	added-since-mw72
AvarItar	N	N	N	never-seen
AvarRI	N	N	N	never-seen
Avarjanakara	N	N	N	never-seen
Avartaka	Y	Y	Y	kept
Avartam	N	Y	Y	added-since-mw72
Avartin	Y	Y	N	kept
AvasaTI	N	N	N	never-seen
AvasaTIya	N	Y	N	added-since-mw72
AvasaTavAsin	N	N	N	never-seen
Avatsaram	N	Y	N	added-since-mw72
AveSika	Y	Y	N	kept
Avftatva	N	N	N	never-seen
AviHsUrye	N	Y	Y	added-since-mw72
AviSam	N	N	N	never-seen
Avika	Y	Y	Y	kept
AvirBUtatva	N	N	N	never-seen
AvirBUya	N	N	N	never-seen
AvirmaRqala	Y	Y	N	kept
Avis	Y	Y	N	kept
AvizpfzWa	N	N	N	never-seen
Avraska	Y	Y	Y	kept
Avraskya	N	N	N	never-seen
Avya	Y	Y	N	kept
AwIlaka	N	Y	N	added-since-mw72
AwarUzaka	N	N	N	never-seen
Awavakayakza	N	N	N	never-seen
Awika	Y	Y	Y	kept
AyAcita	Y	Y	N	kept
AyAmatA	N	N	N	never-seen
AyAmatas	N	Y	Y	added-since-mw72
AyAna	Y	Y	Y	kept
AyAsa	Y	Y	N	kept
AyAsana	N	Y	Y	added-since-mw72
AyAsita	N	Y	Y	added-since-mw72
AyaTApUrvya	N	Y	N	added-since-mw72
Ayacana	N	N	N	never-seen
Ayasa	Y	Y	N	kept
Ayasta	Y	Y	Y	kept
Ayata	Y	Y	N	kept
Ayatapakzmala	N	Y	Y	added-since-mw72
Ayatasamalamba	N	Y	Y	added-since-mw72
Ayati	Y	Y	N	kept
AyattI	N	N	N	never-seen
Ayojana	Y	Y	N	kept
AyuDIyaka	N	Y	N	added-since-mw72
AyuDika	Y	Y	Y	kept
AyuDin	Y	Y	N	kept
Ayuj	Y	Y	N	kept
Ayukft	N	Y	N	added-since-mw72
AyurdA	N	Y	N	added-since-mw72
Ayurvedin	N	Y	N	added-since-mw72
Ayuta	Y	Y	N	kept
Ayuzpati	N	Y	N	added-since-mw72
Ayuzya	Y	Y	N	kept
AyuzyagaRa	N	Y	Y	added-since-mw72
Ayuzyahoma	N	Y	N	added-since-mw72
BARqaka	Y	Y	N	kept
BARqana	N	Y	N	added-since-mw72
BARqika	Y	Y	N	kept
BARqya	N	N	N	never-seen
