pwk_L	pwk_pc	hw_slp1	iast	pipeline_tier	rank	mw_fuzzy	evidence	mw_forms	verdict	corr_n	corr_dicts	mahavy	mahavy_refs	dcs_lemma	dcs_form	body_chars	review_note
209479	7-289-c	akAraRaka	akāraṇaka	nearform0.94		akarRaka		akarRaka	confirmed-missing	1	sch	0		1	0	64	add-check:auto-confirmed-false-friend: near form 'akarRaka' is a separate pw.txt entry at 1-002-a (candidate at 7-289-c) carrying its own distinct sense - omission stands
209480	7-289-c	akArpaRya	akārpaṇya	nearform0.89		AkAraRIya		AkAraRIya	confirmed-missing	6	ap;ap90;md;sch;stc;vcp	0		1	1	47	add-check:auto-confirmed-false-friend: near form 'AkAraRIya' is a separate pw.txt entry at 1-158-c (candidate at 7-289-c) carrying its own distinct sense - omission stands
209481	7-289-c	akAryakzama	akāryakṣama	NO-MATCH	B		B:akArzRya		confirmed-missing	1	sch	0		0	0	43	
209485	7-289-c	akiMcinmaya	akiṃcinmaya	NO-MATCH	A		A:akAvaNka;A:akilina		confirmed-missing	1	sch	0		0	0	43	
209487	7-289-c	akilbiza	akilbiṣa	nearform0.88		akilviza		akilviza	near-form-needs-eyes	3	ap;sch;stc	0		1	0	44	
209488	7-289-c	akIrtanIya	akīrtanīya	nearform0.80		anukIrtana		anukIrtana	confirmed-missing	2	md;sch	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'anukIrtana' is a separate pw.txt entry at 1-050-b (candidate at 7-289-c) carrying its own distinct sense - omission stands
209489	7-289-c	akuYcita	akuñcita	nearform1.00		AkuYcita		AkuYcita	covered-by-fold-twin-flagged	2	md;sch	0		1	0	40	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209490	7-289-c	akuwila	akuṭila	nearform1.00		Akuwila		Akuwila	covered-by-fold-twin-flagged	3	md;sch;stc	0		0	0	39	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209492	7-289-c	akuRWamaRqala	akuṇṭhamaṇḍala	NO-MATCH	B		B:akuRWaDizRya;B:akuRWita		confirmed-missing	1	sch	0		0	0	45	
209494	7-289-c	akuRqalin	akuṇḍalin	nearform0.82		akuRqala		akuRqala	near-form-needs-eyes	1	sch	0		1	0	41	
209497	7-289-c	akupAna	akupāna	nearform0.86		anupAna		anupAna	confirmed-missing	1	sch	0		0	0	39	add-check:auto-confirmed-false-friend: near form 'anupAna' is a separate pw.txt entry at 1-054-b (candidate at 7-289-c) carrying its own distinct sense - omission stands
209498	7-289-c	akupita	akupita	nearform0.86		ayupita		ayupita	confirmed-missing	1	sch	0		1	0	39	add-check:auto-confirmed-false-friend: near form 'ayupita' is a separate pw.txt entry at 1-103-b (candidate at 7-289-c) carrying its own distinct sense - omission stands
209503	7-289-c	akulaja	akulaja	nearform0.86		akulaka		akulaka	confirmed-missing	3	ben;md;sch	0		0	0	39	add-check:auto-confirmed-false-friend: near form 'akulaka' is a separate pw.txt entry at 2-285-b (candidate at 7-289-c) carrying its own distinct sense - omission stands
209508	7-289-c	akUwaka	akūṭaka	NO-MATCH	A		A:akUjana		confirmed-missing	1	sch	0		1	0	59	
209509	7-289-d	akfcCralaNGya	akṛcchralaṅghya	NO-MATCH	B		B:akfcCrin		confirmed-missing	2	md;sch	0		0	0	45	
209512	7-289-d	akftaka	akṛtaka	nearform0.86		aBftaka		aBftaka	confirmed-missing	4	ben;bhs;md;sch	0		1	1	113	add-check:auto-confirmed-false-friend: near form 'aBftaka' is a separate pw.txt entry at 4-294-b (candidate at 7-289-d) carrying its own distinct sense - omission stands
209514	7-289-d	akftaprajYa	akṛtaprajña	NO-MATCH	B		B:akftakftya		confirmed-missing	1	sch	0		0	0	94	
209515	7-289-d	akftalakzaRa	akṛtalakṣaṇa	NO-MATCH	C				confirmed-missing	2	md;sch	0		0	0	63	
209516	7-289-d	akftavyUha	akṛtavyūha	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	64	
209517	7-289-d	akftaSrama	akṛtaśrama	nearform0.80		akftakAram		akftakAram	confirmed-missing	3	md;pe;sch	0		0	0	62	add-check:auto-confirmed-false-friend: near form 'akftakAram' is a separate pw.txt entry at 1-003-a (candidate at 7-289-d) carrying its own distinct sense - omission stands
209518	7-289-d	akftAgas	akṛtāgas	NO-MATCH	C				confirmed-missing	2	ben;sch	0		0	0	40	
209519	7-289-d	akftAgra	akṛtāgra	nearform0.88		akftArTa		akftArTa	confirmed-missing	1	sch	0		0	0	59	add-check:auto-confirmed-false-friend: near form 'akftArTa' is a separate pw.txt entry at 1-003-b (candidate at 7-289-d) carrying its own distinct sense - omission stands
209524	7-289-d	akfSAnekakaRwaka	akṛśānekakaṇṭaka	NO-MATCH	A		B:akfSalakzmI;A:akfzwa		confirmed-missing	2	sch;stc	0		0	0	193	
209526	7-289-d	akfzwarohin	akṛṣṭarohin	NO-MATCH	A		A:akfzwa		confirmed-missing	3	ap;lrv;sch	0		0	0	43	
209527	7-289-d	akfzRa	akṛṣṇa	nearform0.91		akzRa		akzRa	confirmed-missing	4	ap;ap90;sch;vcp	0		1	1	38	add-check:auto-confirmed-false-friend: near form 'akzRa' is a separate pw.txt entry at 1-005-b (candidate at 7-289-d) carrying its own distinct sense - omission stands
209528	7-289-d	akxpta	akḷpta	NO-MATCH	B		B:akopa		confirmed-missing	1	sch	0		0	0	54	
209531	7-289-d	akopayant	akopayant	NO-MATCH	B		B:akopana		confirmed-missing	3	cae;ccs;sch	0		0	0	86	
209532	7-289-d	akOdreya	akaudreya	NO-MATCH	B		B:akOSala		confirmed-missing	1	sch	0		0	0	40	
209534	7-289-d	akOsIdya	akausīdya	NO-MATCH	A		B:akOSala;A:akkA		confirmed-missing	2	bhs;sch	0		0	0	83	
209537	7-289-d	akratusaMyukta	akratusaṃyukta	NO-MATCH	A		A:akti;B:akrama		confirmed-missing	1	sch	0		0	0	137	
209542	7-289-d	akrimi	akrimi	NO-MATCH	A		A:akramoQA;B:akriya		confirmed-missing	1	sch	0		0	0	39	
209544	7-290-a	akriyAka	akriyāka	NO-MATCH	B		B:akriya		confirmed-missing	2	md;sch	0		0	0	40	
209545	7-290-a	akrIRant	akrīṇant	NO-MATCH	A		A:akrIta		confirmed-missing	1	sch	0		0	0	40	
209548	7-290-a	akrUraMkAra	akrūraṃkāra	NO-MATCH	A		A:akrUra		confirmed-missing	1	sch	0		0	0	44	
209549	7-290-a	akrUraparivAra	akrūraparivāra	NO-MATCH	A		A:akroDa		confirmed-missing	1	sch	0		0	0	46	
209551	7-290-a	akroSant	akrośant	nearform0.88		AkroSana		AkroSana	confirmed-missing	2	sch;stc	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'AkroSana' is a separate pw.txt entry at 1-160-a (candidate at 7-290-a) carrying its own distinct sense - omission stands
209558	7-290-a	akzakUwa	akṣakūṭa	nearform0.88		akzikUwa		akzikUwa	confirmed-missing	4	ben;lrv;sch;vcp	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'akzikUwa' is a separate pw.txt entry at 1-005-a (candidate at 7-290-a) carrying its own distinct sense - omission stands
209561	7-290-a	akzataDAnA	akṣatadhānā	nearform0.80		akzapAtana		akzapAtana	confirmed-missing	1	sch	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'akzapAtana' is a separate pw.txt entry at 3-246-c (candidate at 7-290-a) carrying its own distinct sense - omission stands
209562	7-290-a	akzatasaktu	akṣatasaktu	NO-MATCH	A		A:akzatAmaya		confirmed-missing	1	sch	0		0	0	43	
209564	7-290-a	akzatodaka	akṣatodaka	nearform0.86		akzayyodaka		akzayyodaka	near-form-needs-eyes	1	sch	0		0	0	42	
209565	7-290-a	akzatriya	akṣatriya	nearform0.89		akzapriya		akzapriya	near-form-needs-eyes	1	sch	0		0	0	59	
209566	7-290-a	akzadevanapaRI	akṣadevanapaṇī	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	46	
209567	7-290-a	akzadevitar	akṣadevitar	NO-MATCH	B		B:akzadevin		confirmed-missing	1	sch	0		0	0	43	
209579	7-290-a	akzamAlAmaya	akṣamālāmaya	NO-MATCH	A		A:akzamA		confirmed-missing	1	sch	0		0	0	44	
209580	7-290-a	akzamAvant	akṣamāvant	NO-MATCH	A		A:akzamin		confirmed-missing	1	sch	0		0	0	42	
209601	7-290-b	akzasUtraka	akṣasūtraka	nearform0.82		AkzepasUtra		AkzepasUtra	confirmed-missing	1	sch	0		1	0	43	add-check:auto-confirmed-false-friend: near form 'AkzepasUtra' is a separate pw.txt entry at 1-160-b (candidate at 7-290-b) carrying its own distinct sense - omission stands
209609	7-290-b	akzAlita	akṣālita	nearform0.93		akalita		akalita	confirmed-missing	2	md;sch	0		1	0	40	add-check:auto-confirmed-false-friend: near form 'akalita' is a separate pw.txt entry at 1-282-a (candidate at 7-290-b) carrying its own distinct sense - omission stands
209612	7-290-b	akzicCidra	akṣicchidra	NO-MATCH	B		B:akzikUwa		confirmed-missing	1	sch	0		0	0	42	
209613	7-290-b	akziRvant	akṣiṇvant	nearform0.94		akziRvat		akziRvat	near-form-needs-eyes	2	cae;sch	0		0	0	41	
209615	7-290-b	akzipaTa	akṣipatha	nearform0.93		akzipat		akzipat	confirmed-missing	1	sch	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'akzipat' is a separate pw.txt entry at 1-005-a (candidate at 7-290-b) carrying its own distinct sense - omission stands
209617	7-290-b	akziruj	akṣiruj	NO-MATCH	A		A:akzibanDa		confirmed-missing	1	sch	0		0	0	39	
209618	7-290-b	akzirogavant	akṣirogavant	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	62	
209619	7-290-b	akzIRabudDi	akṣīṇabuddhi	NO-MATCH	B		B:akzIba		confirmed-missing	1	sch	0		0	0	43	
209621	7-290-b	akzIrAkzArAlavaRa	akṣīrākṣārālavaṇa	NO-MATCH	B		B:akzIba;B:akzu		confirmed-missing	0		0		0	0	49	
209625	7-290-b	akzetratara	akṣetratara	NO-MATCH	B		B:akzetrajYa		confirmed-missing	3	ccs;md;sch	0		0	0	47	
209626	7-290-b	akzema	akṣema	nearform0.83		akzama		akzama	confirmed-missing	2	sch;stc	0		1	0	56	add-check:auto-confirmed-false-friend: near form 'akzama' is a separate pw.txt entry at 1-004-b (candidate at 7-290-b) carrying its own distinct sense - omission stands
209630	7-290-b	akzyupanizad	akṣyupaniṣad	NO-MATCH	B		B:akzRayAkfta		confirmed-missing	2	acc;sch	0		0	0	44	
209631	7-290-b	aKaYja	akhañja	NO-MATCH	A		A:aKaRqamaRqala		confirmed-missing	2	md;sch	0		0	0	38	
209633	7-290-b	aKaRqArTanirUpaRa	akhaṇḍārthanirūpaṇa	NO-MATCH	A		A:aKaRqamaRqala		confirmed-missing	2	acc;sch	0		0	0	49	
209634	7-290-c	aKaRqitAjYa	akhaṇḍitājña	NO-MATCH	C				confirmed-missing	2	md;sch	0		0	0	43	
209635	7-290-c	aKaRqopADi	akhaṇḍopādhi	nearform1.00		aKaRqopaDi		aKaRqopaDi	covered-by-fold-twin-flagged	1	sch	0		0	0	153	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209636	7-290-c	aKaRqyamAna	akhaṇḍyamāna	NO-MATCH	B		B:aKarva		confirmed-missing	1	sch	0		0	0	43	
209640	7-290-c	aKAdant	akhādant	nearform0.80		apadAnta		apadAnta	confirmed-missing	2	sch;stc	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'apadAnta' is a separate pw.txt entry at 1-291-a (candidate at 7-290-c) carrying its own distinct sense - omission stands
209642	7-290-c	aKilalokanATa	akhilalokanātha	NO-MATCH	A		A:aKinna		confirmed-missing	1	sch	0		0	0	45	
209643	7-290-c	aKileSvara	akhileśvara	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	42	
209644	7-290-c	agaRayant	agaṇayant	NO-MATCH	C				confirmed-missing	4	cae;ccs;sch;stc	0		0	0	66	
209645	7-290-c	agaRya	agaṇya	NO-MATCH	C				confirmed-missing	9	ap;ap90;bhs;md;pwg;sch;stc;vcp;yat	0		1	1	41	
209646	7-290-c	agataSrI	agataśrī	NO-MATCH	B		B:agati		confirmed-missing	1	sch	0		0	0	57	
209659	7-290-c	agastikusuma	agastikusuma	NO-MATCH	A		A:agarBa;B:agastI		confirmed-missing	1	sch	0		0	0	44	
209661	7-290-c	agastyagfhapatika	agastyagṛhapatika	nearform0.97		agastyagfhaspatika		agastyagfhaspatika	near-form-needs-eyes	1	sch	0		0	0	49	
209662	7-290-c	agastyaniGaRwu	agastyanighaṇṭu	NO-MATCH	C				confirmed-missing	2	acc;sch	0		0	0	46	
209663	7-290-c	agastyavawa	agastyavaṭa	NO-MATCH	A		A:agastyaSAsta		confirmed-missing	3	inm;mci;sch	0		0	0	43	
209665	7-290-c	agastyasaMpAta	agastyasaṃpāta	nearform0.86		agastyasaMhitA		agastyasaMhitA	near-form-needs-eyes	2	acc;sch	0		0	0	46	
209666	7-290-c	agastyASrama	agastyāśrama	nearform0.83		agastyaSAsta		agastyaSAsta	near-form-needs-eyes	3	inm;mci;sch	0		0	0	44	
209668	7-290-c	agADabudDi	agādhabuddhi	NO-MATCH	A		B:agADa;A:agAra		confirmed-missing	1	sch	0		0	0	42	
209672	7-290-c	agArdaBaraTika	agārdabharathika	NO-MATCH	A		A:agArastUpa		confirmed-missing	1	sch	0		0	0	62	
209673	7-290-c	agiriBid	agiribhid	nearform0.80		adriBid		adriBid	confirmed-missing	1	sch	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'adriBid' is a separate pw.txt entry at 1-031-a (candidate at 7-290-c) carrying its own distinct sense - omission stands
209674	7-290-c	aguYjin	aguñjin	NO-MATCH	B		B:aguRa		confirmed-missing	1	sch	0		0	0	39	
209678	7-290-d	aguRyatA	aguṇyatā	nearform0.93		aguRatA		aguRatA	near-form-needs-eyes	1	sch	0		0	0	40	
209680	7-290-d	aguruka	aguruka	NO-MATCH	B		B:aguru		confirmed-missing	1	sch	0		1	0	39	
209681	7-290-d	agurugavI	agurugavī	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	41	
209682	7-290-d	agurutalpa	agurutalpa	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	42	
209683	7-290-d	agurusAra	agurusāra	nearform0.82		agrasArA		agrasArA	confirmed-missing	3	md;pwg;sch	0		0	0	44	add-check:auto-confirmed-false-friend: near form 'agrasArA' is a separate pw.txt entry at 1-283-b (candidate at 7-290-d) carrying its own distinct sense - omission stands
209684	7-290-d	agfDnu	agṛdhnu	NO-MATCH	B		B:agfha		confirmed-missing	4	ben;fri;md;sch	0		1	0	38	
209686	7-290-d	agfhRant	agṛhṇant	nearform0.93		agfhRat		agfhRat	near-form-needs-eyes	3	cae;ccs;sch	0		0	0	40	
209688	7-290-d	agfhyamARakAraRa	agṛhyamāṇakāraṇa	NO-MATCH	A		A:agfhya;B:ago		confirmed-missing	1	pwg	0		0	0	51	
209690	7-290-d	agoarGa	agoargha	NO-MATCH	B		B:ago;B:agocara		confirmed-missing	1	sch	0		0	0	40	
209692	7-290-d	agotracaraRa	agotracaraṇa	NO-MATCH	B		B:agocara		confirmed-missing	1	sch	0		0	0	86	
209693	7-290-d	agopAla	agopāla	nearform1.00		AgopAla		AgopAla	covered-by-fold-twin-flagged	5	cae;ccs;md;sch;stc	0		1	0	67	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209694	7-290-d	agorasa	agorasa	nearform0.80		agrasara		agrasara	confirmed-missing	1	sch	0		0	0	39	add-check:auto-confirmed-false-friend: near form 'agrasara' is a separate pw.txt entry at 1-009-c (candidate at 7-290-d) carrying its own distinct sense - omission stands
209696	7-290-d	agozpada	agoṣpada	NO-MATCH	B		B:agoruDa		confirmed-missing	1	sch	0		0	0	40	
209697	7-290-d	agOpavana	agaupavana	NO-MATCH	C				confirmed-missing	1	sch	0		0	0	41	
209698	7-290-d	agnAvizRu	agnāviṣṇu	stem				agnAvizRU	covered-by-MW-stem-form	4	gst;pwg;sch;vcp	0		1	0	46	
209707	7-290-d	agnijananaviDi	agnijananavidhi	NO-MATCH	B		B:agnija;B:agnijihva		confirmed-missing	2	acc;sch	0		0	0	46	
209711	7-290-d	agnitanU	agnitanū	stem				agnitanu	covered-by-MW-stem-form	1	sch	0		0	0	58	
209713	7-290-d	agnidEva	agnidaiva	nearform1.00		agnideva		agnideva	covered-by-fold-twin-flagged	1	sch	0		0	0	40	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209719	7-290-d	agnipiRqa	agnipiṇḍa	NO-MATCH	A		B:agnipada;A:agniputra		confirmed-missing	1	sch	0		0	0	41	
209721	7-290-d	agnipUjA	agnipūjā	NO-MATCH	A		A:agniputra		confirmed-missing	1	sch	0		0	0	40	
209722	7-290-d	agnipUta	agnipūta	nearform0.88		agnidUta		agnidUta	confirmed-missing	1	sch	0		0	0	40	add-check:auto-confirmed-false-friend: near form 'agnidUta' is a separate pw.txt entry at 1-007-b (candidate at 7-290-d) carrying its own distinct sense - omission stands
209724	7-291-a	agnipraskandana	agnipraskandana	NO-MATCH	A		A:agnipraRayana		confirmed-missing	2	sch;vcp	0		0	0	141	
209725	7-291-a	agniBaya	agnibhaya	nearform0.88		agnicaya		agnicaya	confirmed-missing	1	sch	0		0	0	59	add-check:auto-confirmed-false-friend: near form 'agnicaya' is a separate pw.txt entry at 1-007-a (candidate at 7-291-a) carrying its own distinct sense - omission stands
209734	7-291-a	agnizwomayAgaviDi	agniṣṭomayāgavidhi	NO-MATCH	B		B:agnizwut;B:agnizWa		confirmed-missing	2	acc;sch	0		0	0	49	
209742	7-291-a	agnihotraprAyaScitta	agnihotraprāyaścitta	NO-MATCH	A		A:agnihotraprAyaRa;B:agnihotrin		confirmed-missing	2	acc;sch	0		0	0	52	
209745	7-291-a	agnIvaruRa	agnīvaruṇa	nearform1.00		AgnivAruRa		AgnivAruRa	covered-by-fold-twin-flagged	3	pwg;sch;vcp	0		1	0	47	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209749	7-291-a	agnyavaBfTa	agnyavabhṛtha	NO-MATCH	B		B:agnyarcis;B:agnyADeya		confirmed-missing	1	sch	0		0	0	46	
209751	7-291-a	agnyupasaminDana	agnyupasamindhana	NO-MATCH	B		B:agnyADeya;B:agnyupasTAna		confirmed-missing	1	sch	0		0	0	48	
209755	7-291-a	agragatvara	agragatvara	NO-MATCH	A		A:agragaRanA;B:agragrAsikA		confirmed-missing	1	sch	0		0	0	43	
209759	7-291-a	agrataHsTa	agrataḥstha	nearform0.86		agrataHsara		agrataHsara	confirmed-missing	1	sch	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'agrataHsara' is a separate pw.txt entry at 1-009-b (candidate at 7-291-a) carrying its own distinct sense - omission stands
209760	7-291-a	agratoraTa	agratoratha	nearform0.84		agratIrTa		agratIrTa	confirmed-missing	2	md;sch	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'agratIrTa' is a separate pw.txt entry at 1-009-b (candidate at 7-291-a) carrying its own distinct sense - omission stands
209761	7-291-a	agradAtar	agradātar	nearform0.82		agradAtf		agradAtf	near-form-needs-eyes	1	sch	0		0	0	41	
209765	7-291-a	agraBogin	agrabhogin	NO-MATCH	B		B:agraBUmi		confirmed-missing	1	sch	0		0	0	41	
209766	7-291-a	agraBojana	agrabhojana	nearform0.84		agraBojya		agraBojya	confirmed-missing	1	sch	0		0	0	42	add-check:auto-confirmed-false-friend: near form 'agraBojya' is a separate pw.txt entry at 4-291-a (candidate at 7-291-a) carrying its own distinct sense - omission stands
209769	7-291-b	agravakra	agravakra	nearform0.95		agravaktra		agravaktra	near-form-needs-eyes	1	sch	0		1	0	41	auto-confirm withheld: candidate's own pw entry equates it to the near form (agravaktra) - variant/editorial call, not a clean omission
209775	7-291-b	agrahoma	agrahoma	NO-MATCH	A		A:agrahaRa;A:agrAgra		confirmed-missing	1	sch	0		0	0	40	
209778	7-291-b	agrAmyakanda	agrāmyakanda	NO-MATCH	A		A:agrAnta		confirmed-missing	1	sch	0		0	0	63	
209779	7-291-b	agrAha	agrāha	nearform1.00		agraha		agraha	covered-by-fold-twin-flagged	2	bhs;sch	0		1	0	38	case/vowel-length twin of MW form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
209785	7-291-b	agryamahizI	agryamahiṣī	nearform0.95		agramahizI		agramahizI	near-form-needs-eyes	1	sch	0		0	0	43	auto-confirm withheld: candidate's own pw entry equates it to the near form (agramahizI) - variant/editorial call, not a clean omission
209786	7-291-b	aglAsnu	aglāsnu	nearform0.80		agrasAnu		agrasAnu	near-form-needs-eyes	1	sch	0		0	0	54	
