sup7_headword	class	verdict	pw_L	pw_pc	pwkvn_L	pwkvn_pc	bhs_L	bhs_pc	mahavy	mahavy_refs	corr_n	corr_dicts	review_note
AdivimAnajIrRodDAra	never-seen	confirmed-missing	575829	2-293-c	8260	2-293-c			0		2	acc;sch	
AdvAdaSavarzaBAvin	never-seen	confirmed-missing	572246	1-297-a	4690	1-297-a			0		1	sch	
AdyANgaDArin	never-seen	confirmed-missing	589609	5-249-a	21991	5-249-a			0		1	sch	
AdyadvAra	never-seen	confirmed-missing	581287	3-255-c	13702	3-255-c			0		1	sch	
AdyakAraRatA	never-seen	confirmed-missing	614291	7-318-a	46558	7-318-a			0		1	sch	
Adyakola	never-seen	confirmed-missing	589606	5-249-a	21988	5-249-a			0		1	sch	
AdyantasTAyika	never-seen	confirmed-missing	572243	1-297-a	4687	1-297-a			0		1	sch	
AdyopAdAnatA	never-seen	confirmed-missing	614309	7-318-a	46576	7-318-a			0		1	sch	
AgamanagamanA	never-seen	confirmed-missing	575670	2-293-b	8101	2-293-b	2558	088,1	0		2	bhs;sch	
AgamasArasaMgraha	never-seen	confirmed-missing	575676	2-293-b	8107	2-293-b			0		2	acc;sch	
AgoraRa	never-seen	confirmed-missing	595232	6-297-c	27571	6-297-c			0		1	sch	
AgrAyaRasUtra	never-seen	confirmed-missing	575685	2-293-b	8116	2-293-b			0		1	sch	
AgrayaRadevatA	never-seen	confirmed-missing	572162	1-296-c	4606	1-296-c			0		1	sch	
AhAryapurIza	never-seen	confirmed-missing	595385	6-298-b	27724	6-298-b			0		1	sch	
AharaRIya	never-seen	covered-by-fold-twin-flagged	595382	6-298-b	27721	6-298-b			0		2	sch;vcp	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
Ahartos	never-seen	confirmed-missing	581436	3-256-b	13846	3-256-b			0		1	sch	
AhitAgnibrAhmaRa	never-seen	confirmed-missing	576168	2-294-b	8599	2-294-b			0		2	acc;sch	
AhlAdayitar	never-seen	confirmed-missing	576177	2-294-b	8608	2-294-b			0		1	sch	
AhnikaBAskara	never-seen	confirmed-missing	576174	2-294-b	8605	2-294-b			0		2	acc;sch	
Ahutimant	never-seen	confirmed-missing	589735	5-249-c	22117	5-249-c			0		1	sch	
AhuvaDyE	never-seen	confirmed-missing	63005	1-197-a	13855	3-256-b			0		1	sch	
AhvAtar	never-seen	confirmed-missing	589738	5-249-c	22120	5-249-c			0		1	sch	
AjYApanIya	never-seen	confirmed-missing	613880	7-317-b	46150	7-317-b			1	20	1	sch	MAHAVY 20,27
AjYAviDAyin	never-seen	confirmed-missing	589498	5-248-c	21880	5-248-c			0		1	sch	
AjYeya	never-seen	covered-by-fold-twin-flagged	613886	7-317-b	46156	7-317-b	2616	091,1	1	20	2	bhs;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AjyAyaMs	never-seen	confirmed-missing	575739	2-293-b	8170	2-293-b			0		1	sch	
AkASADikaraRavAda	never-seen	confirmed-missing	575637	2-293-b	8068	2-293-b			0		2	acc;sch	
AkASAsaNgavimuktinirupalepa	never-seen	confirmed-missing	613481	7-316-c	45751	7-316-c	2531	087,1	1	21	2	bhs;sch	MAHAVY 21
AkASaBErava	never-seen	confirmed-missing	575628	2-293-b	8059	2-293-b			0		2	acc;sch	
AkASaPena	never-seen	confirmed-missing	613460	7-316-c	45730	7-316-c			0		1	sch	
AkASarakzitA	never-seen	confirmed-missing	575634	2-293-b	8065	2-293-b	2526	087,1	0		2	bhs;sch	
AkASasParaRa	never-seen	confirmed-missing	613475	7-316-c	45745	7-316-c	2527	087,1	1	21	2	bhs;sch	MAHAVY 21
AkArABinirhAra	never-seen	confirmed-missing	613442	7-316-c	45712	7-316-c	2516	086,2	0		2	bhs;sch	
AkArAnapakAra	never-seen	confirmed-missing	613439	7-316-c	45709	7-316-c			1	21	1	sch	MAHAVY 21
AkArolleKin	never-seen	confirmed-missing	613445	7-316-c	45715	7-316-c			0		1	sch	
AkEwaBavEri	never-seen	confirmed-missing	572138	1-296-c	4582	1-296-c			0		1	sch	
AkIwam	never-seen	confirmed-missing	572129	1-296-c	4573	1-296-c			0		1	sch	
AkalpasAra	never-seen	confirmed-missing	572123	1-296-c	4567	1-296-c			0		2	md;sch	
Akampya	never-seen	covered-by-fold-twin-flagged	613388	7-316-b	45658	7-316-b	2504	086,1	1	24	2	bhs;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AkarRI	never-seen	covered-by-MW-stem-form	595217	6-297-c	27556	6-297-c			0		1	sch	MW99 stem-family forms: AkarRa;AkarRam
AkarRatawa	never-seen	confirmed-missing	572108	1-296-c	4552	1-296-c			0		1	sch	
AkarzaPalaka	never-seen	confirmed-missing	572117	1-296-c	4561	1-296-c			0		1	sch	
Akevalika	never-seen	confirmed-missing	581176	3-255-b	13591	3-255-b			0		1	sch	
Akfzwimant	never-seen	confirmed-missing	613502	7-316-c	45772	7-316-c	2541	087,2	1	143	2	bhs;sch	MAHAVY 143
AkoSa	never-seen	confirmed-missing	613526	7-316-c	45796	7-316-c			0		1	sch	
Akopavant	never-seen	confirmed-missing	581179	3-255-b	13594	3-255-b			0		1	sch	
AkrIqaSEla	never-seen	confirmed-missing	613550	7-316-d	45820	7-316-d			0		1	sch	
Akrandanin	never-seen	confirmed-missing	613538	7-316-d	45808	7-316-d			0		1	sch	
AkroSanavant	never-seen	confirmed-missing	595223	6-297-c	27562	6-297-c			0		1	sch	
AkroSayitar	never-seen	confirmed-missing	581182	3-255-b	13597	3-255-b			0		1	sch	
AkzaRika	never-seen	confirmed-missing	585289	4-295-c	17692	4-295-c			0		1	sch	
Akzeptar	never-seen	confirmed-missing	51086	1-160-b	8092	2-293-b			0		2	pwg;sch	
Akzyant	never-seen	confirmed-missing	51106	1-160-b	45847	7-316-d			0		2	pwg;sch	
AlApaka	never-seen	confirmed-missing	576060	2-294-b	8491	2-294-b	2969	106,1	0		1	bhs	
AlambanapratyayaDyAnaSAstravyAKyA	never-seen	confirmed-missing	589684	5-249-b	22066	5-249-b			0		1	sch	
Alasyavant	never-seen	confirmed-missing	589687	5-249-b	22069	5-249-b			0		1	sch	
AlavandArstotra	never-seen	confirmed-missing	576054	2-294-b	8485	2-294-b			0		0		
AlokAcala	never-seen	confirmed-missing	572447	1-297-c	4891	1-297-c			0		1	sch	
Alokavant	never-seen	confirmed-missing	60154	1-188-a	22075	5-249-b			0		2	pwg;sch	
Amala	never-seen	covered-by-fold-twin-flagged	57393	1-179-c	73864	7-386-c			0		2	pwg;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AmapiSita	never-seen	confirmed-missing	614778	7-318-d	47038	7-318-d			0		1	sch	
AmfRAlam	never-seen	confirmed-missing	572381	1-297-b	4825	1-297-b			0		1	sch	
AmizakiMcitka	never-seen	confirmed-missing	614799	7-319-a	47059	7-319-a			1	261	1	sch	MAHAVY 261,26
AmnAyakriyArTatvAdisUtravicAra	never-seen	confirmed-missing	575976	2-294-a	8407	2-294-a			0		2	acc;sch	
AmratIrTa	never-seen	confirmed-missing	614841	7-319-a	47101	7-319-a	2846	101,1	1	167	2	bhs;sch	MAHAVY 167
AnAkzipa	never-seen	confirmed-missing	614432	7-318-b	46696	7-318-b			0		1	sch	
AnApAnasmfti	never-seen	confirmed-missing	614435	7-318-b	46699	7-318-b			1	53	1	sch	MAHAVY 53
AnandagirIya	never-seen	confirmed-missing	575847	2-293-c	8278	2-293-c			0		1	sch	
AnandarAGava	never-seen	confirmed-missing	575862	2-293-c	8293	2-293-c			0		2	acc;sch	
Anartasatkfta	never-seen	confirmed-missing	595274	6-298-a	27613	6-298-a			0		1	sch	
Anfhata	never-seen	confirmed-missing	581311	3-255-c	13726	3-255-c			0		1	sch	
Animila	never-seen	confirmed-missing	575877	2-293-c	8308	2-293-c			0		1	sch	
AnugrAhika	never-seen	confirmed-missing	575880	2-294-a	8311	2-294-a			0		1	sch	
AnumatI	never-seen	covered-by-MW-stem-form	614474	7-318-b	46738	7-318-b			0		1	sch	MW99 stem-family forms: Anumata
AnupUrvI	never-seen	covered-by-MW-stem-form	55678	1-174-b	17746	4-296-a			0		7	ap;ap90;armh;fri;lrv;nybj;sch	MW99 stem-family forms: AnupUrva
AnuvanDika	never-seen	confirmed-missing	614471	7-318-b	46735	7-318-b			0		0		
ApAkasTa	never-seen	confirmed-missing	56379	1-176-c	46846	7-318-c			0		0		
ApAtajYAna	never-seen	confirmed-missing	595295	6-298-a	27634	6-298-a			0		1	sch	
ApIWAntam	never-seen	confirmed-missing	572306	1-297-b	4750	1-297-b			0		1	sch	
ApIqaka	never-seen	confirmed-missing	614628	7-318-c	46888	7-318-c	2778	098,1	0		2	bhs;sch	
ApaReya	never-seen	confirmed-missing	595289	6-298-a	27628	6-298-a			0		1	sch	
ApadevIya	never-seen	confirmed-missing	575892	2-294-a	8323	2-294-a			0		2	acc;sch	
Apali	never-seen	covered-by-MW-stem-form	589624	5-249-a	22006	5-249-a			0		1	sch	MW99 stem-family forms: Apala
AparvaBaNganipuRa	never-seen	covered-by-fold-twin-flagged	56329	1-176-c	4741	1-297-b			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
Apattisama	never-seen	confirmed-missing	572294	1-297-b	4738	1-297-b			0		1	sch	
Apawaliman	never-seen	confirmed-missing	642030	7-386-c	73852	7-386-c			0		1	sch	
ApiSaliSikzA	never-seen	confirmed-missing	575928	2-294-a	8359	2-294-a			0		1	sch	
Apin	never-seen	confirmed-missing	585346	4-296-a	17749	4-296-a			0		1	sch	
Apolupa	never-seen	confirmed-missing	575931	2-294-a	8362	2-294-a			0		1	sch	
AptoryAmahOtra	never-seen	confirmed-missing	575937	2-294-a	8368	2-294-a			0		1	sch	
ApuNKaSiKam	never-seen	confirmed-missing	572312	1-297-b	4756	1-297-b			0		1	sch	
ApyAnavant	never-seen	confirmed-missing	572342	1-297-b	4786	1-297-b			0		2	pwg;sch	
ArADanakrama	never-seen	confirmed-missing	576018	2-294-a	8449	2-294-a			0		2	acc;sch	
ArAgay	never-seen	covered-by-MW-stem-form	581373	3-256-a	13783	3-256-a			0		0		MW99 stem-family forms: ArAgaya; named false-positive class: denominal -aya verb stem (MW handles under root/verb apparatus, not as a separate headword)
ArTat	never-seen	covered-by-MW-stem-form	572423	1-297-c	4867	1-297-c			0		1	sch	MW99 stem-family forms: ArTa
ArUQajAtaka	never-seen	confirmed-missing	576027	2-294-b	8458	2-294-b			0		2	acc;sch	
ArUQapatita	never-seen	confirmed-missing	595322	6-298-a	27661	6-298-a			0		1	sch	
AraRyakaBawwaBAskara	never-seen	confirmed-missing	575994	2-294-a	8425	2-294-a			0		1	sch	
AragvaDamaya	never-seen	confirmed-missing	614955	7-319-b	47212	7-319-b			0		1	sch	
ArambaRaka	never-seen	confirmed-missing	614985	7-319-b	47242	7-319-b	2888	103,1	1	226	2	bhs;sch	MAHAVY 226
ArdrIBAva	never-seen	confirmed-missing	576033	2-294-b	8464	2-294-b			0		1	sch	
Ari	never-seen	covered-by-MW-stem-form	615027	7-319-b	47284	7-319-b			0		1	sch	MW99 stem-family forms: Ar;ArA;ArI
Arizwa	never-seen	covered-by-fold-twin-flagged	615030	7-319-b	47287	7-319-b			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
ArogyApay	never-seen	confirmed-missing	615060	7-319-c	47317	7-319-c			0		1	sch	named false-positive class: denominal -aya verb stem (MW handles under root/verb apparatus, not as a separate headword)
Arogyay	never-seen	covered-by-MW-stem-form	572408	1-297-c	4852	1-297-c			0		1	ap	MW99 stem-family forms: Arogyaya; named false-positive class: denominal -aya verb stem (MW handles under root/verb apparatus, not as a separate headword)
Aropayitar	never-seen	confirmed-missing	615066	7-319-c	47323	7-319-c			0		1	sch	
Artarava	never-seen	confirmed-missing	572417	1-297-c	4861	1-297-c			0		1	sch	
ArtayajYa	never-seen	confirmed-missing	581379	3-256-a	13789	3-256-a			0		1	sch	
Artikara	never-seen	confirmed-missing	589675	5-249-b	22057	5-249-b			0		1	sch	
AruRaSikzA	never-seen	confirmed-missing	576021	2-294-a	8452	2-294-a			0		1	sch	
AryAdviSatI	never-seen	confirmed-missing	576045	2-294-b	8476	2-294-b			0		2	acc;sch	
AryaKaRqa	never-seen	confirmed-missing	615126	7-319-c	47383	7-319-c			0		1	sch	
AryabrahmaviSezacittaparipfcCA	never-seen	confirmed-missing	615138	7-319-c	47395	7-319-c			1	65	1	sch	MAHAVY 65
AryabudDi	never-seen	confirmed-missing	576039	2-294-b	8470	2-294-b			0		1	sch	
AryadAsI	never-seen	confirmed-missing	576036	2-294-b	8467	2-294-b			0		1	sch	
Aryamati	never-seen	confirmed-missing	595331	6-298-a	27670	6-298-a			0		1	sch	
AryaputrIya	never-seen	confirmed-missing	572429	1-297-c	4873	1-297-c			0		1	sch	
AryasTavirIyaka	never-seen	confirmed-missing	615153	7-319-c	47410	7-319-c			0		0		
Aryavant	never-seen	confirmed-missing	576042	2-294-b	8473	2-294-b			0		1	sch	
AsInanyAya	never-seen	confirmed-missing	615601	7-320-c	47854	7-320-c			0		1	sch	
AsParaRakasamADi	never-seen	confirmed-missing	615640	7-320-c	47893	7-320-c	3090	111,2	1	67	2	bhs;sch	MAHAVY 67
AsTI	never-seen	covered-by-MW-stem-form	615634	7-320-c	47887	7-320-c			0		1	sch	MW99 stem-family forms: AsTA
Asahasrakftvas	never-seen	confirmed-missing	572511	1-298-a	4954	1-298-a			0		1	sch	
AsanADyAya	never-seen	confirmed-missing	576147	2-294-b	8578	2-294-b			0		2	acc;sch	
Asanapawwa	never-seen	covered-by-MW-stem-form	581427	3-256-a	13837	3-256-a			0		2	ieg;sch	MW99 stem-family forms: Asanapawwi
AsapARqu	never-seen	confirmed-missing	595364	6-298-b	27703	6-298-b			0		1	sch	
Asaritaka	never-seen	confirmed-missing	642066	7-386-d	73888	7-386-d			0		1	sch	
Asecanavant	never-seen	confirmed-missing	576156	2-294-b	8587	2-294-b			0		3	lan;pwg;sch	
AspadI	never-seen	covered-by-MW-stem-form	62526	1-195-c	22111	5-249-c			0		1	sch	MW99 stem-family forms: Aspada
AsurakARqa	never-seen	confirmed-missing	576153	2-294-b	8584	2-294-b			0		2	acc;sch	
AsyasaMmita	never-seen	covered-by-fold-twin-flagged	585418	4-296-b	17818	4-296-b			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AtaptakArin	never-seen	confirmed-missing	613991	7-317-c	46258	7-317-c	2636	091,2	1	98	2	bhs;sch	MAHAVY 98
Atas	never-seen	covered-by-MW-stem-form	575757	2-293-c	8188	2-293-c			0		3	armh;sch;stc	MW99 stem-family forms: At;AtA;AtF
AtiyAtrika	never-seen	confirmed-missing	572195	1-296-c	4639	1-296-c			0		2	sch;vcp	
AtmAlamBa	never-seen	confirmed-missing	589591	5-249-a	21973	5-249-a			0		2	sch;vcp	
AtmArpaRa	never-seen	confirmed-missing	575790	2-293-c	8221	2-293-c			0		1	sch	
AtmArpaRaSruti	never-seen	confirmed-missing	575793	2-293-c	8224	2-293-c			0		1	sch	
AtmIyadeSa	never-seen	confirmed-missing	581275	3-255-c	13690	3-255-c			0		1	sch	
AtmIyajAtya	never-seen	confirmed-missing	575796	2-293-c	8227	2-293-c			0		1	sch	
AtmaBaya	never-seen	confirmed-missing	585325	4-296-a	17728	4-296-a			0		1	sch	
AtmaMBari	never-seen	covered-by-fold-twin-flagged	53676	1-168-b	21955	5-249-a			0		6	ap;ap90;ben;lrv;md;pwg	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AtmaSlAGAkara	never-seen	confirmed-missing	589588	5-249-a	21970	5-249-a			0		1	sch	
AtmaSlAGana	never-seen	confirmed-missing	595241	6-297-c	27580	6-297-c			0		1	sch	
AtmajYAnopadeSa	never-seen	confirmed-missing	575766	2-293-c	8197	2-293-c			0		2	acc;sch	
AtmaprakASikAvivaraRa	never-seen	confirmed-missing	575775	2-293-c	8206	2-293-c			0		2	acc;sch	
AtmapriyA	never-seen	confirmed-missing	575778	2-293-c	8209	2-293-c			0		2	acc;sch	
AtmarUpa	never-seen	confirmed-missing	589576	5-249-a	21958	5-249-a			0		1	sch	
AtmasaMBAvita	never-seen	covered-by-fold-twin-flagged	642021	7-386-c	73843	7-386-c			0		2	cae;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AtmasaMsTA	never-seen	covered-by-MW-stem-form	595253	6-298-a	27592	6-298-a			0		1	sch	MW99 stem-family forms: AtmasaMsTa
Atmasnehamaya	never-seen	confirmed-missing	614150	7-317-d	46417	7-317-d			0		1	sch	
AtmatvajAtisidDivAda	never-seen	confirmed-missing	575772	2-293-c	8203	2-293-c			0		2	acc;sch	
AtmavidyAvilAsa	never-seen	confirmed-missing	575784	2-293-c	8215	2-293-c			0		1	acc	
Atmotkarza	never-seen	confirmed-missing	53980	1-169-a	46438	7-317-d			0		2	md;sch	
AtreyaSikzA	never-seen	confirmed-missing	575802	2-293-c	8233	2-293-c			0		2	acc;sch	
Attaretas	never-seen	confirmed-missing	581263	3-255-c	13678	3-255-c			0		1	sch	
AvAmadevyam	never-seen	confirmed-missing	572450	1-297-c	4894	1-297-c			0		1	sch	
AvaSyakasUtra	never-seen	confirmed-missing	615288	7-320-a	47542	7-320-a			0		0		
Avaka	never-seen	covered-by-fold-twin-flagged	576063	2-294-b	8494	2-294-b			0		4	ap;ap90;sch;vcp	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AvaleKana	never-seen	covered-by-fold-twin-flagged	589705	5-249-b	22087	5-249-b			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AvarItar	never-seen	confirmed-missing	60345	1-188-c	47515	7-319-d			0		1	sch	
AvarRI	never-seen	confirmed-missing	576069	2-294-b	8500	2-294-b			0		1	sch	
Avarjanakara	never-seen	confirmed-missing	615264	7-319-d	47518	7-319-d			0		1	sch	
AvasaTI	never-seen	covered-by-MW-stem-form	615297	7-320-a	47551	7-320-a			0		1	sch	MW99 stem-family forms: AvasaTa
AvasaTavAsin	never-seen	confirmed-missing	589708	5-249-b	22090	5-249-b			0		1	sch	
Avftatva	never-seen	confirmed-missing	589717	5-249-b	22099	5-249-b			0		1	sch	
AviSam	never-seen	covered-by-MW-stem-form	60659	1-189-c	4900	1-297-c			0		1	sch	MW99 stem-family forms: AviS
AvirBUtatva	never-seen	confirmed-missing	589714	5-249-b	22096	5-249-b			0		1	sch	
AvirBUya	never-seen	confirmed-missing	572453	1-297-c	4897	1-297-c			0		1	sch	
AvizpfzWa	never-seen	confirmed-missing	572459	1-297-c	4903	1-297-c			0		1	sch	
Avraskya	never-seen	confirmed-missing	576081	2-294-b	8512	2-294-b			0		1	sch	
AwarUzaka	never-seen	confirmed-missing	52754	1-165-b	46192	7-317-b			0		3	armh;sch;stc	
Awavakayakza	never-seen	confirmed-missing	613925	7-317-b	46195	7-317-b			1	169	1	sch	MAHAVY 169
AyAmatA	never-seen	covered-by-MW-stem-form	614889	7-319-a	47146	7-319-a			0		1	sch	MW99 stem-family forms: AyAmatas
Ayacana	never-seen	covered-by-fold-twin-flagged	614877	7-319-a	47134	7-319-a			0		0		case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
AyattI	never-seen	covered-by-MW-stem-form	585370	4-296-a	17773	4-296-a			0		1	sch	MW99 stem-family forms: Ayatta;Ayatti
BARqya	never-seen	covered-by-fold-twin-flagged	593338	5-262-b	25684	5-262-b			0		1	sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
BAgAnuBAga	never-seen	confirmed-missing	593332	5-262-b	25678	5-262-b			0		1	sch	
BAkArin	never-seen	confirmed-missing	635294	7-365-a	67249	7-365-a			0		0		
BArgavAy	never-seen	covered-by-MW-stem-form	597143	6-304-c	29470	6-304-c			0		0		MW99 stem-family forms: BArgavAya
BAvaBawa	never-seen	confirmed-missing	635348	7-365-b	67303	7-365-b			1	177	1	sch	MAHAVY 177,7
BUtamUkzna	never-seen	confirmed-missing	635485	7-365-c	67432	7-365-c			0		0		
BUtopasfzwa	never-seen	covered-by-fold-twin-flagged	597161	6-304-c	29488	6-304-c			0		3	ap;lrv;sch	case/vowel-length twin of an MW99 form (Akalita/akalita trap) - same lexeme or distinct word, needs eyes
BUyizWatA	never-seen	confirmed-missing	593422	5-262-c	25768	5-262-c			0		1	sch	
BagnacCandas	never-seen	confirmed-missing	597125	6-304-c	29452	6-304-c			0		1	sch	
Bagnayati	never-seen	confirmed-missing	597128	6-304-c	29455	6-304-c			0		1	sch	
Baktimahant	never-seen	confirmed-missing	635101	7-364-c	67057	7-364-c			0		1	sch	
BaktottarikA	never-seen	confirmed-missing	635110	7-364-c	67066	7-364-c			0		1	sch	
BalApay	never-seen	confirmed-missing	593320	5-262-a	25666	5-262-a			0		0		named false-positive class: denominal -aya verb stem (MW handles under root/verb apparatus, not as a separate headword)
Banda	never-seen	covered-by-MW-stem-form	593305	5-262-a	25651	5-262-a			0		2	sch;vcp	MW99 stem-family forms: Band
Bar	never-seen	covered-by-MW-stem-form	324786	4-250-c	67165	7-364-d			0		4	ccs;fri;pwg;sch	MW99 stem-family forms: Bara;Baras;Barat
BartfBawwa	never-seen	confirmed-missing	593314	5-262-a	25660	5-262-a			0		1	sch	
