key	mandala	hymn	verse	sa	hn	ru	de	en
rv09.107.06	9	107	6	पु॒ना॒नः सो॑म॒ जागृ॑वि॒रव्यो॒ वारे॒ परि॑ प्रि॒यः। ⏎ त्वं विप्रो॑ अभ॒वोऽङ्गि॑रस्तमो॒ मध्वा॑ य॒ज्ञं मि॑मिक्ष नः॥	punānaḥ soma jāgṛvir avyo vāre pari priyaḥ | ⏎ tvaṃ vipro abhavo 'ṅgirastamo madhvā yajñam mimikṣa naḥ ||	Очищаясь, о сома бодрствующий, ⏎ (Ты течешь), приятный, кругами в сите из овечьей шерсти, ⏎ Вдохновенный, ты стал лучшим из Ангирасов. ⏎ Приправь нашу жертву медом!	Dich läuternd fließest du, Soma, der Liebling, wachsam in dem Schafhaar um. Du wardst das beredte Oberhaupt der Angiras´; würze unser Opfer mit Süßigkeit!	O Soma, while they cleanse thee, dear and watchful in the sheep's long wool, ⏎ Thou hast become a Singer most like Angiras: thou madest Surya mount to heaven.
rv07.015.11	7	15	11	स नो॒ राधां॒स्या भ॒रेशा॑नः सहसो यहो। ⏎ भग॑श्च दातु॒ वार्य॑म्॥	sa no rādhāṃsy ā bhareśānaḥ sahaso yaho | ⏎ bhagaś ca dātu vāryam ||	Принеси нам почетные дары, ⏎ (Ты,) способный (на это), о юный (сын) силы! ⏎ И пусть Бхага даст (нам) лучший дар!	Bring du uns Ehrengaben, der du es vermagst, jüngster Sohn der Kraft! Auch Bhaga soll uns die erwünschte Gabe geben.	As such, bring us abundant wealth, young Child of Strength, for this thou canst ⏎ May Bhaga give us what is choice.
rv07.081.06	7	81	6	श्रव॑ सू॒रिभ्यो॑ अ॒मृतं॑ वसुत्व॒नं वाजाँ॑ अ॒स्मभ्यं॒ गोम॑तः। ⏎ चो॒द॒यि॒त्री म॒घोन॑ सू॒नृता॑वत्यु॒षा उ॑च्छ॒दप॒ स्रिध॑॥	śravaḥ sūribhyo amṛtaṃ vasutvanaṃ vājāṃ asmabhyaṃ gomataḥ | ⏎ codayitrī maghonaḥ sūnṛtāvaty uṣā ucchad apa sridhaḥ ||	Покровителям – бессмертную славу (и) благополучие! ⏎ Нам награды, состоящие из коров! ⏎ Поощрительница щедрых покровителей, богатая дарами ⏎ Ушас пусть засветит прочь неудачи!	Den Opferherren bringe sie unsterblichen Ruhm und Wohlstand, uns rinderreiche Gewinne. Die Lohnherren anspornend möge die freigebige Usas die Unfälle wegleuchten.	Give to our princes opulence and immortal fame, and strength in herds of kine to us. ⏎ May she who prompts the wealthy, Lady of sweet strains, may Usas dawn our foes away.
rv01.140.05	1	140	5	आद॑स्य॒ ते ध्व॒सय॑न्तो॒ वृथे॑रते कृ॒ष्णमभ्वं॒ महि॒ वर्प॒ करि॑क्रतः। ⏎ यत्सीं॑ म॒हीम॒वनिं॒ प्राभि मर्मृ॑शदभिश्व॒सन्स्त॒नय॒न्नेति॒ नान॑दत्॥	ād asya te dhvasayanto vṛtherate kṛṣṇam abhvam mahi varpaḥ karikrataḥ | ⏎ yat sīm mahīm avanim prābhi marmṛśad abhiśvasan stanayann eti nānadat ||	Вот легко приходят в движение эти его дымящие (языки ⏎ пламени), ⏎ Создающие черное чудище – великую личину, ⏎ Когда он, захватывая великую землю, ⏎ Движется сопя, гремя, ревя.	Dann brechen ausgelassen seine Flammen hervor, Funken stiebend, indem sie das schwarze Ungeheuer, die große Gestalt hervorwirbeln. Wenn er zupackend, anschnaubend, donnernd, laut brüllend seine , mächtige Bahn zieht.	Dispelling on their way the horror of black gloom , making a glorious show these flames Of his fly ⏎ forth, ⏎ When o'er the spacious tract he spreads himself abroad, and rushes panting on with thunder and ⏎ with roar.
rv10.117.01	10	117	1	न वा उ॑ दे॒वाः क्षुध॒मिद्व॒धं द॑दुरु॒ताशि॑त॒मुप॑ गच्छन्ति मृ॒त्यव॑। ⏎ उ॒तो र॒यिः पृ॑ण॒तो नोप॑ दस्यत्यु॒तापृ॑णन्मर्डि॒तारं॒ न वि॑न्दते॥	na vā u devāḥ kṣudham id vadhaṃ dadur utāśitam upa gacchanti mṛtyavaḥ | ⏎ uto rayiḥ pṛṇato nopa dasyaty utāpṛṇan marḍitāraṃ na vindate ||	Боги, несомненно, дали голод не как (единственного) ⏎ убийцу: ⏎ (Разные) смерти приходят и к сытому. ⏎ У дающего не иссякает богатство, ⏎ А не дающий не находит сочувствующего.	Wahrlich, die Götter haben nicht den Hunger als Todesstrafe verhängt. Auch den Gesättigten kommt irgend eine Todesart an. Und der Reichtum des Freigebigen erschöpft sich nicht, aber der Knauser findet keinen, der sich seiner erbarmt.	THE Gods have not ordained hunger to be our death: even to the well-fed man comes death in ⏎ varied shape. ⏎ The riches of the liberal never waste away, while he who will not give finds none to comfort him.
rv05.004.11	5	4	11	यस्मै॒ त्वं सु॒कृते॑ जातवेद उ लो॒कम॑ग्ने कृ॒णव॑ स्यो॒नम्। ⏎ अ॒श्विनं॒ स पु॒त्रिणं॑ वी॒रव॑न्तं॒ गोम॑न्तं र॒यिं न॑शते स्व॒स्ति॥	yasmai tvaṃ sukṛte jātaveda u lokam agne kṛṇavaḥ syonam | ⏎ aśvinaṃ sa putriṇaṃ vīravantaṃ gomantaṃ rayiṃ naśate svasti ||	(Если) какому благочестивому (смертному), о Джатаведас, ⏎ Ты хочешь создать приятное место (в жизни), ⏎ Он достигнет богатства, состоящего из коней, ⏎ Из сыновей, из героев – на счастье.	Der Fromme, dem du, Agni Jatavedas, seinen Platz angenehm machen willst, der kommt glücklich zu einem Schatz von Rossen, Söhnen, Mannen, Rindern.	The pious man, O Jatavedas Agni, to whom thou grantest ample room and pleasure, ⏎ Gaineth abundant wealth with sons and horses, with heroes and with kine for his well-being.
rv01.100.05	1	100	5	स सू॒नुभि॒र्न रु॒द्रेभि॒रृभ्वा॑ नृ॒षाह्ये॑ सास॒ह्वाँ अ॒मित्रा॑न्। ⏎ सनी॑ळेभिः श्रव॒स्या॑नि॒ तूर्व॑न्म॒रुत्वा॑न्नो भव॒त्विन्द्र॑ ऊ॒ती॥	sa sūnubhir na rudrebhir ṛbhvā nṛṣāhye sāsahvāṃ amitrān | ⏎ sanīḷebhiḥ śravasyāni tūrvan marutvān no bhavatv indra ūtī ||	Он с Рудрами, как с сыновьями, мастер, ⏎ В борьбе за власть над мужами покоряющий врагов, ⏎ С родными (Марутами) превосходящий (все) славные деяния ⏎ - ⏎ Сопровождаемый Марутами да будет нам Индра в помощь!	Mit den Rudra´s wie mit seinen Söhnen ist der Meister in der Männerschlacht der Besieger der Feinde, der mit den verbrüderten Marut alle Ruhmestaten überbietet - der Indra soll uns in Begleitung der Marut zu Hilfe kommen.	Strong with the Rudras as with his own children, in manly battle conquering his foemen ' ⏎ With his close comrades doing deeds of glory,-may Indra, girt by Maruts, be our succour.
rv01.018.07	1	18	7	यस्मा॑दृ॒ते न सिध्य॑ति य॒ज्ञो वि॑प॒श्चित॑श्च॒न। ⏎ स धी॒नां योग॑मिन्वति॥	yasmād ṛte na sidhyati yajño vipaścitaś cana | ⏎ sa dhīnāṃ yogam invati ||	Без кого не ладится ⏎ Жертвоприношение даже у вдохновенного, ⏎ Тот погоняет упряжку мыслей.	Ohne den die Anbetung selbst des Redekundigen nicht gelingt; er fördert die Anspannung des Gedanken.	He without whom no sacrifice, e'en of the wise man, prospers; he ⏎ Stirs up the series of thoughts.
rv04.021.08	4	21	8	वि यद्वरां॑सि॒ पर्व॑तस्य वृ॒ण्वे पयो॑भिर्जि॒न्वे अ॒पां जवां॑सि। ⏎ वि॒दद्गौ॒रस्य॑ गव॒यस्य॒ गोहे॒ यदी॒ वाजा॑य सु॒ध्यो॒3 वह॑न्ति॥	vi yad varāṃsi parvatasya vṛṇve payobhir jinve apāṃ javāṃsi | ⏎ vidad gaurasya gavayasya gohe yadī vājāya sudhyo vahanti ||	Когда он раскрывает шири горы, ⏎ Он приводит в движение стремнины вод с их влагой. ⏎ Он находит (сокровище) в укрытии быка-гаура, быка-гавая, ⏎ Если благочестивые выезжают за добычей.	Wenn sich die Breiten des Berges auftun und die Fluten der Gewässer sich regen in ihrem Naß, dann findet er in dem Versteck des Gaurabüffels, des Gavayarindes, wenn die Frommgesinnten zu Gewinn ausfahren.	When he unbars the spaces of the mountains, and quickens with his floods the water-torrents, ⏎ He finds in lair the buffalo and wild-ox when the wise lead him on to vigorous exploit.
rv01.187.03	1	187	3	उप॑ नः पित॒वा च॑र शि॒वः शि॒वाभि॑रू॒तिभि॑। ⏎ म॒यो॒भुर॑द्विषे॒ण्यः सखा॑ सु॒शेवो॒ अद्व॑याः॥	upa naḥ pitav ā cara śivaḥ śivābhir ūtibhiḥ | ⏎ mayobhur adviṣeṇyaḥ sakhā suśevo advayāḥ ||	Приди к нам, о пища, ⏎ Добрая, с добрыми поддержками, – ⏎ Радующий, чуждый предательства ⏎ Друг, очень добрый, не обманчивый!	Komm zu uns, o Speise, freundlich mit deinen freundlichen Hilfen, als erfreulicher, nicht unverträglicher Freund, als liebevoller, unzweideutiger!	Come hitherward to us, O Food, auspicious with auspicious help, ⏎ Health-bringing, not unkind, a dear and guileless friend.
