slug	class	verdict	hw_slp1	matched_seg	gloss
nalipa	cologne_mw	match_G2	nAlIpa	nauclea cadamba	Nālīpa (नालीप):— m. Nauclea Cadamba (?), [cf. Lexicographers, esp. such as amarasiṃha, halāyudha, hemacandra, etc.]
abhrikhata	cologne_mw	match_G3	aBriKAta	dug up with a spatula and	Abhrikhāta (अभ्रिखात):—[= abhri-khāta ] [from abhri ] ( abhri -) mfn. dug up with a spatula, [Atharva-veda iv, 7, 5 and 6.]
upadravin	cologne_ap90	match_G3	upadravin	attacking oppressive tyrannical factious a tyrant an oppressor a rebel	[ «previous (U) next» ] — Upadravin in Sanskrit glossary Upadravin (उपद्रविन्).— a. 1) Attacking, oppressive, tyrannical, factious. m. 1) A tyrant, an oppressor. 2) A rebel.
vartman	cologne_ap90	match_G2	vartman	a way road path passage track	[ «previous (V) next» ] — Vartman in Sanskrit glossary Vartman (वर्त्मन्).— n. [ vṛt-manin ] 1) A way, road, path, passage, track; वर्त्म भानोस्त्यजाशु ( vartma bhānostyajāśu ) Meghadūta 41; पारसीकांस्ततो जेतुं प्रतस्थे स्थलवर्त्मना ( pārasīkāṃstato jetuṃ pratasthe sthalavartmanā ) 'by land'; आकाशवर्त्मना ( ākāśavartmanā ) 'through the air'. 2) (Fig.) A way, course, an established or prescribed usage, the usual manner or course of conduct; मम वर्त्मानुवर्तन्ते मनुष्याः पार्थ सर्वशः ( mama vartmānuvartante manuṣyāḥ pārtha sarvaśaḥ ) Bhagavadgītā (Bombay) 3.23; रेखामात्रमपि क्षुण्णादा मनोर्वर्त्मनः परम् । न व्यतीयुः प्रजास्तस्य नियन्तुर्नेमिवृत्तयः ( rekhāmātramapi kṣuṇṇādā manorvartmanaḥ param | na vyatīyuḥ prajāstasya niyanturnemivṛttayaḥ ) R.1.17 (where the literal sense is also intended); अहमेत्य पतङ्गवर्त्मना पुनरङ्काश्रयिणी भवामि ते ( ahametya pataṅgavartmanā punaraṅkāśrayiṇī bhavāmi te ) Kumārasambhava 4.2 'after the manner of a moth'. 4) Room, scope for action; न वर्त्म कस्मैचिदपि प्रदीयताम् ( na vartma kasmaicidapi pradīyatām ) Kirātārjunīya 14.14. 5) An eye-lid; अस्मिन् सर्पिर्वोदकं वा सिञ्चन्ति वर्त्मनी एव गच्छति ( asmin sarpirvodakaṃ vā siñcanti vartmanī eva gacchati ) Ch. Up.4.15.1. 6) An edge, a border.
apratima	cologne_ap90	match_G2	apratima	without an equal or parallel incomparable matchless unrivalled	[ «previous (A) next» ] — Apratima in Sanskrit glossary Apratima (अप्रतिम).— a. 1) Without an equal or parallel, incomparable, matchless, unrivalled; त्वं ह त्यदप्रति मानमोजो ( tvaṃ ha tyadaprati mānamojo ) Ṛgveda 8.96.17. रामस्य पश्याप्रतिमानमोजः ( rāmasya paśyāpratimānamojaḥ ) Mv.1.62; ° रूपत्वम् ( rūpatvam ) ; ° वीर्य, °बुद्धि ( vīrya, °buddhi ) &c. 2) Improper; तस्मात्त्वया समारब्धं कर्म ह्यप्रतिमं परैः ( tasmāttvayā samārabdhaṃ karma hyapratimaṃ paraiḥ ) Rām.6.12.35. See also (synonyms): apratimāna .
sthasu	cologne_ap90	match_G2	sTAsu	bodily strength	[ «previous (S) next» ] — Sthasu in Sanskrit glossary Sthāsu (स्थासु).— n. Bodily strength.
konakoni	cologne_ap90	match_G2	koRAkoRi	from angle to angle corner wise diagonally	[ «previous (K) next» ] — Konakoni in Sanskrit glossary Koṇākoṇī (कोणाकोणी).— ind. From angle to angle, corner-wise, diagonally.
ganita	cologne_ap90	match_G2	gaRita	counted numbered calculated regarded cared for c	[ «previous (G) next» ] — Ganita in Sanskrit glossary Gaṇita (गणित).— p. p. [ gaṇ-kta ] 1) Counted, numbered, calculated. 2) Regarded, cared for &c; see गण् ( gaṇ ) .
bilvakiya	cologne_ap90	match_G2	bilvakIyA	a place planted with bilva trees	[ «previous (B) next» ] — Bilvakiya in Sanskrit glossary Bilvakīyā (बिल्वकीया).—A place planted with Bilva trees.
aprakampa	cologne_ap90	match_G3	aprakaMpa	unshaken also firm steady unanswerable as argument	[ «previous (A) next» ] — Aprakampa in Sanskrit glossary Aprakampa (अप्रकम्प).— a. 1) Unshaken (fig. also), firm, steady. 2) Unanswerable (as argument).
ava	cologne_ap90	match_G2	ava	b diffusion pervasion	[ «previous (A) next» ] — Ava in Sanskrit glossary Ava (अव).—Favour; अग्नेरवेण मरुताम् ( agneraveṇa marutām ) Ṛgveda 1.128.5. Derivable forms: avaḥ (अवः). --- OR --- Ava (अव).— ind. (the initial a is sometimes dropped, as in pūrvāparau toyanidhī vagāhya Kumārasambhava 1.1) 1) (As a preposition) Away, off, away from, down; कृत्वा मुखान्यवशुचः श्वसनेन शुष्यत् ( kṛtvā mukhānyavaśucaḥ śvasanena śuṣyat ) Bhāgavata 1.29.29. 2) (As a prefix to verbs) It expresses ( a ) determination; अवधृ, अवसो ( avadhṛ, avaso ) ; ( b ) diffusion, pervasion; अवकॄ-कीर्ण ( avakṝ-kīrṇa ) ; ( c ) disrespect; अवज्ञा, अवमन् ( avajñā, avaman ) ; ( d ) littleness; व्रीहीनवहन्ति ( vrīhīnavahanti ) ; ( e ) support, resting upon; अवलम्ब् ( avalamb ) ; ( f. ) purification, अवदात ( avadāta ) ; ( g ) depreciation, discomfiture; अवहन्ति शत्रून् ( avahanti śatrūn ) ( parābhavati ); ( h ) commanding; अवक्लृप् ( avaklṛp ) ; ( i ) depression, bending down; अवतृ, अवगाह् ( avatṛ, avagāh ) ( j ) knowledge; अवगम्, अवइ ( avagam, avai ) . 3) As the first member of Tat. compounds it means अबक्रुष्ट ( abakruṣṭa ) ; अवकोकिलः ( avakokilaḥ ) = अवक्रुष्टः कोकिलया ( avakruṣṭaḥ kokilayā ) Sk.
upakarman	cologne_ap90	match_G2	upAkarman	preparation beginning commencement	[ «previous (U) next» ] — Upakarman in Sanskrit glossary Upakarman (उपकर्मन्).— n. A rite in which the head of the boy ( vaṭuḥ ) is smelt at the उपनयन ( upanayana ) ceremony; जातकर्मणि यत्प्राह पिता यच्चोपकर्मणि ( jātakarmaṇi yatprāha pitā yaccopakarmaṇi ) Mahābhārata (Bombay) 12.266.16. --- OR --- Upākarman (उपाकर्मन्).— n. 1) Preparation, beginning, commencement; अध्याय° ( adhyāya° ) . 2) A ceremony performed before commencing to read the Veda after the monsoons (cf. śrāvaṇī ); अध्यायानामुपाकर्म श्रावण्यां श्रवणेन वा । हस्तेनौषधिभावे वा पञ्चम्यां श्रावणस्य तु ( adhyāyānāmupākarma śrāvaṇyāṃ śravaṇena vā | hastenauṣadhibhāve vā pañcamyāṃ śrāvaṇasya tu ) || Y.1.142; Manusmṛti 4.119.
gadura	cologne_ap90	match_G2	gaqura	hump backed crooked bent	[ «previous (G) next» ] — Gadura in Sanskrit glossary Gaḍura (गडुर).— a. Hump-backed crooked, bent. See also (synonyms): gaḍula .
anehas	cologne_ap90	match_G2	anehas	without a rival incomparable unattainable inaccessible	[ «previous (A) next» ] — Anehas in Sanskrit glossary Anehas (अनेहस्).— a. [ na hanyate, han-asi, dhātoḥ ehādeśaḥ nañi han eha ca Uṇādi-sūtra 4.223] (lit.) Not killed or destroyed or obstructed; Ved. without a rival, incomparable, unattainable, inaccessible; unobstructed, not liable to be hurt or injured; शंभुवं मन्त्रं देवा अनेहसम् ( śaṃbhuvaṃ mantraṃ devā anehasam ) Rv.I.4.6,4;6.5.3. -m. ( hā-hasau &c.) Time (not being liable to be destroyed). cf. तस्मादनेहसं कंचित्प्रतीक्षस्व महाभुज ( tasmādanehasaṃ kaṃcitpratīkṣasva mahābhuja ) Śiva. B. 9.18 also 5.11,59. कुसुमबाणसखेन सुखासितं विपिनमापि न मानमनेहसा ( kusumabāṇasakhena sukhāsitaṃ vipinamāpi na mānamanehasā ) Rām. Ch.4.11.
ananuda	cologne_ap90	match_G2	anAnuda	unsurpassed in giving	[ «previous (A) next» ] — Ananuda in Sanskrit glossary Anānuda (अनानुद).— a. Ved. [ अनु ददाति ( anu dadāti ) ; दा-क न ( dā-ka na ) . त ( ta ) ., पृ ( pṛ ) . दीर्घः ( dīrghaḥ ) ] Unsurpassed in giving ( anulyadātṛ ). अनानुदो वृषभो ( anānudo vṛṣabho ) Ṛgveda 2.23.11.
jatila	cologne_ap90	match_G2	jawila	wearing matted or twisted hair as an ascetic	[ «previous (J) next» ] — Jatila in Sanskrit glossary Jaṭila (जटिल).— a. [ jaṭā astyarthe ilac ] 1) Wearing matted or twisted hair (as an ascetic); विवेश कश्चिज्जटिलस्तपोवनम् ( viveśa kaścijjaṭilastapovanam ) Ku. 5.3; ( jaṭila may be here a noun meaning 'an ascetic'); ज्येष्ठानुवृत्तिजटिलं च शिरोऽस्य साधोः ( jyeṣṭhānuvṛttijaṭilaṃ ca śiro'sya sādhoḥ ) R.13.78. 2) Complicated, confused, intermixed, intermingled; विजानन्तोऽ प्येते वयमिह विपज्जालजटिलान् । न मुञ्चामः कामानहह गहनो मोहमहिमा ( vijānanto' pyete vayamiha vipajjālajaṭilān | na muñcāmaḥ kāmānahaha gahano mohamahimā ) Bhartṛhari 3.21; शिखाकलाप° ( śikhākalāpa° ) Pañcatantra (Bombay) 2.81; Ve.2.18. 3) Dense, impervious; Bv.1.52. -laḥ 1 A lion. 2) A goat. 3) An ascetic. 4) A Brāhmaṇa in the first period of his life. -lā Long pepper.
anarva	cologne_ap90	match_G2	anarva	free unobstructed permanent	[ «previous (A) next» ] — Anarva in Sanskrit glossary Anarva (अनर्व).— a. Ved. Not lax or loose ( aśithila ) त्रिनाभिचक्रमजरमनर्वम् ( trinābhicakramajaramanarvam ) Ṛgveda 1.164.2.; free, unobstructed, permanent.
hasya	cologne_ap90	match_G2	hAsya	laughable ridiculous	[ «previous (H) next» ] — Hasya in Sanskrit glossary Hāsya (हास्य).— a. [ has-ṇyat ] Laughable, ridiculous; संरुद्धचेष्टस्य मृगेन्द्र कामं हास्यं वचस्तद्यदहं विवक्षुः ( saṃruddhaceṣṭasya mṛgendra kāmaṃ hāsyaṃ vacastadyadahaṃ vivakṣuḥ ) R.2.43. -syam 1 Laughter; क्रीडां शरीरसंस्कारं समाजोत्सवदर्शनम् । हास्यं परगृहे यानं त्यजेत् प्रोषितभर्तृका ( krīḍāṃ śarīrasaṃskāraṃ samājotsavadarśanam | hāsyaṃ paragṛhe yānaṃ tyajet proṣitabhartṛkā ) || Y.1.84. 2) Mirth, amusement, sport; तस्माद्द्यूतं न सेवेत हास्यार्थमपि बुद्धिमान् ( tasmāddyūtaṃ na seveta hāsyārthamapi buddhimān ) Manusmṛti 9.227. 3) Jest, joke. 4) Derision, ridicule; तुष्टैर्बद्धं तदलघु रघु- स्वामिनः सच्चरित्रं क्रुद्धैर्नितस्त्रिभुवनजयी हास्यमार्गं दशास्यः ( tuṣṭairbaddhaṃ tadalaghu raghu- svāminaḥ saccaritraṃ kruddhairnitastribhuvanajayī hāsyamārgaṃ daśāsyaḥ ) Vikr. 18.17. -syaḥ The sentiment of mirth or humour, one of the eight or nine sentiments in poetry; it is thus defined :- विकृताकारवाग्वेषचेष्टादेः कुहकाद्भवेत् । हास्यो हास- स्थायिभावः ( vikṛtākāravāgveṣaceṣṭādeḥ kuhakādbhavet | hāsyo hāsa- sthāyibhāvaḥ ) (so must the line be read instead of hāso hāsya- sthāyibhāvaḥ ) श्वेतः प्रमथदैवतः ( śvetaḥ pramathadaivataḥ ) S. D.228.
vyalola	cologne_ap90	match_G2	vyAlola	shaking about tremulous disordered dishevelled	[ «previous (V) next» ] — Vyalola in Sanskrit glossary Vyālola (व्यालोल).— a. 1) Shaking about, tremulous. 2) Disordered, dishevelled; एतत्तालतमालसालसरलव्यालोलवल्लीलताच्छन्नम् ( etattālatamālasālasaralavyālolavallīlatācchannam ) ... Vālmīki's Gaṅgāṣtaka 6; व्यालोलः केशपाशः ( vyālolaḥ keśapāśaḥ ) Gītagovinda 11.
gautami	cologne_ap90	match_G3	gOtamI	of krpi wife of drona an epithet of the godavari the teaching of buddha the nyaya system of philosophy propounded by gautama turmeric a kind of yellow pigment an epithet of durga of the river gomati	[ «previous (G) next» ] — Gautami in Sanskrit glossary Gautamī (गौतमी).— 1) Name of Kṛpī, wife of Droṇa. 2) An epithet of the Godāvarī. 3) The teaching of Buddha. 4) The Nyāya system of philosophy propounded by Gautama. 5) Turmeric. 6) A kind of yellow pigment. 7) An epithet of Durgā. 8) Name of the river Gomatī.
praveka	cologne_ap90	match_G2	praveka	best chief choicest most excellent	[ «previous (P) next» ] — Praveka in Sanskrit glossary Praveka (प्रवेक).— a. Best, chief, choicest, most excellent; अथ यानप्रवेकैस्तु कौसल्याप्रमुखाः स्त्रियः ( atha yānapravekaistu kausalyāpramukhāḥ striyaḥ ) ( prayayuḥ ) Rām.2.92.36; Bhāgavata 7.8.23.
bata	cologne_ap90	match_G2	bata	a particle expressing sorrow regret alas	[ «previous (B) next» ] — Bata in Sanskrit glossary Bata (बत).— ind. A particle expressing :- 1) Sorrow, regret (alas !); बयं बत विदूरतः क्रमगता पशोः कन्यका ( bayaṃ bata vidūrataḥ kramagatā paśoḥ kanyakā ) Mālatīmādhava (Bombay) 3.18; अहो बत महत् पापं कर्तुं व्यवसिता वयम् ( aho bata mahat pāpaṃ kartuṃ vyavasitā vayam ) Bhagavadgītā (Bombay) 1.45. 2) Pity or compassion; क्व बत हरिणकानां जीवितं चातिलोलम् ( kva bata hariṇakānāṃ jīvitaṃ cātilolam ) Ś.1.1. 3) Addressing, calling; बत वितरत तोयं तोयवाहा नितान्तम् ( bata vitarata toyaṃ toyavāhā nitāntam ) G. M.; R.9.47. 4) Joy or satisfaction; अपि बत मधुपुर्या- मार्यपुत्रोऽधुनास्ते ( api bata madhupuryā- māryaputro'dhunāste ) Bhāgavata 1.47.21; अहो बतासि स्पृहणीयवीर्यः ( aho batāsi spṛhaṇīyavīryaḥ ) Kumārasambhava 3.2. 5) Wonder or surprise; वनजे नेति बलं बतास्ति सत्त्वे ( vanaje neti balaṃ batāsti sattve ) Kirātārjunīya 13.8; अहो बत महच्चित्रम् ( aho bata mahaccitram ) K.154. 6) Censure, 7) Truth ( satyārtha ); कल्याणी बत गाथेयं लौकिकी प्रतिभाति माम् ( kalyāṇī bata gātheyaṃ laukikī pratibhāti mām ) Rām.5.34.6. For the meanings of बत ( bata ) with अहो ( aho ) see under अहो ( aho ) .
vasas	cologne_ap90	match_G2	vAsas	a cloth garment clothes	[ «previous (V) next» ] — Vasas in Sanskrit glossary Vāsas (वासस्).—[ vas-āchādane asi ṇiñca ] 1) A cloth, garment, clothes; वासांसि जीर्णानि यथा विहाय नवानि गृङ्णाति नरोऽपराणि ( vāsāṃsi jīrṇāni yathā vihāya navāni gṛṅṇāti naro'parāṇi ) Bhagavadgītā (Bombay) 2.22; Kumārasambhava 7.9; Meghadūta 61. 2) A pall. 3) A curtain.
adhyavasita	cologne_ap90	match_G2	aDyavasita	attempted mentally apprehended determined	[ «previous (A) next» ] — Adhyavasita in Sanskrit glossary Adhyavasita (अध्यवसित).— p. p. Attempted, mentally apprehended, determined.
tvacayati	cologne_ap90	match_G2	tvacayati	to cover with a hide to peel off the skin	[ «previous (T) next» ] — Tvacayati in Sanskrit glossary Tvacayati (त्वचयति).—Den. P. 1) To cover with a hide. 2) To peel off the skin.
marmara	cologne_ap90	match_G2	marmara	rustling leaves garments c	[ «previous (M) next» ] — Marmara in Sanskrit glossary Marmara (मर्मर).— a. [ mṛ-aran muṭ ca ] 1) Rustling (leaves, garments &c.); तीरेषु तालीवनमर्मरेषु ( tīreṣu tālīvanamarmareṣu ) R.6.57;4.73;19.41; मदोद्धताः प्रत्यनिलं विचेरुर्वनस्थलीर्मर्मरपत्रमोक्षाः ( madoddhatāḥ pratyanilaṃ vicerurvanasthalīrmarmarapatramokṣāḥ ) Kumārasambhava 3.31. 2) Murmuring. -raḥ 1 A rustling sound. 2) A murmur. 3) A kind of garment. -rā Coarse ground meal.
paryapta	cologne_ap90	match_G2	paryApta	obtained got gained	[ «previous (P) next» ] — Paryapta in Sanskrit glossary Paryāpta (पर्याप्त).— p. p. 1) Obtained, got, gained; पर्याप्तसप्तभुवनाभयदक्षिणानि ( paryāptasaptabhuvanābhayadakṣiṇāni ) ( tātacaritāni ) Uttararāmacarita 5.33. 2) Finished, completed. 3) Full, whole, entire, complete, all; पर्याप्तचन्द्रेव शरत्त्रियामा ( paryāptacandreva śarattriyāmā ) Kumārasambhava 7.26; R.6.44. 4) Able, competent, adequate; ( na ) क्रुद्धस्य समरे स्थातुं पर्याप्ताः ( kruddhasya samare sthātuṃ paryāptāḥ ) Mahābhārata (Bombay) 7.15.5. पर्याप्तोऽसि प्रजाः पातुम् ( paryāpto'si prajāḥ pātum ) R.1.25. 5) Enough, sufficient; यावतैषां समाप्येरन् यज्ञाः पर्याप्तदक्षिणाः ( yāvataiṣāṃ samāpyeran yajñāḥ paryāptadakṣiṇāḥ ) R.17.17; Manusmṛti 11.7. 6) Large, extensive, spacious; पर्याप्तनेत्रम् ( paryāptanetram ) Ve.4.1. 7) Abundant, copious, many; पर्याप्तपुष्पस्तबकस्तनाभ्यः ( paryāptapuṣpastabakastanābhyaḥ ) Kumārasambhava 3.39; 9) Limited in number; अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ( aparyāptaṃ tadasmākaṃ balaṃ bhīṣmābhirakṣitam paryāptaṃ tvidameteṣāṃ balaṃ bhīmābhirakṣitam ) || Bhagavadgītā (Bombay) 1.1. -ptam ind. 1) Willingly, readily. 2) To one's satisfaction, enough, sufficiently; पर्याप्तमाचामति ( paryāptamācāmati ) Uttararāmacarita 4.1. 'drinks his fill'. 3) Fully, adequately, ably, competently.
