slp1	iast	freq_band	poly_band	mw_gold_words	heritage_gloss_sha256	heritage_gloss_words	ru_gloss_sha256	ru_gloss_words	ru_renderings_kept	ru_renderings_distinct	ru_rank1_share	ru_n_total
dviguRa	dviguṇa	high	poly2_4	20	9adb25851ef11aa8d6c5ac4859c5b9fc841ecece8250055249051b36b82ec1f3	59	2494c3547fc7f519054ac453770d1b6bb1b909dde859451d0e0cc6032284e78f	6	5	21	0.2	45
dAnava	dānava	high	poly2_4	50	d06ca538cd98786c63b5f089b1868ecd69cb6ae9119cb118a121e93c5072b955	5	90f871ba170194400701c6ea3633eea998f29c6e5429c3dae4d8a914379ebeba	5	5	27	0.358	243
fzi	ṛṣi	high	poly2_4	132	e0131b01ca93f9bfcad53db528726ebf158e56c1009877d3b3ce6be0c854893b	182	56719dae6d5e75a9a6f8dedf25b19932acc5451b0fa440ac342a2858e8dea741	5	5	85	0.4667	992
upadiS	upadiś	high	poly2_4	59	440b59f56d0697c70ae8df598beee236678ed4dce6d8e1d47ccb2a1b19c62682	42	c270762442a50fcbbc3f3a61699f48c573aace8d751356e1fdfc38a03bf5097c	5	5	55	0.0897	78
rAjya	rājya	high	poly2_4	38	bcf2728b185a591b41386a7b7121392c20f58501b57efd0da49bcf359c3dba9b	102	5b0f6528a8465ef830ee9a4131e9a690312d6379708286f190b9cfe7cfe2341e	6	5	72	0.437	691
idam	idam	high	poly2_4	147	ea56b91a06cc10bca108b547a649f18eae028c2bf0053b276200fa9b5e5e32f6	4	028f3aaccbb7b8887ae51fe74eb597ac90c7e1bc0501aafca8ae64832ab77c07	5	5	637	0.1547	6979
Ap	āp	high	poly2_4	98	0818930f528831073632f0c824bc8bbf73c84d58c279da344ddc274a89acc505	107	5d7c598bbe4e91e67e24e6ec565d4cb6d807629b5e295d264c6f9f2d16fdfcbc	5	5	171	0.1637	391
yadA	yadā	high	poly2_4	105	4fa6f55100868f9885dfba25181ac62bf104beb883c4b59b70280567e24c9f32	34	0995feedff8a729980fe36f21aa596d1e8939815366b6ba038fe129b7b889463	8	5	37	0.5493	335
samiD	samidh	high	poly2_4	41	b8ea343c0acf357696dc785cb8a86bc45f0cf4f4fa5d723bf216f326313ca7ca	18	7e326998ad9bc945fe83e8d4ebd233009d1abdfee358846804473b52aa3b8c21	5	5	31	0.2348	132
vidyA	vidyā	high	poly2_4	123	f38f1861929584371288f4974f60668809b04dcf25581633a5c0704c651a3d3e	50	2ac5095e6a4ae1b91544f1d2a90cd6b6ec7c05ae52ee547232baf1718c9e84a7	5	5	79	0.2737	274
aBiBU	abhibhū	high	poly2_4	24	8ac65f5bab17849a26e7b107887bf0c43a87dcf5c4a35714f903b7f3a60421d6	25	71235e6144c45a9c26b46d61c9150f0345fe07e26fef2e5d6e492272b4048e1c	5	5	117	0.0323	155
prasTA	prasthā	high	poly2_4	110	094ea1475a986c4e758fe6fe128c3980580868c132c75a57496f4e037886e9c9	47	597e70e1d5b0d9fab7698c3ade442d3abf90083bfa49c5e448dc1c18c942dca0	7	5	133	0.0985	203
Slezman	śleṣman	high	poly2_4	34	3c2e4a740d964ca96fbf663fef0ce6a681f3108411bdd86367c68bd9635a3418	25	368fa3452aabb60190e099d8912743f47fb59fa870709a595da4da1ff9932321	5	5	5	0.2857	7
Uru	ūru	high	poly2_4	24	cf453daeee4386fc7e9d0fe71dced6311003dc051dfa72e24317da66be124c69	2	5b31f08e0ce2365e4c8b52f0f48ba318c58eebe7e215d0a847063b3d6eadfd5c	5	5	25	0.3594	128
saMyuga	saṃyuga	high	poly2_4	10	98b22f2751823b7e92a1ac77ee15642c84116bf993a9cfedce5309b88af14ceb	13	1852941aecb209c7ead15b81cde7edeb760ec381c9e5d1c0e3fa5bdc6dd200a4	8	5	56	0.1989	367
ftu	ṛtu	high	poly2_4	121	e54ff51846807f4c36fa908372d7f4e7b8ef14c8edbb0a1541348de4194fe741	116	104e76d4482832d10122719fb7a6c0a9c5d6455b84405d03d0f03ec2a5141699	10	5	67	0.2244	205
yaTAvat	yathāvat	high	poly2_4	11	478d8c0671435e7c54dd6e801d770803447a0549cf15628250a664cf6a1bf292	10	df2d780d7041de4a810ae22150c4a252fea2a6f4c5844d7b7e4f88443cd74e5e	10	5	71	0.1391	151
stu	stu	high	poly2_4	104	3219c8f3f9249c79c24577441245cb926cbad2e26c3e37f36abe66b3994a0a99	112	eefe45924522e3fcab21ef804185a21a999d6a7d3d81e3080203712cb3e0ca98	5	5	189	0.0315	445
kzuD	kṣudh	high	poly2_4	14	ff3ed94a04f4d3e7d609d536e025922e4b25449cb0cda112ad5bc17293ef0c97	14	0572d2c3cc3c0f7c82e5e6ef30fe680ff461733740d571500cdedbeac7bc1442	5	5	20	0.1364	44
an	an	high	poly2_4	25	ba0a3731b320fa44a42100e273f27d514a9e115017bf6ca676c6fb903ab6150a	9	226b7141216436a4ffd709df88b351a77a5ef751fb361c5d8b9537cc2f95d420	5	5	10	0.1818	11
apriya	apriya	high	poly2_4	14	2b6024246e10755e1f7849e2cbf1525c45f7a400dd8a6fbc94c567714b6c52ef	18	a4fd984ac096d35c6ac7b6850dae8e6a00dc70d68038fb5f6a0afe17fb4a1910	5	5	86	0.1538	156
dehin	dehin	high	poly2_4	19	7975546962cf1fd568808eb18e380920099a8455ae9ffbc975c85663697bc2df	28	42dfe72cc676f307a415daab0a71fe025cad847759ea8bef2e37cff77608337a	7	5	46	0.1127	71
loBa	lobha	high	poly2_4	39	8ecb8797d2f439239a90532bba2cf97736ccfd51aa719a1c1a805abb6306a928	57	dbdb99872ec850fa4d091e58a8e482842b1b30c95f2e649dcb201069382bfb20	5	5	66	0.2296	196
dvipa	dvipa	high	poly2_4	24	3a5db02712132a952815e3ed656f0694b9972cc1d13cfb700c0b5dd73deda12e	16	503b1526ad01e090b3915072bf650104d09effdbfa4232b63bfd6525e00bff73	5	5	12	0.3689	122
nakzatra	nakṣatra	high	poly2_4	134	25d7b1378b1f2c55ccaeaeb7fbac315846603db52f0cb518f6a1266758799e69	233	63f231816d7afcb183b363c9af352f532fd803688b9e388661999c0f3f59063c	5	5	37	0.183	153
jAnu	jānu	high	poly2_4	26	378deb60fbe2d8a1ae0b6e3628792097b44d5b6cd5aa6d226c4872e2ce614235	20	b146240ed55b8fdd4e6e08f458b7e37f10c579ab3b075fca4ae3037f5b098aba	6	5	12	0.2632	38
kAsa	kāsa	high	poly2_4	17	b8886e115fd74a7dd9eb99023363938c8d717f036ae5074daf98abe24354f824	5	6581db3b882ed3d22cd8cf6d131f92615002cb80e8a771bb5727f72479ee7e07	5	4	4	0.6667	9
rAkzasa	rākṣasa	high	poly2_4	125	454330923af337e4ab7dde2d2ae11c86122ffdede6ec9856b04536a2dea14aea	131	3a7e17e6bc6178a39e5ec4d485f7f7872171c1b588d24eb0f6880288174905ef	5	5	45	0.228	658
druma	druma	high	poly2_4	34	967ad79a5f4e5b6aaa7c1a59183bf916f06aabf768679528af32e7694b80f4dc	23	e16479711b9c08d1443c469a767c1c5ff57c921b3ae2708b0e832b5e0c181341	5	5	28	0.2727	165
pitf	pitṛ	high	poly2_4	123	fb59a816a44e1e32c7baaaf5edd1778e5d80301f5416501695def2f197afe9bc	59	3843d0811116fb18fe4b913ac67ac1a950e4dd55dea33047bf75d01c10fe6df3	5	5	164	0.2707	2250
yuD	yudh	high	poly2_4	117	7b6d58a1c42fcfeda78d168c5dc890ea1ffe3f9d6bdd270f62c19d7ea9782c57	77	af2fd8568bd0b6cb9a7aee8fbab1e2a970e5f20b102e32ca670005803805ad88	7	5	263	0.1156	1246
havis	havis	high	poly2_4	37	70bb9ec84150aeb470f1763670e0cbc3166ae3cfa5a74cfd63c557613291e3d6	17	d0cb246f05d49372332c7411ab127b789bb0c989b6d5da69f4dbf8c2675e8a97	7	5	85	0.1077	390
tfp	tṛp	high	poly2_4	76	7f700e5f8bbf00cea01a75d4dd33775578a92ad530eb3a85e509b55ccc8dcae2	58	4cba8d30434c5ed02ee471e4e24fee8695608290ca959f521e3cf35796d7eb19	5	5	70	0.097	134
vaRij	vaṇij	high	poly2_4	20	d0087e9a2dfdbb5ce4bb5fad2f8360f3376abb00f83390431e169d8f1f96f9fe	12	bb4a6dffec1f118ed0953b8037d7b9ea1d91f3b0a6627a090fc74b8ca0d88641	5	5	18	0.4286	70
nizad	niṣad	high	poly2_4	77	e09488a39b6a01584cb1ec4486115e53f30499490683dc31d404cd948c627e4c	31	e54d721be0331877792804c46e4b0b7e8abcc2b7e5803ae5fddb096ea3a27002	5	5	92	0.0719	167
mahABAga	mahābhāga	high	poly2_4	44	76550b2a0c12e91ca9d9a4fcbe174562c7155686abd7f0c7ad2247b6008533f6	23	6bd9f5d841486767dad65bee37600bc098c96162cabc85d87727302cc5ffc240	11	5	157	0.0569	246
dveza	dveṣa	high	poly2_4	18	3ad65d393de7f5565e8ed781b0c0357b7c6666bbbd8e32c8eeb83abf08763cd8	36	64e1a0495ae1094db707ffd5cdccaaa78209bc35915dcf55efe9dd8e77f52c47	5	5	40	0.2645	155
Avaha	āvaha	high	poly2_4	44	584c24a85400a4f3196ffea0764afddca2db370315d846d5fe49269c79c72788	63	45bb0fea758e9768fef0944da83af6608e15a547c686e39f79b76a7640a6801f	6	5	6	0.375	8
Apat	āpat	high	poly2_4	62	eb05122a55922724a10fecff336992127160f68b6cea7e9fce06700a25bc0581	26	15308a5860fe463ea1e8d62fc9987aab38483fc62dc61b43fd5a80bc9cb76bbe	5	5	101	0.0647	139
niBa	nibha	high	poly2_4	27	f87210048fad51c55db189ab355124b0aba28574d2f8b13c0a6e2af96f773b2c	21	40263d40ae361064f82c9cee4413ab19fc2f0d611b09badc34f57ff92c8cb9f3	5	5	20	0.1481	27
uB	ubh	high	poly2_4	20	08e7e441944fa29984d86f8d0e24a4324bff1fd77aaa7b2df798bad5fec9ce48	3	e9911d6a7b1d9cc393377a5a4ed54044df52c8c4c77d4a73419fbfd6910a14fa	5	5	32	0.3471	170
lih	lih	high	poly2_4	74	08ab624e458fc0d14994005cae49f3efaba89f8d7030b999697195fae96a6c86	74	1b9d20dc51640fa1f369295141feef455de4b7a2704a3ffe1f91f9c235ce8745	5	5	6	0.2857	7
kAnana	kānana	high	poly2_4	27	0ff4b763e6202b87831354026be3d9f6a5a986c1421ae7c516879dc391f5d77d	8	a54650eea7c9deeb864252223acbf78034323861ab407d58fd7d3f441812629e	5	5	27	0.1892	74
tulya	tulya	high	poly2_4	38	f765102794f5dfa10681516b6630d7a9bd4aa7461935659c177fb8d0a1b71159	35	c95ff791f27a8ef516136cea55983dbe18ccac8dfa966d9cb2d3d5e76d7d2141	5	5	72	0.1062	160
antar	antar	high	poly2_4	54	a70dab865b38be9fdbe8b71a628d075360df6985702e120b87d327cf1f5d92be	54	07cadf4908f1869445e07006fff27ed9830c0e3d43fb67327e9b819b6225cc4d	5	5	56	0.279	233
manuzya	manuṣya	high	poly5p	41	e46d3e66f76213d9d83fb9b46f4e1b8a2871f987b5b6c43f522e87b7742494cd	25	018ba5ca0d68aa2cecea18ed5518576052f8df86b2ef0db6502f0e0c6cf5bcd5	5	5	60	0.2879	396
giri	giri	high	poly5p	106	9e11bca3b9462c3699393f55b567e26c3098dd6cbbfc015337a2b64a2ca7a545	19	1068355738f7be2db38a1faffa85f2d8dd2992244e8203175872ecd44210b0d9	5	5	49	0.3065	323
brAhmaRa	brāhmaṇa	high	poly5p	132	05211cfd08a03c3343106f564e398250ee2086d0940428668ed0741f24e6809f	86	1a74fdf6e07c0e4dc0faf4a6cee907fa0616b90e6a1bb497ede135e150ae7859	5	5	79	0.2109	1261
Adya	ādya	high	poly5p	56	303ee9eec2302c7619e9051a083bffde80be587da16d339943521818c1b4f318	23	b99579a38a0fc518b7780545a7f4dab3af72e73e800a0a1117c225b426589f90	5	5	56	0.1023	88
Agneya	āgneya	high	poly5p	56	b8a1adcb2376c52589bf4ba055529d1e3a0108360b397825847f0d9b0ab06fe6	72	6e78a5b2a4f9582bd8f2b465eefc3c187758d2f96f736ede579716a84e5e86e6	5	5	22	0.2245	49
SarkarA	śarkarā	high	poly5p	40	42580260c4acb357006b0e70e118ee5adc8e335065f627118d99c735e86763c4	32	25406e944d02154f64a328d08673cd8825145c9814dcfc62474882842e3e44b3	5	5	9	0.1667	12
gamBIra	gambhīra	high	poly5p	83	c4858242b239d5f243edb6d62d07ff9c7555c374faa38cd7aeef5e7d57ead6b9	42	c2076486529a05be421c10972b74a1fbbdfae854ece5f6bd87c04dac6fe0ca2c	5	5	23	0.1176	34
mahAdeva	mahādeva	high	poly5p	43	ed5d6deec9457262fd294acccade6c072c22e45700a02336377fb664b7a837f6	65	e4710203d11c75c5d55a5aa55b0c68ec8083eeec1663cefedc97ff0e85c82d0e	6	5	21	0.434	106
SAsana	śāsana	high	poly5p	112	b7f8e4d3149cd5c4dc1c56f203ae27b0796a610b6043e296795d2e4aed97275d	74	3fa970e6eb5d41693f78443a038c0eab19927209457158a5fb8434ca74227a76	5	5	64	0.0892	157
vipra	vipra	high	poly5p	110	b1580800e8505bc9bd99fc5896b1ec228bb6be656ffa59d35fc7d5f0e1359215	97	4ceb9d2ee098cfbe403a6268c87cd8c4fa452cc0f611544f9040f4308af9fd3b	5	5	105	0.2174	805
udyAna	udyāna	high	poly5p	27	cd685907d45942dfd43839c49167ee6751cc47ee9ecef28bcd8ad681e375a71c	74	726dec8d87c8add92860091e5526a17721ff18128e9ef29cce257c8708b883b7	5	5	21	0.2791	43
miSra	miśra	high	poly5p	116	ebd66df467e356f8a7102703c3402d8199b03db4c2b577afe57d4d80564db060	89	88bbad61d2ad13c7e0bc6ed4d7b97812d3433e96c6835490ed32c287fc43dd4f	5	5	25	0.2619	42
prakfti	prakṛti	high	poly5p	120	3251da39b04fa1d63d32c13a6e9b82f8f1d120d6543520e90c6901f45176f1e5	188	08e557a7928e78bac85c41a18b362ebf1790a77da09251a97d119d6fb51b7453	5	5	164	0.1583	638
aSva	aśva	high	poly5p	73	e8e445a41c40e72ab9cf2fd6f6e3db87426f7eb76fd237ff25b2d9ecd789ff96	23	fd66a8a6c668a3f20a26d6d42df2485585a4af2166faa0400cf3912e22a50e7d	5	5	73	0.3282	838
retas	retas	high	poly5p	57	c0898311a9709780e4b82e917a065004d08692b463f9e155f693fd933ffc03f6	27	a867977cdc71ab08ca40a39d91e6f9401598150c28af850ff49af29daad5e6cf	6	5	10	0.5481	135
ekAnta	ekānta	high	poly5p	58	4c8eae4b7e4ec301fb44b0b8a1661a1430c712ed457b3d882f72847163b2659b	32	90a3f2f4e72a7c8a90be47c7f0f458fa14855a1e2f51a0250a1d7af44d229ade	6	5	35	0.1042	48
SoDana	śodhana	high	poly5p	68	8545396fad030851bd70547f5b5e295811670b8e272c09b11d80309bb007fc0a	24	46e367a48eac89e81ddf801be2ec1a40853f0ac7adc8beef37c0afc47650f348	6	5	9	0.25	12
Akula	ākula	high	poly5p	34	067e1c5a30e7041e0f7743e19bcb91fc4af77d7e6c9c883e824b8e122f6d1007	48	3349e28ae67850d2af7c366f21bc40f5caa306026a34ab97cd650503830e8ed9	5	5	56	0.0685	73
