id	k1	hom	stratum	rule	agent_verdict	pwg_members	index_members	vs_index_class	length_bucket	freq_bucket	freq_count	L_id	pwg_source_paren	mw_k2_raw
ekahaMsa	ekahaMsa		residual-undersized	pwg_member_typo_in_source	index_members-right	eka + hasaM	eka + haMsa	same_count_diff_split	short(<=8)	low(1-2)	1	13401	({#eka#} + {#hasaM#})	eka—haMsa/
kiraRamAlin	kiraRamAlin		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	kiraRa + mAlA	kiraRa + mAlin	same_count_diff_split	long(>=11)	no_dcs_freq		17264	({#kiraRa#} {%Lichtstrahl%} + {#mAlA#} {%Kranz%})	kiraRa—mAlin
gartAruh	gartAruh		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	garta + Aruh	gartA + ruh	same_count_diff_split	short(<=8)	no_dcs_freq		21912	(<hom>1.</hom> {#garta#} + {#Aruh#})	gartA—ru/h
cicCuka	cicCuka		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	cit + Suka	cic + Cuka	same_count_diff_split	short(<=8)	no_dcs_freq		25349	(<hom>5.</hom> {#cit#} + {#Suka#} {%Papagei%})	cic—Cuka
muzwiMDama	muzwiMDama		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	muzwim + Dama	muzwi + MDama	same_count_diff_split	medium(9-10)	no_dcs_freq		61131	({#muzwim#}, <ab>acc.</ab> von {#muzwi#}, + {#Dama#})	muzwi—M-Dama
avaraspara	avaraspara		residual-undersized	pwg_cut_leaves_nonword	index_members-right	avaras + para	avara + spara	same_count_diff_split	medium(9-10)	no_dcs_freq		6509	"({#avaras#}, <ab>nom.</ab> von {#avara#}, + {#para#}; <ls n=""Padapāṭha"">padap.</ls>: {#avara'para#})"	avara—s-para/
maRipuzpaka	maRipuzpaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	maRi + puzpa	maRi + puzpaka	same_count_diff_split	long(>=11)	low(1-2)	2	56437	(von {#maRi#} + {#puzpa#})	maRi—puzpaka
gopaticApa	gopaticApa		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	gopati + cApa	go + pati + cApa	member_count_diff	medium(9-10)	no_dcs_freq		23173	({#gopati#} <is>Indra</is> + {#cApa#})	go—pati—cApa
akzAralavaRa	akzAralavaRa		residual-undersized	privative_scope_disputed	unresolved	a + kzAralavaRa	akzAra + lavaRa	same_count_diff_split	long(>=11)	no_dcs_freq		234	(<hom>3.</hom> {#a#} + {#kzAralavaRa#} [{#kzAra#} + {#lavaRa#}])	a-kzAra—lavaRa
viprarzi	viprarzi		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	vipra + fzi	vipra + rzi	same_count_diff_split	short(<=8)	high(>=10)	65	92332	({#vipra#} + {#fzi#})	vipra—rzi
Kagapati	Kagapati		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	Kaga + pati	Ka + ga + pati	member_count_diff	short(<=8)	no_dcs_freq		20760	({#Kaga#} + {#pati#})	Ka—ga—pati
suvfkti~~h1	suvfkti	1	cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	su + fkti	su + vfkti	same_count_diff_split	short(<=8)	high(>=10)	49	111647	(<hom>6.</hom> {#su#} + {#fkti#} von {#arc#}; <ab>vgl.</ab> {#suvita#})	su—vfkti/
pratikAmya	pratikAmya		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	prati + kAma	prati + kAmya	same_count_diff_split	medium(9-10)	mid(3-9)	4	48139	(von <hom>1.</hom> {#prati#} + {#kAma#})	prati—kAmya^
karIzaMkaza	karIzaMkaza		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	karIzam + kaza	karIza + Mkaza	same_count_diff_split	long(>=11)	no_dcs_freq		15235	({#karIzam#}, <ab>acc.</ab> von {#karIza#}, + {#kaza#})	karIza—M-kaza
akfzwapacya	akfzwapacya		residual-undersized	privative_scope_disputed	unresolved	a + kfzwapacya	akfzwa + pacya	same_count_diff_split	long(>=11)	mid(3-9)	3	139	(<hom>3.</hom> {#a#} + {#kfzwapacya#})	a-kfzwa—pacya/
daMzwrAyuDa	daMzwrAyuDa		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	daMzwrA + AyuDa	daMzwrA + yuDa	same_count_diff_split	long(>=11)	no_dcs_freq		31581	({#daMzwrA#} + {#AyuDa#})	daMzwrA—yuDa
nfzadana	nfzadana		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	nar + sadana	nf + zadana	same_count_diff_split	short(<=8)	mid(3-9)	6	40746	(<hom>1.</hom> {#nar#} + {#sadana#})	nf—za/dana
sacCAstra	sacCAstra		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	sant + SAstra	sac + CAstra	same_count_diff_split	medium(9-10)	no_dcs_freq		103744	({#sant#} + {#SAstra#})	sac—CAstra
kanyAwa	kanyAwa		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	kanyA + Awa	kanyA + wa	same_count_diff_split	short(<=8)	no_dcs_freq		14813	({#kanyA#} + {#Awa#} von {#aw#})	kanyA—wa
kurukandaka	kurukandaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	kuru + kanda	kuru + kandaka	same_count_diff_split	long(>=11)	no_dcs_freq		17978	({#kuru#} + {#kanda#})	kuru—kandaka
plavaMga	plavaMga		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	plavam + ga	plava + Mga	same_count_diff_split	short(<=8)	high(>=10)	23	51330	({#plavam#}, <ab>acc.</ab> von {#plava#} + <hom>1.</hom> {#ga#})	plava—M-ga
tadDita	tadDita		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	tad + hita	tad + Dita	same_count_diff_split	short(<=8)	high(>=10)	29	28539	({#tad#} + {#hita#})	tad—Dita
saSiraska	saSiraska		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	sa + Siras	sa + Siraska	same_count_diff_split	medium(9-10)	mid(3-9)	6	107408	(von <hom>2.</hom> {#sa#} + {#Siras#})	sa—Siraska
paYcavArzika	paYcavArzika		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	paYcan + varza	paYca + vArzika	same_count_diff_split	long(>=11)	no_dcs_freq		41501	(von {#paYcan#} + {#varza#})	paYca—vArzika
trilohaka	trilohaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	tri + loha	tri + lohaka	same_count_diff_split	medium(9-10)	low(1-2)	2	31113	({#tri#} + {#loha#})	tri—lohaka
dASavAja	dASavAja		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	daSan + vAja	dASa + vAja	same_count_diff_split	short(<=8)	no_dcs_freq		32726	(von {#daSan#} + {#vAja#})	dASa—vAja
divaMgama	divaMgama		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	divam + gama	diva + Mgama	same_count_diff_split	medium(9-10)	low(1-2)	2	32942	({#divam#}, <ab>acc.</ab> von <hom>3.</hom> {#div#}, + {#gama#})	diva—M-gama
utpalaBedyaka	utpalaBedyaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	utpala + Bedya	utpala + Bedyaka	same_count_diff_split	long(>=11)	low(1-2)	2	11044	(von {#utpala#} + {#Bedya#})	ut-pala—Bedyaka
bfhacCloka	bfhacCloka		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	bfhant + Sloka	bfhac + Cloka	same_count_diff_split	medium(9-10)	no_dcs_freq		53004	({#bfhant#} + {#Sloka#})	bfhac—Cloka
suganDAQya	suganDAQya		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	suganDa + AQya	su + ganDAQya	same_count_diff_split	medium(9-10)	no_dcs_freq		109998	(<hom>1.</hom> {#suganDa#} + {#AQya#})	su—ganDAQya
niSAwa	niSAwa		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	niSA + awa	niSA + wa	same_count_diff_split	short(<=8)	low(1-2)	1	39883	({#niSA#} + {#awa#})	niSA—wa
vyasTaka	vyasTaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	vi + asTan	vy + asTaka	same_count_diff_split	short(<=8)	no_dcs_freq		96459	(<hom>2.</hom> {#vi#} + {#asTan#})	vy—asTaka
yaTArha	yaTArha		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	yaTA + arha	yaTA + rha	same_count_diff_split	short(<=8)	high(>=10)	122	81336	({#yaTA#} + {#arha#})	yaTA—rha
gaReSa	gaReSa		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	gaRa + ISa	ga + ReSa	same_count_diff_split	short(<=8)	high(>=10)	74	21530	({#gaRa#} + {#ISa#})	ga—ReSa
mahAja~~h1	mahAja	1	mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	mahA + aja	mahA + ja	same_count_diff_split	short(<=8)	no_dcs_freq		58434	({#mahA#} + <hom>1.</hom> {#aja#})	mahA—ja
suptANgatA	suptANgatA		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	supta + aNga	suptANga + tA	same_count_diff_split	medium(9-10)	no_dcs_freq		110674	(von {#supta#} + {#aNga#})	suptANga—tA
gaveza	gaveza		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	go + eza	gav + eza	same_count_diff_split	short(<=8)	no_dcs_freq		22141	({#go#} + <hom>2.</hom> {#eza#} oder von {#gavez#})	gav—eza
paramarzi	paramarzi		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	parama + fzi	parama + rzi	same_count_diff_split	medium(9-10)	no_dcs_freq		42403	({#parama#} + {#fzi#})	parama—rzi
gotraBid	gotraBid		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	gotra + Bid	go + tra + Bid	member_count_diff	short(<=8)	mid(3-9)	8	23102	({#gotra#} + {#Bid#})	go—tra—Bi/d
sUryarkza	sUryarkza		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	sUrya + fkza	sUrya + rkza	same_count_diff_split	medium(9-10)	no_dcs_freq		112396	({#sUrya#} + {#fkza#})	sUrya—rkza
mahAja~~h2	mahAja	2	mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	mahA + aja	mahA + ja	same_count_diff_split	short(<=8)	no_dcs_freq		58434	({#mahA#} + <hom>1.</hom> {#aja#})	mahA—ja
tejohvA	tejohvA		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	tejas + AhvA	tejo + hvA	same_count_diff_split	short(<=8)	mid(3-9)	4	30506	({#tejas#} + {#AhvA#})	tejo—'hvA
KeSaya	KeSaya		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	Ka + Saya	Ke + Saya	same_count_diff_split	short(<=8)	no_dcs_freq		21288	({#Ka#}, <ab>loc.</ab> von {#Ka#}, + {#Saya#})	Ke—Saya
aRqakawAha	aRqakawAha		residual-undersized	pwg_member_typo_in_source	index_members-right	aRqa + awAha	aRqa + kawAha	same_count_diff_split	medium(9-10)	no_dcs_freq		1171	({#aRqa#} + {#awAha#})	aRqa—kawAha
nfpaMjaya	nfpaMjaya		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	nfpam + jaya	nfpa + Mjaya	same_count_diff_split	medium(9-10)	mid(3-9)	4	40669	({#nfpam#}, <ab>acc.</ab> von {#nfpa#}, + {#jaya#})	nf-pa—M-jaya
grAvastotrIya	grAvastotrIya		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	grAvan + stotra	grAva + stotrIya	same_count_diff_split	long(>=11)	low(1-2)	2	23816	(von {#grAvan#} + {#stotra#})	grAva—stotrIya
mahArTa~~h2	mahArTa	2	mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	mahA + arTa	mahA + rTa	same_count_diff_split	short(<=8)	high(>=10)	18	58910	({#mahA#} + {#arTa#})	mahA—rTa
sarvaDarmamaya	sarvaDarmamaya		residual-undersized	mw_splits_derivational_suffix	pwg_members-right	sarva + Darma	sarva + Darma + maya	member_count_diff	long(>=11)	no_dcs_freq		106842	(von {#sarva#} + {#Darma#})	sarva—Darma—maya
GawiMDaya	GawiMDaya		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	Gawim + Daya	Gawi + MDaya	same_count_diff_split	medium(9-10)	no_dcs_freq		23908	({#Gawim#} + {#Daya#})	Gawi—M-Daya
nfpAla	nfpAla		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	nar + pAla	nf + pAla	same_count_diff_split	short(<=8)	low(1-2)	2	40701	(<hom>1.</hom> {#nar#} + {#pAla#})	nf—pAla
taporTIya	taporTIya		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	tapas + arTa	tapo + rTIya	same_count_diff_split	medium(9-10)	no_dcs_freq		74853	(von {#tapas#} + {#arTa#})	tapo—'rTIya
SaradDrada	SaradDrada		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	Sarad + hrada	Sarad + Drada	same_count_diff_split	medium(9-10)	no_dcs_freq		98082	({#Sarad#} + {#hrada#})	Sarad—Drada
parohu	parohu		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	paras + aMhu	paro + hu	same_count_diff_split	short(<=8)	no_dcs_freq		43387	({#paras#} + {#aMhu#})	paro—'hu
GawiMDama	GawiMDama		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	Gawim + Dama	Gawi + MDama	same_count_diff_split	medium(9-10)	no_dcs_freq		23907	({#Gawim#} = {#GawIm#}, <ab>acc.</ab> von {#GawI#}, + {#Dama#})	Gawi—M-Dama
nfmeGa	nfmeGa		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	nar + meGa	nf + meGa	same_count_diff_split	short(<=8)	no_dcs_freq		40724	(<hom>1.</hom> {#nar#} + {#meGa#})	nf—meGa
mahANga	mahANga		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	mahA + aNga	mahA + Nga	same_count_diff_split	short(<=8)	mid(3-9)	7	58412	({#mahA#} + <hom>3.</hom> {#aNga#})	mahA—Nga
kiMnAmaka	kiMnAmaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	kim + nAman	kiM + nAmaka	same_count_diff_split	medium(9-10)	no_dcs_freq		70731	(von {#kim#} + {#nAman#})	kiM—nAmaka
vinAsaka	vinAsaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	vi + nAsA	vi + nAsaka	same_count_diff_split	short(<=8)	no_dcs_freq		92019	(von <hom>2.</hom> {#vi#} + {#nAsA#})	vi—nAsaka
nAganAmaka	nAganAmaka		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	nAga + nAman	nAga + nAmaka	same_count_diff_split	medium(9-10)	no_dcs_freq		38162	(<hom>1.</hom> {#nAga#} + {#nAman#})	nAga—nAmaka
pakzacCid	pakzacCid		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	pakza + Cid	pakza + cCid	same_count_diff_split	medium(9-10)	low(1-2)	1	41196	({#pakza#} + {#Cid#})	pakza—cCid
turaMgAri	turaMgAri		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	turaMga + ari	tura + MgAri	same_count_diff_split	medium(9-10)	no_dcs_freq		30074	({#turaMga#} + {#ari#})	tura—M-gAri
paYcavAtIya	paYcavAtIya		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	paYcan + vAta	paYca + vAtIya	same_count_diff_split	long(>=11)	no_dcs_freq		41500	(von {#paYcan#} + {#vAta#})	paYca—vAtI/ya
nizkriyAtmatA	nizkriyAtmatA		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	nizkriya + Atman	niz + kriyAtmatA	same_count_diff_split	long(>=11)	no_dcs_freq		40128	(von {#nizkriya#} + {#Atman#})	niz—kriyAtma-tA
gomBas	gomBas		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	go + amBas	go + mBas	same_count_diff_split	short(<=8)	no_dcs_freq		23292	({#go#} + {#amBas#})	go—'mBas
nfsoma	nfsoma		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	nar + soma	nf + soma	same_count_diff_split	short(<=8)	no_dcs_freq		40765	(<hom>1.</hom> {#nar#} + {#soma#})	nf—soma
sudinAha	sudinAha		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	sudina + aha	su + dinAha	same_count_diff_split	short(<=8)	no_dcs_freq		110280	({#sudina#} + {#aha#} = {#ahan#} {%Tag%})	su—dinAha
kugaRin	kugaRin		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	ku + gaRa	ku + gaRin	same_count_diff_split	short(<=8)	no_dcs_freq		17462	(<hom>1.</hom> {#ku#} + {#gaRa#})	ku—gaRin
tripacCas	tripacCas		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	tri + pad	tri + pacCas	same_count_diff_split	medium(9-10)	no_dcs_freq		30997	(von {#tri#} + {#pad#})	tri—pacCas
dviDAkAra	dviDAkAra		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	dviDA + AkAra	dvi + DAkAra	same_count_diff_split	medium(9-10)	no_dcs_freq		35724	({#dviDA#} + {#AkAra#})	dvi—DAkAra
kzemaMkara	kzemaMkara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	kzemam + kara	kzema + Mkara	same_count_diff_split	medium(9-10)	high(>=10)	18	20645	({#kzemam#}, <ab>acc.</ab> von {#kzema#}, + <hom>1.</hom> {#kara#})	kzema—M-kara
anyarAzwrIya	anyarAzwrIya		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	anya + rAzwra	anya + rAzwrIya	same_count_diff_split	long(>=11)	no_dcs_freq		3581	(von {#anya#} + {#rAzwra#})	anya—rAzwrI/ya
savfzwika	savfzwika		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	sa + vfzwi	sa + vfzwika	same_count_diff_split	medium(9-10)	no_dcs_freq		107370	(von <hom>2.</hom> {#sa#} + {#vfzwi#})	sa—vfzwika
mahArGa	mahArGa		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	mahA + arGa	mahA + rGa	same_count_diff_split	short(<=8)	mid(3-9)	8	58905	({#mahA#} + {#arGa#})	mahA—rGa
gavezin	gavezin		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	go + ezin	gav + ezin	same_count_diff_split	short(<=8)	high(>=10)	11	22144	({#go#} + {#ezin#})	gav—ezin
pretagfha	pretagfha		residual-undersized	pwg_member_typo_in_source	index_members-right	prata + gfha	preta + gfha	same_count_diff_split	medium(9-10)	no_dcs_freq		51141	({#prata#} + {#gfha#})	preta—gfha
tArAvalI	tArAvalI		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	tArA + AvalI	tArA + valI	same_count_diff_split	short(<=8)	mid(3-9)	7	29410	({#tArA#} + {#AvalI#})	tArA—valI
AsyaMDaya	AsyaMDaya		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	Asyam + Daya	Asya + MDaya	same_count_diff_split	medium(9-10)	no_dcs_freq		9840	({#Asyam#}, <ab>acc.</ab> von {#Asya#}, + {#Daya#})	Asya—M-Daya
yatodBava	yatodBava		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	yatas + udBava	yato + dBava	same_count_diff_split	medium(9-10)	no_dcs_freq		81132	({#yatas#} + {#udBava#})	yato—dBava
dakziRAvft	dakziRAvft		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	dakziRA + Avft	dakziRA + vft	same_count_diff_split	medium(9-10)	low(1-2)	1	31670	({#dakziRA#} <lex>adv.</lex> + {#Avft#})	dakziRA—vf/t
vidikcaNga	vidikcaNga		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	vidiS + caNga	vi + dik + caNga	member_count_diff	medium(9-10)	no_dcs_freq		91638	({#vidiS#} + {#caNga#})	vi—dik—caNga
tamontakft	tamontakft		mw_cut_absorbs_initial_vowel	mw_cut_absorbs_initial_vowel	pwg_members-right	tamas + antakft	tamo + ntakft	same_count_diff_split	medium(9-10)	no_dcs_freq		28850	({#tamas#} + {#antakft#})	tamo—'nta-kft
SAlInIkaraRa	SAlInIkaraRa		cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	unresolved	SAlIna + kar	SAlInI + karaRa	same_count_diff_split	long(>=11)	no_dcs_freq		99082	(von {#SAlIna#} + <hom>1.</hom> {#kar#})	SAlInI—karaRa
maDuzWIla	maDuzWIla		mw_cut_leaves_nonword	mw_cut_leaves_nonword	pwg_members-right	maDu + azWIlA	maDu + zWIla	same_count_diff_split	medium(9-10)	mid(3-9)	3	57084	(wohl {#maDu#} + {#azWIlA#})	maDu—zWIla
palaMkara	palaMkara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	palam + kara	pala + Mkara	same_count_diff_split	medium(9-10)	no_dcs_freq		43663	({#palam#}, <ab>acc.</ab> von {#pala#} {%Fleisch%}, + <hom>1.</hom> {#kara#} {%machend%})	pala—M-kara
viDarmin	viDarmin		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	vi + Darma	vi + Darmin	same_count_diff_split	short(<=8)	low(1-2)	2	91858	(von <hom>2.</hom> {#vi#} + {#Darma#})	vi—Darmin
ariMdama	ariMdama		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	arim + dama	ari + Mdama	same_count_diff_split	short(<=8)	high(>=10)	467	5669	({#arim#}, <ab>acc.</ab> von <hom>2.</hom> {#ari#}, + {#dama#})	a-ri—M-dama
jalaMDara	jalaMDara		mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	pwg_members-right	jalam + Dara	jala + MDara	same_count_diff_split	medium(9-10)	high(>=10)	19	26924	({#jalam#} + {#Dara#})	jala—M-Dara
gotrakIlA	gotrakIlA		granularity_ic_vs_full_decomposition	granularity_ic_vs_full_decomposition	unresolved	gotra + kIla	go + tra + kIlA	member_count_diff	medium(9-10)	no_dcs_freq		23098	({#gotra#} {%Berg%} + {#kIla#})	go—tra—kIlA
adfptakratu	adfptakratu		residual-undersized	pwg_member_typo_in_source	index_members-right	adfpta + ktatu	adfpta + kratu	same_count_diff_split	long(>=11)	no_dcs_freq		1736	({#adfpta#} + {#ktatu#})	a/dfpta—kratu
nirupADika	nirupADika		pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	pwg_members-right	nis + upADi	nir + upADika	same_count_diff_split	medium(9-10)	low(1-2)	1	39351	({#nis#} + <hom>1.</hom> {#upADi#})	nir—upADika
