acc_L	ncc_id	match_tier	score	acc_match_key	ncc_match_key	provenance
301	1_116_a_1933	C	0.6	adbhutacaritaisvarabhasita	adbhuta	agent-proposed:reject:C-prefix_extension_unsupported-c
301	1_116_a_1936	C	0.6	adbhutacaritaisvarabhasita	adbhutacarita	agent-proposed:approve:C-shared_citation-c
308	1_116_a_1933	C	0.6	adbhutaranga	adbhuta	agent-proposed:reject:C-prefix_extension_unsupported-c
1853	1_139_b_2270	C	0.6	adhara	adharamrtamahatmya	agent-proposed:reject:C-prefix_extension_unsupported-c
1853	1_91_b_1550	C	0.6	adhara	adharapapasthanakanisajjhaya	agent-proposed:reject:C-prefix_extension_unsupported-c
1853	1_91_b_1551	C	0.6	adhara	adharapapasthanakulaka	agent-proposed:reject:C-prefix_extension_unsupported-c
1853	1_91_b_1552	C	0.6	adhara	adharasahasasilangasthagatha	agent-proposed:reject:C-prefix_extension_unsupported-c
1853	1_139_b_2269	C	0.6	adhara	adharasataka	agent-proposed:reject:C-person_vs_work-c
1853	1_91_b_1549	C	0.6	adhara	adharatatra	agent-proposed:reject:C-prefix_extension_unsupported-c
475	1_155_a_2529	C	0.6	adhvarakanda	adhvara	agent-proposed:reject:C-prefix_extension_unsupported-c
30029	1_155_a_2529	C	0.6	adhvarakanda	adhvara	agent-proposed:reject:C-prefix_extension_unsupported-c
479	1_155_a_2529	C	0.6	adhvaramimamsabhasya	adhvara	agent-proposed:reject:C-prefix_extension_unsupported-c
479	1_155_a_2534	C	0.6	adhvaramimamsabhasya	adhvaramimamsa	agent-proposed:reject:C-commentary_extension-c
41804	1_154_b_2519	C	0.6	adhyaropanaprakarana	adhyaropana	agent-proposed:reject:C-prefix_extension_unsupported-c
467	1_154_a_2510	C	0.6	adhyayapancapadika	adhyaya	agent-proposed:reject:C-prefix_extension_unsupported-c
468	1_154_a_2510	C	0.6	adhyayasatapati	adhyaya	agent-proposed:reject:C-prefix_extension_unsupported-c
337	1_125_a_2053	C	0.6	advaitajnanasarvasva	advaitajnana	agent-proposed:reject:C-prefix_extension_unsupported-c
39309	1_136_a_2214	C	0.6	advaitasudhakalapa	advaitasudha	agent-proposed:reject:C-person_vs_work-c
39309	1_136_a_2215	C	0.6	advaitasudhakalapa	advaitasudha	agent-proposed:reject:C-person_vs_work-c
39309	1_136_b_2216	C	0.6	advaitasudhakalapa	advaitasudha	agent-proposed:reject:C-person_vs_work-c
324	1_122_b_2011	C	0.6	advayaranyayogin	advayaranya	agent-proposed:approve:C-shared_citation-c
325	1_122_b_2013	C	0.6	advayasramapujyapadasisya	advayasrama	agent-proposed:reject:C-prefix_extension_unsupported-c
325	1_122_b_2014	C	0.6	advayasramapujyapadasisya	advayasrama	agent-proposed:reject:C-person_vs_work-c
30013	1_122_b_2013	C	0.6	advayasramapujyapadasisya	advayasrama	agent-proposed:reject:C-person_vs_work-c
30013	1_122_b_2014	C	0.6	advayasramapujyapadasisya	advayasrama	agent-proposed:reject:C-prefix_extension_unsupported-c
41699	1_27_b_362	C	0.6	agastyarghakatha	agastyargha	agent-proposed:approve:C-shared_citation-c
45	1_28_b_381	C	0.6	agnikandavrahmana	agnikanda	agent-proposed:reject:C-prefix_extension_unsupported-c
1518	1_486_b_7740	C	0.6	ahibala	ahibalaprakarana	agent-proposed:reject:C-prefix_extension_unsupported-c
42197	1_487_a_7746	C	0.6	ahinakalpavyakhya	ahinakalpa	agent-proposed:reject:C-person_vs_work-c
3036	3_89_a_1286	C	0.6	aitareya	aitareyamantrarthasangraha	agent-proposed:reject:C-manual_extension_unsupported-c
3036	3_82_b_1282	C	0.6	aitareya	aitareyanubhutiprakasa	agent-proposed:reject:C-prefix_extension_unsupported-c
3036	3_82_b_1281	C	0.6	aitareya	aitareyasamhita	agent-proposed:reject:C-prefix_extension_unsupported-c
41745	1_82_a_1380	C	0.6	ajabhadrapadakrsna	ajabhadrapadakrsnaikadasivrata	agent-proposed:approve:C-shared_citation-c
31359	1_79_a_1316	C	0.6	ajapatantredattatreyastotram	ajapa	agent-proposed:reject:C-prefix_extension_unsupported-c
41747	1_87_a_1454	C	0.6	ajitakhyatantratikanibandha	ajita	agent-proposed:approve:same_author_prefix-alltiers
1531	1_6_b_53	C	0.6	akara	akarabheda	agent-proposed:reject:C-prefix_extension_unsupported-c
1531	1_6_b_54	C	0.6	akara	akaradi	agent-proposed:reject:C-prefix_extension_unsupported-c
1531	1_6_b_55	C	0.6	akara	akaradi	agent-proposed:reject:C-prefix_extension_unsupported-c
1531	1_7_b_61	C	0.6	akara	akaradibijadevatanirupana	agent-proposed:reject:C-prefix_extension_unsupported-c
1531	1_6_b_56	C	0.6	akara	akaradikosa	agent-proposed:reject:C-prefix_extension_unsupported-c
1531	1_6_b_57	C	0.6	akara	akaradiksakarantastottarasahasranaman	agent-proposed:reject:C-prefix_extension_unsupported-c
1531	1_7_b_60	C	0.6	akara	akaradipadani	agent-proposed:reject:C-prefix_extension_unsupported-c
1531	1_7_b_63	C	0.6	akara	akaradisabdamanjari	agent-proposed:reject:C-prefix_extension_unsupported-c
1531	1_7_b_64	C	0.6	akara	akaradisahasranamavali	agent-proposed:reject:C-prefix_extension_unsupported-c
1531	1_7_b_62	C	0.6	akara	akaradivaidyanighantu	agent-proposed:reject:C-prefix_extension_unsupported-c
39405	1_19_a_284	C	0.6	akhetacakra	akheta	agent-proposed:reject:C-prefix_extension_unsupported-c
39271	1_14_b_220	C	0.6	aksobhyasamhitayamugratarasahasranama	aksobhya	agent-proposed:reject:C-person_vs_work-c
39271	1_15_a_231	C	0.6	aksobhyasamhitayamugratarasahasranama	aksobhyasamhita	agent-proposed:approve:C-shared_citation-c
41695	1_14_b_220	C	0.6	aksobhyatantre	aksobhya	agent-proposed:reject:C-person_vs_work-c
1268	1_410_a_6271	C	0.6	alladalahari	allada	agent-proposed:reject:C-person_vs_work-c
41988	1_410_a_6271	C	0.6	alladanarahari	allada	agent-proposed:reject:C-person_vs_work-c
1037	1_342_b_5053	C	0.6	amalananda	amalanandanatha	agent-proposed:reject:C-person_vs_work-c
1037	1_342_b_5054	C	0.6	amalananda	amalanandanatha	agent-proposed:reject:C-person_vs_work-c
1024	1_337_a_5009	C	0.6	amaranandayogindra	amarananda	agent-proposed:reject:C-person_vs_work-c
1024	1_337_a_5010	C	0.6	amaranandayogindra	amarananda	agent-proposed:reject:C-person_vs_work-c
1024	1_337_a_5011	C	0.6	amaranandayogindra	amarananda	agent-proposed:reject:C-person_vs_work-c
1025	1_337_b_5018	C	0.6	amaru	amaru,amaruka,amaru	agent-proposed:reject:C-person_vs_work-c
1025	1_337_b_5019	C	0.6	amaru	amarudarpana	agent-proposed:reject:C-commentary_extension-c
1025	1_341_a_5022	C	0.6	amaru	amarusatasara	agent-proposed:reject:C-prefix_extension_unsupported-c
1025	1_341_a_5023	C	0.6	amaru	amarusundara	agent-proposed:reject:C-person_vs_work-c
1025	1_337_b_5020	C	0.6	amaru	amaruvijaya	agent-proposed:reject:C-person_vs_work-c
1056	1_345_b_5127	C	0.6	amrtabinduskandopanisad	amrta	agent-proposed:reject:C-person_vs_work-c
1056	1_345_b_5128	C	0.6	amrtabinduskandopanisad	amrta	agent-proposed:reject:C-person_vs_work-c
1056	1_345_b_5129	C	0.6	amrtabinduskandopanisad	amrta	agent-proposed:reject:C-person_vs_work-c
1056	1_345_b_5130	C	0.6	amrtabinduskandopanisad	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
1056	1_349_b_5188	C	0.6	amrtabinduskandopanisad	amrtabindu	agent-proposed:reject:C-prefix_extension_unsupported-c
1056	1_349_b_5189	C	0.6	amrtabinduskandopanisad	amrtabindu	agent-proposed:reject:C-prefix_extension_unsupported-c
1051	1_345_b_5127	C	0.6	amrtadeva	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
1051	1_345_b_5128	C	0.6	amrtadeva	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
1051	1_345_b_5129	C	0.6	amrtadeva	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
1051	1_345_b_5130	C	0.6	amrtadeva	amrta	agent-proposed:reject:C-person_vs_work-c
31528	1_345_b_5127	C	0.6	amrtaditrimsanmahasantaya	amrta	agent-proposed:reject:C-person_vs_work-c
31528	1_345_b_5128	C	0.6	amrtaditrimsanmahasantaya	amrta	agent-proposed:reject:C-person_vs_work-c
31528	1_345_b_5129	C	0.6	amrtaditrimsanmahasantaya	amrta	agent-proposed:reject:C-person_vs_work-c
31528	1_345_b_5130	C	0.6	amrtaditrimsanmahasantaya	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
31528	1_354_b_5275	C	0.6	amrtaditrimsanmahasantaya	amrtaditrimsanmahasantayah2	agent-proposed:reject:C-prefix_extension_unsupported-c
39361	1_345_b_5127	C	0.6	amrtanadopanisaddipika	amrta	agent-proposed:reject:C-person_vs_work-c
39361	1_345_b_5128	C	0.6	amrtanadopanisaddipika	amrta	agent-proposed:reject:C-person_vs_work-c
39361	1_345_b_5129	C	0.6	amrtanadopanisaddipika	amrta	agent-proposed:reject:C-person_vs_work-c
39361	1_345_b_5130	C	0.6	amrtanadopanisaddipika	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
41946	1_345_b_5127	C	0.6	amrtapancaratregrahapuja	amrta	agent-proposed:reject:C-person_vs_work-c
41946	1_345_b_5128	C	0.6	amrtapancaratregrahapuja	amrta	agent-proposed:reject:C-person_vs_work-c
41946	1_345_b_5129	C	0.6	amrtapancaratregrahapuja	amrta	agent-proposed:reject:C-person_vs_work-c
41946	1_345_b_5130	C	0.6	amrtapancaratregrahapuja	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
1055	1_345_b_5127	C	0.6	amrtapancaratresuryapujavidhi	amrta	agent-proposed:reject:C-person_vs_work-c
1055	1_345_b_5128	C	0.6	amrtapancaratresuryapujavidhi	amrta	agent-proposed:reject:C-person_vs_work-c
1055	1_345_b_5129	C	0.6	amrtapancaratresuryapujavidhi	amrta	agent-proposed:reject:C-person_vs_work-c
1055	1_345_b_5130	C	0.6	amrtapancaratresuryapujavidhi	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
1046	1_345_b_5127	C	0.6	amrtapandita	amrta	agent-proposed:reject:C-person_vs_work-c
1046	1_345_b_5128	C	0.6	amrtapandita	amrta	agent-proposed:reject:C-person_vs_work-c
1046	1_345_b_5129	C	0.6	amrtapandita	amrta	agent-proposed:reject:C-person_vs_work-c
1046	1_345_b_5130	C	0.6	amrtapandita	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
31527	1_345_b_5127	C	0.6	amrtasagari	amrta	agent-proposed:reject:C-person_vs_work-c
31527	1_345_b_5128	C	0.6	amrtasagari	amrta	agent-proposed:reject:C-person_vs_work-c
31527	1_345_b_5129	C	0.6	amrtasagari	amrta	agent-proposed:reject:C-person_vs_work-c
31527	1_345_b_5130	C	0.6	amrtasagari	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
41951	1_345_b_5127	C	0.6	amrtasanti	amrta	agent-proposed:reject:C-person_vs_work-c
41951	1_345_b_5128	C	0.6	amrtasanti	amrta	agent-proposed:reject:C-person_vs_work-c
41951	1_345_b_5129	C	0.6	amrtasanti	amrta	agent-proposed:reject:C-person_vs_work-c
41951	1_345_b_5130	C	0.6	amrtasanti	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
41951	1_356_b_5298	C	0.6	amrtasanti	amrtasantih2	agent-proposed:reject:C-prefix_extension_unsupported-c
1068	1_345_b_5127	C	0.6	amrtasrti	amrta	agent-proposed:reject:C-person_vs_work-c
1068	1_345_b_5128	C	0.6	amrtasrti	amrta	agent-proposed:reject:C-person_vs_work-c
1068	1_345_b_5129	C	0.6	amrtasrti	amrta	agent-proposed:reject:C-person_vs_work-c
1068	1_345_b_5130	C	0.6	amrtasrti	amrta	agent-proposed:reject:C-prefix_extension_unsupported-c
3	1_1_b_17	C	0.6	amsumatkasyapiya	amsumat	agent-proposed:reject:C-person_vs_work-c
41686	1_1_b_17	C	0.6	amsumattantra	amsumat	agent-proposed:reject:C-person_vs_work-c
30030	1_156_b_2557	C	0.6	anangabrahmavidyavilasa	anangabrahmavidyavilasabhana	agent-proposed:reject:C-person_vs_work-c
492	1_158_a_2576	C	0.6	anangaharsamatraraja	anangaharsa	agent-proposed:reject:C-person_vs_work-c
492	1_158_b_2577	C	0.6	anangaharsamatraraja	anangaharsa	agent-proposed:reject:C-person_vs_work-c
486	1_156_b_2561	C	0.6	anangamangala	anangamangalabhana	agent-proposed:reject:C-person_vs_work-c
590	1_183_b_2952	C	0.6	anantasakti	anantasaktipada	agent-proposed:reject:C-person_vs_work-c
590	1_183_b_2953	C	0.6	anantasakti	anantasaktistava	agent-proposed:reject:C-prefix_extension_unsupported-c
534	1_178_a_2868	C	0.6	anantayajvankaviyasatabhatta	anantayajvan	agent-proposed:reject:C-prefix_extension_unsupported-c
534	1_178_a_2869	C	0.6	anantayajvankaviyasatabhatta	anantayajvan	agent-proposed:reject:C-prefix_extension_unsupported-c
534	1_178_a_2870	C	0.6	anantayajvankaviyasatabhatta	anantayajvan	agent-proposed:reject:C-person_vs_work-c
599	1_190_a_3039	C	0.6	ananyanubhavasvamin	ananyanubhava	agent-proposed:reject:C-prefix_extension_unsupported-c
599	1_190_a_3040	C	0.6	ananyanubhavasvamin	ananyanubhava	agent-proposed:reject:C-person_vs_work-c
760	1_221_a_3574	C	0.6	anekarthadhvani	anekarthadhvanicintamani	agent-proposed:reject:C-prefix_extension_unsupported-c
31649	1_65_a_1152	C	0.6	angirasa	angiras	agent-proposed:reject:C-prefix_extension_unsupported-c
42059	1_65_a_1152	C	0.6	angirasa	angiras	agent-proposed:reject:C-prefix_extension_unsupported-c
31649	1_65_b_1154	C	0.6	angirasa	angirasadigbandhanamantra	agent-proposed:reject:C-prefix_extension_unsupported-c
42059	1_65_b_1154	C	0.6	angirasa	angirasadigbandhanamantra	agent-proposed:reject:C-prefix_extension_unsupported-c
31649	1_65_b_1153	C	0.6	angirasa	angirasakalpa	agent-proposed:reject:C-prefix_extension_unsupported-c
42059	1_65_b_1153	C	0.6	angirasa	angirasakalpa	agent-proposed:reject:C-prefix_extension_unsupported-c
31649	1_65_b_1155	C	0.6	angirasa	angirasavarnana	agent-proposed:reject:C-prefix_extension_unsupported-c
42059	1_65_b_1155	C	0.6	angirasa	angirasavarnana	agent-proposed:reject:C-prefix_extension_unsupported-c
1595	1_65_a_1152	C	0.6	angirasasanti	angiras	agent-proposed:reject:C-prefix_extension_unsupported-c
803	1_232_b_3785	C	0.6	annapurnanavaratnamalika	annapurna	agent-proposed:reject:C-prefix_extension_unsupported-c
810	1_232_b_3785	C	0.6	annapurnasahasranaman	annapurna	agent-proposed:reject:C-prefix_extension_unsupported-c
31468	1_232_b_3785	C	0.6	annapurnasahasranaman	annapurna	agent-proposed:reject:C-prefix_extension_unsupported-c
810	1_234_a_3826	C	0.6	annapurnasahasranaman	annapurnasahasranama	agent-proposed:approve:C-stem_variant
31468	1_234_a_3826	C	0.6	annapurnasahasranaman	annapurnasahasranama	agent-proposed:approve:C-stem_variant
31470	1_235_b_3834	C	0.6	annapurnesvaripancanga	annapurnesvari	agent-proposed:reject:C-person_vs_work-c
41836	1_200_a_3213	C	0.6	anugamanavidhistrinam	anugama	agent-proposed:reject:C-prefix_extension_unsupported-c
41842	1_210_a_3400	C	0.6	anumanapramanyarahasya	anumanapramanya	agent-proposed:reject:C-prefix_extension_unsupported-c
685	1_210_a_3400	C	0.6	anumanapramanyavada	anumanapramanya	agent-proposed:reject:C-prefix_extension_unsupported-c
686	1_210_a_3400	C	0.6	anumanapramanyavadarahasya	anumanapramanya	agent-proposed:reject:C-prefix_extension_unsupported-c
687	1_210_a_3400	C	0.6	anumanapramanyavyavasyapana	anumanapramanya	agent-proposed:reject:C-prefix_extension_unsupported-c
713	1_210_b_3412	C	0.6	anumitibrhattika	anumiti	agent-proposed:reject:C-person_vs_work-c
703	1_210_b_3412	C	0.6	anumitididhititippana	anumiti	agent-proposed:reject:C-person_vs_work-c
700	1_210_b_3412	C	0.6	anumitigrantharahasya	anumiti	agent-proposed:reject:C-person_vs_work-c
699	1_210_b_3412	C	0.6	anumitigranthatika	anumiti	agent-proposed:reject:C-person_vs_work-c
698	1_210_b_3412	C	0.6	anumitikroda	anumiti	agent-proposed:reject:C-person_vs_work-c
698	1_210_b_3414	C	0.6	anumitikroda	anumitikrodapatra	agent-proposed:approve:C-shared_citation-c
720	1_210_b_3412	C	0.6	anumitilaksanaprakasa	anumiti	agent-proposed:reject:C-person_vs_work-c
714	1_210_b_3412	C	0.6	anumitimanasa	anumiti	agent-proposed:reject:C-person_vs_work-c
714	1_211_b_3429	C	0.6	anumitimanasa	anumitimanasavicara	agent-proposed:reject:C-prefix_extension_unsupported-c
717	1_210_b_3412	C	0.6	anumitimanasavadartha	anumiti	agent-proposed:reject:C-person_vs_work-c
41848	1_210_b_3412	C	0.6	anumitiparamarsahetuhetumadbhavavicara	anumiti	agent-proposed:reject:C-person_vs_work-c
31450	1_210_b_3412	C	0.6	anumitiparamarsahetutavicara	anumiti	agent-proposed:reject:C-person_vs_work-c
31450	1_211_a_3422	C	0.6	anumitiparamarsahetutavicara	anumitiparamarsahetuta	agent-proposed:reject:C-different_author-c
707	1_210_b_3412	C	0.6	anumitiparamarsakaryakaranabhavavicara	anumiti	agent-proposed:reject:C-person_vs_work-c
31448	1_210_b_3412	C	0.6	anumitiparamarsakaryakaranabhavavicara	anumiti	agent-proposed:reject:C-person_vs_work-c
709	1_210_b_3412	C	0.6	anumitiparamarsavada	anumiti	agent-proposed:reject:C-person_vs_work-c
31449	1_210_b_3412	C	0.6	anumitiparamarsavada	anumiti	agent-proposed:reject:C-person_vs_work-c
41846	1_210_b_3412	C	0.6	anumitiparamarsavada	anumiti	agent-proposed:reject:C-person_vs_work-c
710	1_210_b_3412	C	0.6	anumitiparamarsavicara	anumiti	agent-proposed:reject:C-person_vs_work-c
30055	1_210_b_3412	C	0.6	anumitiparamarsavicara	anumiti	agent-proposed:reject:C-person_vs_work-c
41847	1_210_b_3412	C	0.6	anumitiparamarsaviveka	anumiti	agent-proposed:reject:C-person_vs_work-c
708	1_210_b_3412	C	0.6	anumitiparamarsayokaryakaranabhavaghatakapratmasatti	anumiti	agent-proposed:reject:C-person_vs_work-c
41845	1_210_b_3412	C	0.6	anumitiparamarsayokaryakaranabhavavicara	anumiti	agent-proposed:reject:C-person_vs_work-c
711	1_210_b_3412	C	0.6	anumitiprakasa	anumiti	agent-proposed:reject:C-person_vs_work-c
718	1_210_b_3412	C	0.6	anumitirahasya	anumiti	agent-proposed:reject:C-person_vs_work-c
41850	1_210_b_3412	C	0.6	anumitirahasya	anumiti	agent-proposed:reject:C-person_vs_work-c
724	1_210_b_3412	C	0.6	anumitisamgati	anumiti	agent-proposed:reject:C-person_vs_work-c
725	1_210_b_3412	C	0.6	anumitisamgatiprakasa	anumiti	agent-proposed:reject:C-person_vs_work-c
702	1_210_b_3412	C	0.6	anumititattvavada	anumiti	agent-proposed:reject:C-person_vs_work-c
701	1_210_b_3412	C	0.6	anumititika	anumiti	agent-proposed:reject:C-person_vs_work-c
41843	1_210_b_3412	C	0.6	anumititippani	anumiti	agent-proposed:reject:C-person_vs_work-c
41857	1_215_b_3509	C	0.6	anupanarayana	anupanarayanatharkasiromani	agent-proposed:reject:C-person_vs_work-c
636	1_201_a_3243	C	0.6	anuttaratattvavimarsini	anuttara	agent-proposed:reject:C-prefix_extension_unsupported-c
732	1_213_a_3456	C	0.6	anuvakadhyaya	anuvaka	agent-proposed:reject:C-person_vs_work-c
39330	1_213_a_3456	C	0.6	anuvakanukramanikabhasya	anuvaka	agent-proposed:reject:C-person_vs_work-c
39330	1_213_b_3461	C	0.6	anuvakanukramanikabhasya	anuvakanukrama	agent-proposed:reject:C-commentary_extension-c
837	1_241_b_3944	C	0.6	anvayavyatireki	anvayavyatirekikevalanvayipurvapaksagrantha	agent-proposed:approve:same_author_prefix-alltiers
820	1_237_b_3877	C	0.6	anyathakhyatitattva	anyathakhyati	agent-proposed:approve:C-shared_citation-c
41900	1_248_a_4113	C	0.6	aparadhabhanjanasivastotra	aparadhabhanjana	agent-proposed:reject:C-prefix_extension_unsupported-c
873	1_244_a_4013	C	0.6	aparaka	aparakarika	agent-proposed:reject:C-prefix_extension_unsupported-c
873	1_244_a_4014	C	0.6	aparaka	aparakarika	agent-proposed:reject:C-different_author-c
30068	1_244_a_4013	C	0.6	aparaka	aparakarika	agent-proposed:reject:C-prefix_extension_unsupported-c
30068	1_244_a_4014	C	0.6	aparaka	aparakarika	agent-proposed:reject:C-prefix_extension_unsupported-c
873	1_244_a_4011	C	0.6	aparaka	aparakarmaprayoga	agent-proposed:reject:C-different_author-c
30068	1_244_a_4011	C	0.6	aparaka	aparakarmaprayoga	agent-proposed:reject:C-prefix_extension_unsupported-c
30069	1_253_a_4162	C	0.6	aparoksanubhuti	aparoksanubhutirahasya	agent-proposed:reject:C-prefix_extension_unsupported-c
41902	1_253_a_4162	C	0.6	aparoksanubhuti	aparoksanubhutirahasya	agent-proposed:reject:C-prefix_extension_unsupported-c
247.1	1_270_b_4353	C	0.6	aprameyanavamalika	aprameya	agent-proposed:reject:C-person_vs_work-c
247.1	1_270_b_4354	C	0.6	aprameyanavamalika	aprameya	agent-proposed:reject:C-prefix_extension_unsupported-c
912	1_270_b_4353	C	0.6	aprameyanavamalika	aprameya	agent-proposed:reject:C-person_vs_work-c
912	1_270_b_4354	C	0.6	aprameyanavamalika	aprameya	agent-proposed:reject:C-prefix_extension_unsupported-c
1104	1_368_a_5525	C	0.6	aranapada	arana	agent-proposed:reject:C-person_vs_work-c
42150	1_368_b_5536	C	0.6	aranyaka	aranyakasamvada	agent-proposed:reject:C-prefix_extension_unsupported-c
41964	1_378_a_5701	C	0.6	arghadipika	arghadipikasara	agent-proposed:reject:C-prefix_extension_unsupported-c
1138	1_376_b_5681	C	0.6	arkavivahapaddhati	arkavivaha	agent-proposed:reject:C-person_vs_work-c
1139	1_376_b_5681	C	0.6	arkavivahaprayoga	arkavivaha	agent-proposed:reject:C-person_vs_work-c
1190	1_386_b_5887	C	0.6	arthavada	arthavadacarana	agent-proposed:reject:C-person_vs_work-c
1190	1_386_b_5889	C	0.6	arthavada	arthavadadivicara	agent-proposed:reject:C-prefix_extension_unsupported-c
1190	1_386_b_5888	C	0.6	arthavada	arthavadavicara	agent-proposed:reject:C-prefix_extension_unsupported-c
1191	1_386_b_5887	C	0.6	arthavadacaranabhasya	arthavadacarana	agent-proposed:reject:C-person_vs_work-c
1192	1_386_b_5887	C	0.6	arthavadacaranatika	arthavadacarana	agent-proposed:reject:C-person_vs_work-c
2107	6_244_a_3901	C	0.6	aryasiddhanta	aryasiddhantatulyakarana	agent-proposed:reject:C-person_vs_work-c
2153	1_482_a_7612	C	0.6	asadhara	asadharanacintamani	agent-proposed:reject:C-prefix_extension_unsupported-c
31752	1_482_a_7612	C	0.6	asadhara	asadharanacintamani	agent-proposed:reject:C-prefix_extension_unsupported-c
31753	1_482_a_7612	C	0.6	asadhara	asadharanacintamani	agent-proposed:reject:C-prefix_extension_unsupported-c
42170	1_482_a_7612	C	0.6	asadhara	asadharanacintamani	agent-proposed:reject:C-person_vs_work-c
2153	1_482_a_7609	C	0.6	asadhara	asadharanakrodapatra	agent-proposed:reject:C-person_vs_work-c
