k1	hom	lex	accented	index_token	stem_class	compound_members	irregularities
aMsala		adj.	aMsala/	mfn·1b	a-stem		tri_gender_adj
aMseBAra		m.	aMseBAra	m·1	a-stem		
aMseBArika		adj.	a/MseBArika	mfn·1a	a-stem		tri_gender_adj
aMsya		adj.	a/Msya	mfn·1a	a-stem		tri_gender_adj
aMhati	1	f.	aMhati/	f·3b	i-stem		
aMhati	2	f.	a/Mhati	f·3a	i-stem		
aMhatI		f.	aMhatI/	f·4b	ī-stem		
aMhas		n.	a/Mhas	n·8sa	consonant-stem		
aMhasaspati		m.	aMhasaspati/	m·3b	i-stem		
aMhiti		f.	aMhiti	f·3	i-stem		
aMhu		adj.	aMhu/	mfn·5b	u-stem		tri_gender_adj
aMhuBeda		adj.	aMhuBe/da	mfn·1a	a-stem		tri_gender_adj
aMhura		adj.	aMhura/	mfn·1b	a-stem		tri_gender_adj
aMhUraRa		adj.	aMhUraRa/	mfn·1b	a-stem		tri_gender_adj
aMhomuc		adj.	aMhomu/c	mfn·8√b	consonant-stem		tri_gender_adj
aMhoyu		adj.	aMhoyu/	mfn·5b	u-stem		tri_gender_adj
aMhri		m.	a/Mhri	m·3a	i-stem		
aMhripa		m.	aMhripa	m·1+2	a-stem	aMhri+pa	compound:2_members
aMhriskanDa		m.	aMhriskanDa	m·1+2	a-stem	aMhri+skanDa	compound:2_members
aka		n.	aka	n·1	a-stem		
akaca		m.	akaca	m·1	a-stem		
akanizWa		adj.	a/kanizWa	mfn·1a	a-stem		tri_gender_adj
akanizWaga		m.	akanizWaga	m·1+2	a-stem	akanizWa+ga	compound:2_members
akanyA		f.	akanyA	f·2	ā-stem		ā_stem_f(§364)
akapIvant		m.	akapIvant	m·8t*	consonant-stem		
akampita		adj.	akampita	mfn·1	a-stem		tri_gender_adj
akaraRi		f.	akaraRi	f·3	i-stem		
akarA		f.	akarA	f·2	ā-stem		ā_stem_f(§364)
akaruRa		adj.	akaruRa	mfn·1	a-stem		tri_gender_adj
akarkaSa		adj.	akarkaSa	mfn·1	a-stem		tri_gender_adj
akarRa		adj.	akarRa	mfn·1	a-stem		tri_gender_adj
akartana		m.	akartana	m·1	a-stem		
akarman	1	n.	a/karman	n·8na*	consonant-stem		
akarman	2	adj.	akarma/n	mfn·8nd*	consonant-stem		tri_gender_adj
akala		adj.	akala	mfn·1	a-stem		tri_gender_adj
akalka		adj.	akalka	mfn·1	a-stem		tri_gender_adj
akalkatA		f.	akalka/tA	f·2a+2	ā-stem	akalka+tA	compound:2_members;ā_stem_f(§364)
akalkana		adj.	akalkana	mfn·1	a-stem		tri_gender_adj
akalkala		adj.	akalkala	mfn·1	a-stem		tri_gender_adj
akalkA		f.	akalkA	f·2	ā-stem		ā_stem_f(§364)
akalpa		adj.	akalpa/	mfn·1b	a-stem		tri_gender_adj
akalmAza		m.	akalmAza	m·1	a-stem		
akava		adj.	a/kava	mfn·1a	a-stem		tri_gender_adj
akavaca		adj.	akavaca/	mfn·1b	a-stem		tri_gender_adj
akavAri		adj.	a/kavAri	mfn·3a	i-stem		tri_gender_adj
akavi		adj.	a/kavi	mfn·3a	i-stem		tri_gender_adj
akasmAt		adv.	akasmAt	ind·0	indeclinable		
akARqa		adj.	akARqa	mfn·1	a-stem		tri_gender_adj
akARqe		adv.	akARqe	ind·0	indeclinable		
akAma		adj.	akAma/	mfn·1b	a-stem		tri_gender_adj
akAmakarSana		adj.	a/kAmakarSana	mfn·1a+2	a-stem	akAma+karSana	compound:2_members;tri_gender_adj
akAmatas		adv.	akAmatas	ind·0+2	indeclinable	akAma+tas	compound:2_members
akAmatA		f.	akAma/tA	f·2a+2	ā-stem	akAma+tA	compound:2_members;ā_stem_f(§364)
akAmahata		adj.	akAmahata	mfn·1+2	a-stem	akAma+hata	compound:2_members;tri_gender_adj
akAya		adj.	akAya/	mfn·1b	a-stem		tri_gender_adj
akAra		m.	akAra	m·1+2	a-stem	a+kAra	compound:2_members
akAraRa		n.	akAraRa	n·1	a-stem		
akArRavezwakika		adj.	akArRavezwakika/	mfn·1b	a-stem		tri_gender_adj
akArya		adj.	akArya	mfn·1	a-stem		tri_gender_adj
akAryakArin	1	adj.	akAryakArin	mfn·8i+2	consonant-stem	akArya+kArin	compound:2_members;tri_gender_adj
akAryakArin	2	adj.	akAryakArin	mfn·8i+2	consonant-stem	akArya+kArin	compound:2_members;tri_gender_adj
akAla		m.	akAla	m·1	a-stem		
akAlajaladodaya		m.	akAlajaladodaya	m·1+2	a-stem	akAla+jaladodaya	compound:2_members
akAlameGodaya		m.	akAlameGodaya	m·1+2	a-stem	akAla+meGodaya	compound:2_members
akAlavelA		f.	akAlavelA	f·2+2	ā-stem	akAla+velA	compound:2_members;ā_stem_f(§364)
akiMcana		adj.	akiMcana	mfn·1	a-stem		tri_gender_adj
akiMcanatA		f.	akiMcana/tA	f·2a	ā-stem		ā_stem_f(§364)
akiMcaniman		m.	akiMcanima/n	m·8nd*	consonant-stem		
akitava		m.	a/kitava	m·1a	a-stem		
akutas		adv.	akutas	ind·0	indeclinable		
akutoBaya		adj.	akutoBaya	mfn·1+2	a-stem	akuto+Baya	compound:2_members;tri_gender_adj
akutrA		adv.	aku/trA	ind·0	indeclinable		
akuDryaYc		adj.	akuDrya/Yc	mfn·8cd*	consonant-stem		tri_gender_adj
akupya		n.	akupya	n·1	a-stem		
akumAra		m.	a/kumAra	m·1a	a-stem		
akula		adj.	akula	mfn·1	a-stem		tri_gender_adj
akulatA		f.	akula/tA	f·2a+2	ā-stem	akula+tA	compound:2_members;ā_stem_f(§364)
akuSala		adj.	akuSala	mfn·1	a-stem		tri_gender_adj
akUpAra		adj.	a/kUpAra	mfn·1a	a-stem		tri_gender_adj
akUrca		adj.	akUrca	mfn·1	a-stem		tri_gender_adj
akUvAra		m.	akUvAra	m·1	a-stem		
akfta	1	adj.	a/kfta	mfn·1a	a-stem		tri_gender_adj
akfta	2	adj.	akfta/	mfn·1b	a-stem		tri_gender_adj
akftakAram		adv.	akftakAram	ind·0+2	indeclinable	akfta+kAram	compound:2_members
akftavraRa		m.	akftavraRa	m·1+2	a-stem	akfta+vraRa	compound:2_members
akfttaruc		adj.	akfttaruc	mfn·8√+2	consonant-stem	akftta+ruc	compound:2_members;tri_gender_adj
akftya		adj.	akftya	mfn·1	a-stem		tri_gender_adj
akftsna		adj.	akftsna	mfn·1	a-stem		tri_gender_adj
akfSASva		m.	akfSASva	m·1	a-stem		
akfzIvala		adj.	a/kfzIvala	mfn·1a	a-stem		tri_gender_adj
akfzwapacya		adj.	akfzwapacya/	mfn·1b+2	a-stem	akfzwa+pacya	compound:2_members;tri_gender_adj
akfzRakarman		adj.	akfzRakarman	mfn·8n*	consonant-stem		tri_gender_adj
aketu		adj.	aketu/	mfn·5b	u-stem		tri_gender_adj
akeSa		adj.	akeSa	mfn·1	a-stem		tri_gender_adj
akowa		m.	akowa	m·1	a-stem		
akOSala		n.	akOSala	n·1	a-stem		
akkA		f.	akkA	f·2	ā-stem		ā_stem_f(§364)
aktA		f.	aktA/	f·2b	ā-stem		ā_stem_f(§364)
aktu		m.	aktu/	m·5b	u-stem		
akna		adj.	akna	mfn·1	a-stem		tri_gender_adj
akra		adj.	a/kra	mfn·1a	a-stem		tri_gender_adj
akra		adj.	akra/	mfn·1b	a-stem		tri_gender_adj
akratu		adj.	akratu/	mfn·5b	u-stem		tri_gender_adj
akrama		m.	akrama	m·1	a-stem		
akravihasta		adj.	a/kravihasta	mfn·1a	a-stem		tri_gender_adj
akravyAd		adj.	akravyAd	mfn·8√	consonant-stem		tri_gender_adj
akravyAda		adj.	akravyAda	mfn·1	a-stem		tri_gender_adj
akrAnta		adj.	akrAnta	mfn·1	a-stem		tri_gender_adj
akrILant		adj.	a/krILant	mfn·8ta*	consonant-stem		tri_gender_adj
akrUra		adj.	akrUra	mfn·1	a-stem		tri_gender_adj
akroDa		m.	akroDa	m·1	a-stem		
akroDana		adj.	akroDana	mfn·1	a-stem		tri_gender_adj
aklikA		f.	aklikA	f·2	ā-stem		ā_stem_f(§364)
akleSa		m.	akleSa	m·1	a-stem		
akza	1	m.	akza/	m·1b	a-stem		
akza	2	m.	a/kza	m·1a	a-stem		
akza	3	n.	akza	n·1	a-stem		
akzaka		m.	akzaka	m·1	a-stem		
akzakAma		adj.	akza/kAma	mfn·1a+2	a-stem	akza+kAma	compound:2_members;tri_gender_adj
akzaja		m.	akzaja	m·1+2	a-stem	akza+ja	compound:2_members
akzaRvant		adj.	akzaRva/nt	mfn·8td*	consonant-stem		tri_gender_adj
akzata		adj.	a/kzata	mfn·1a	a-stem		tri_gender_adj
akzatra		adj.	akzatra	mfn·1	a-stem		tri_gender_adj
akzadarSaka		m.	akzadarSaka	m·1+2	a-stem	akza+darSaka	compound:2_members
akzadfS		m.	akzadfS	m·8√+2	consonant-stem	akza+dfS	compound:2_members
akzadevin		m.	akzadevin	m·8i+2	consonant-stem	akza+devin	compound:2_members
akzadyU		m.	akzadyU	m·6+2	ū-stem	akza+dyU	compound:2_members
akzadyUta		n.	akzadyUta	n·1+2	a-stem	akza+dyUta	compound:2_members
akzadrugDa		adj.	akza/drugDa	mfn·1a+2	a-stem	akza+drugDa	compound:2_members;tri_gender_adj
akzaDara		m.	akzaDara	m·1+2	a-stem	akza+Dara	compound:2_members
akzaDUrta		m.	akzaDUrta	m·1+2	a-stem	akza+DUrta	compound:2_members
akzaDUrtila		m.	akzaDUrtila	m·1+2	a-stem	akza+DUrtila	compound:2_members
akzan		n.	akza/n	n·8nd*	consonant-stem		
akzapawala		n.	akzapawala	n·1+2	a-stem	akza+pawala	compound:2_members
akzaparAjaya		m.	akzaparAjaya/	m·1b+2	a-stem	akza+parAjaya	compound:2_members
akzapari		adv.	akzapari	ind·0+2	indeclinable	akza+pari	compound:2_members
akzapAwaka		m.	akzapAwaka	m·1+2	a-stem	akza+pAwaka	compound:2_members
akzapIqA		f.	akzapIqA	f·2+2	ā-stem	akza+pIqA	compound:2_members;ā_stem_f(§364)
akzama		adj.	akzama	mfn·1	a-stem		tri_gender_adj
akzamA		f.	akzamA	f·2	ā-stem		ā_stem_f(§364)
akzamAla		adj.	akzamAla	mfn·1	a-stem		tri_gender_adj
akzamAlA		f.	akzamAlA	f·2+2	ā-stem	akza+mAlA	compound:2_members;ā_stem_f(§364)
akzamAlin		adj.	akzamAlin	mfn·8i+2	consonant-stem	akza+mAlin	compound:2_members;tri_gender_adj
akzaya		adj.	akzaya	mfn·1	a-stem		tri_gender_adj
akzayaguRa		adj.	akzayaguRa	mfn·1+2	a-stem	akzaya+guRa	compound:2_members;tri_gender_adj
akzayatftIyA		f.	akzayatftIyA	f·2+2	ā-stem	akzaya+tftIyA	compound:2_members;ā_stem_f(§364)
akzayatva		n.	akzayatva/	n·1b+2	a-stem	akzaya+tva	compound:2_members
akzayapuruhUta		m.	akzayapuruhUta	m·1+2	a-stem	akzaya+puruhUta	compound:2_members
akzayamati		m.	akzayamati	m·3+2	i-stem	akzaya+mati	compound:2_members
akzayiRI		f.	akzayiRI	f·4	ī-stem		
akzayya		adj.	akzayya/	mfn·1b	a-stem		tri_gender_adj
akzara		adj.	akza/ra	mfn·1a	a-stem		tri_gender_adj
akzaraka		n.	akzaraka	n·1	a-stem		
akzaracaYcu		m.	akzaracaYcu	m·5+2	u-stem	akzara+caYcu	compound:2_members
akzaracaRa		m.	akzaracaRa	m·1+2	a-stem	akzara+caRa	compound:2_members
akzaracuYcu		m.	akzaracuYcu	m·5+2	u-stem	akzara+cuYcu	compound:2_members
akzaracCandas		n.	akzaracCandas	n·8s	consonant-stem		
akzarajIvaka		m.	akzarajIvaka	m·1+2	a-stem	akzara+jIvaka	compound:2_members
akzarajIvika		m.	akzarajIvika	m·1+2	a-stem	akzara+jIvika	compound:2_members
akzarajIvin		m.	akzarajIvin	m·8i+2	consonant-stem	akzara+jIvin	compound:2_members
akzaratUlikA		f.	akzaratUlikA	f·2+2	ā-stem	akzara+tUlikA	compound:2_members;ā_stem_f(§364)
akzaranyAsa		m.	akzaranyAsa	m·1+2	a-stem	akzara+nyAsa	compound:2_members
akzarapaNkti	1	f.	akza/rapaNkti	f·3a+2	i-stem	akzara+paNkti	compound:2_members
akzarapaNkti	2	adj.	akzarapaNkti	mfn·3+2	i-stem	akzara+paNkti	compound:2_members;tri_gender_adj
akzaraBAj		adj.	akzaraBAj	mfn·8√+2	consonant-stem	akzara+BAj	compound:2_members;tri_gender_adj
akzaramuKa		m.	akzaramuKa	m·1+2	a-stem	akzara+muKa	compound:2_members
akzaravinyAsa		m.	akzaravinyAsa	m·1+2	a-stem	akzara+vinyAsa	compound:2_members
akzaraSas		adv.	akzaraSas	ind·0+2	indeclinable	akzara+Sas	compound:2_members
akzarasaMsTAna		n.	akzarasaMsTAna	n·1+2	a-stem	akzara+saMsTAna	compound:2_members
akzarANga		n.	akzarANga	n·1	a-stem		
akzarAja		m.	akzarAja/	m·1b+2	a-stem	akza+rAja	compound:2_members
akzarya		adj.	akzarya^	mfn·1	a-stem		tri_gender_adj
akzavant		adj.	akzavant	mfn·8t*	consonant-stem		tri_gender_adj
akzavAwa		m.	akzavAwa	m·1+2	a-stem	akza+vAwa	compound:2_members
akzavftta		adj.	akza/vftta	mfn·1a+2	a-stem	akza+vftta	compound:2_members;tri_gender_adj
akzaSORqa		adj.	akza/SORqa	mfn·1a+2	a-stem	akza+SORqa	compound:2_members;tri_gender_adj
akzasUkta		n.	akzasUkta	n·1+2	a-stem	akza+sUkta	compound:2_members
akzasUtra		n.	akzasUtra	n·1+2	a-stem	akza+sUtra	compound:2_members
akzAgrakIla		m.	akzAgrakIla	m·1	a-stem		
akzAgrakIlaka		m.	akzAgrakIlaka	m·1	a-stem		
akzAnti		f.	akzAnti	f·3	i-stem		
akzAralavaRa		n.	akzAralavaRa	n·1+2	a-stem	akzAra+lavaRa	compound:2_members
akzArAlavaRASin		adj.	akzArAlavaRASin	mfn·8i	consonant-stem		tri_gender_adj
akzAvapana		n.	akzAva/pana	n·1a	a-stem		
akzAvApa		m.	akzAvApa/	m·1b	a-stem		
akzi		n.	a/kzi	n·3a	i-stem		
akzika		m.	akzika	m·1	a-stem		
akzikUwa		n.	akzikUwa	n·1+2	a-stem	akzi+kUwa	compound:2_members
akzikUwaka		n.	akzikUwaka	n·1+2	a-stem	akzi+kUwaka	compound:2_members
akzigata		adj.	akzigata	mfn·1+2	a-stem	akzi+gata	compound:2_members;tri_gender_adj
akzijAha		n.	akzijAha	n·1+2	a-stem	akzi+jAha	compound:2_members
akzita		adj.	a/kzita	mfn·1a	a-stem		tri_gender_adj
akzitAvasu		adj.	a/kzitAvasu	mfn·5a	u-stem		tri_gender_adj
akziti		f.	a/kziti	f·3a	i-stem		
akzitoti		adj.	a/kzitoti	mfn·3a	i-stem		tri_gender_adj
akzipat		adj.	akzipa/t	mfn·8td*+2	consonant-stem	akzi+pat	compound:2_members;tri_gender_adj
akziBU		adj.	akziBU/	mfn·6a+2	ū-stem	akzi+BU	compound:2_members;tri_gender_adj
akziBezaja		m.	akziBezaja	m·1+2	a-stem	akzi+Bezaja	compound:2_members
akziBruva		n.	akziBruva	n·1+2	a-stem	akzi+Bruva	compound:2_members
akziyant		adj.	a/kziyant	mfn·8ta*	consonant-stem		tri_gender_adj
akziloman		n.	akziloman	n·8n*+2	consonant-stem	akzi+loman	compound:2_members
akziva		m.	akziva	m·1	a-stem		
akzivikURita		n.	akzivikURita	n·1+2	a-stem	akzi+vikURita	compound:2_members
akzIka		m.	akzIka	m·1	a-stem		
akzIyamARa		adj.	a/kzIyamARa	mfn·1a	a-stem		tri_gender_adj
akzIva		adj.	akzIva	mfn·1	a-stem		tri_gender_adj
akzu		m.	a/kzu	m·5a	u-stem		
akzudra		adj.	akzudra	mfn·1	a-stem		tri_gender_adj
akzuD		f.	a/kzuD	f·8√a	consonant-stem		
akzuDya		adj.	akzuDya/	mfn·1b	a-stem		tri_gender_adj
akzetra	1	n.	akzetra	n·1	a-stem		
akzetra	2	adj.	a/kzetra	mfn·1a	a-stem		tri_gender_adj
akzetrajYa		adj.	akzetrajYa	mfn·1+2	a-stem	akzetra+jYa	compound:2_members;tri_gender_adj
akzetravid		adj.	a/kzetravid	mfn·8√a+2	consonant-stem	akzetra+vid	compound:2_members;tri_gender_adj
akzetrin		adj.	akzetrin	mfn·8i	consonant-stem		tri_gender_adj
akzEtrajYya		n.	akzEtrajYya	n·1	a-stem		
akzowa		m.	akzowa	m·1	a-stem		
akzoqa		m.	akzoqa	m·1	a-stem		
akzoqaka		m.	akzoqaka	m·1	a-stem		
akzoBa		adj.	akzoBa	mfn·1	a-stem		tri_gender_adj
akzoBya		adj.	akzoBya	mfn·1	a-stem		tri_gender_adj
akzoByarAja		m.	akzoByarAja	m·1	a-stem		
akzOhiRI		f.	akzOhiRI	f·4	ī-stem		
akzRa	1	adj.	akzRa	mfn·1	a-stem		tri_gender_adj
akzRa	2	n.	akzRa	n·1	a-stem		
akzRayAdruh		adj.	akzRayAdru/h	mfn·8√b+2	consonant-stem	akzRayA+druh	compound:2_members;tri_gender_adj
akzRayAvan		adj.	akzRa/yAvan	mfn·8na*+2	consonant-stem	akzRa+yAvan	compound:2_members;tri_gender_adj
aKawwa		m.	aKawwa	m·1	a-stem		
aKawwi		m.	aKawwi	m·3	i-stem		
aKaRqa		adj.	aKaRqa	mfn·1	a-stem		tri_gender_adj
aKaRqana		m.	aKaRqana	m·1	a-stem		
aKaRqitartu		adj.	aKaRqitartu	mfn·5+2	u-stem	aKaRqita+rtu	compound:2_members;tri_gender_adj
aKanant		adj.	a/Kanant	mfn·8ta*	consonant-stem		tri_gender_adj
aKarva		adj.	a/Karva	mfn·1a	a-stem		tri_gender_adj
aKAta		adj.	a/KAta	mfn·1a	a-stem		tri_gender_adj
aKidra		adj.	a/Kidra	mfn·1a	a-stem		tri_gender_adj
aKidrayAman		adj.	a/KidrayAman	mfn·8na*+2	consonant-stem	aKidra+yAman	compound:2_members;tri_gender_adj
aKila		adj.	aKila	mfn·1	a-stem		tri_gender_adj
aKilena		adv.	aKilena	ind·0	indeclinable		
aKewika		m.	aKewika	m·1	a-stem		
aKeditva		n.	aKeditva/	n·1b	a-stem		
aKedin		adj.	aKedin	mfn·8i	consonant-stem		tri_gender_adj
aga	1	m.	aga	m·1	a-stem		
aga	2	adj.	aga	mfn·1	a-stem		tri_gender_adj
agacCa		adj.	agacCa	mfn·1	a-stem		tri_gender_adj
agaja		adj.	agaja	mfn·1+2	a-stem	aga+ja	compound:2_members;tri_gender_adj
agata		adj.	a/gata	mfn·1a	a-stem		tri_gender_adj
agatika		adj.	agatika	mfn·1	a-stem		tri_gender_adj
agada	1	m.	a/gada	m·1a	a-stem		
agada	2	adj.	agada/	mfn·1b	a-stem		tri_gender_adj
agadaMkAra		m.	agadaMkAra	m·1	a-stem		
agama		adj.	agama	mfn·1	a-stem		tri_gender_adj
agamya		adj.	agamya	mfn·1	a-stem		tri_gender_adj
agamyAgamana		f.	agamyAgamana	f·1+2	a-stem	agamyA+gamana	compound:2_members
agamyAgamanIya		adj.	agamyAgamanIya	mfn·1+2	a-stem	agamyA+gamanIya	compound:2_members;tri_gender_adj
agarI		f.	agarI	f·4	ī-stem		
agaru		m.n.	agaru	mn·5	u-stem		m_n_common
agarhita		adj.	agarhita	mfn·1	a-stem		tri_gender_adj
agavyUti		adj.	agavyUti/	mfn·3b	i-stem		tri_gender_adj
agasti		m.	aga/sti	m·3a	i-stem		
agastidru		m.	agastidru	m·5+2	u-stem	agasti+dru	compound:2_members
agastI		f.	agastI	f·4	ī-stem		
agastIya		adj.	agastI/ya	mfn·1a	a-stem		tri_gender_adj
agastya		m.	aga/stya	m·1a	a-stem		
agastyagItA		f.	agastyagItA	f·2+2	ā-stem	agastya+gItA	compound:2_members;ā_stem_f(§364)
agastyacAra		m.	agastyacAra	m·1+2	a-stem	agastya+cAra	compound:2_members
agastyasaMhitA		f.	agastyasaMhitA	f·2+2	ā-stem	agastya+saMhitA	compound:2_members;ā_stem_f(§364)
agastyodaya		m.	agastyodaya	m·1	a-stem		
agA		adj.	agA	mfn·2	ā-stem		tri_gender_adj
agADa		adj.	agADa	mfn·1	a-stem		tri_gender_adj
agADajala		adj.	agADajala	mfn·1+2	a-stem	agADa+jala	compound:2_members;tri_gender_adj
agAra		n.	agAra	n·1	a-stem		
agAvaha		m.	agAvaha	m·1	a-stem		
agira		m.	agira	m·1	a-stem		
agirOkas		adj.	a/girOkas	mfn·8sa	consonant-stem		tri_gender_adj
agu		adj.	a/gu	mfn·5a	u-stem		tri_gender_adj
aguRa		m.	aguRa	m·1	a-stem		
aguru		adj.	aguru	mfn·5	u-stem		tri_gender_adj
aguruSiMSapA		f.	aguruSiMSapA	f·2	ā-stem		ā_stem_f(§364)
agUQaganDa		adj.	agUQaganDa	mfn·1+2	a-stem	agUQa+ganDa	compound:2_members;tri_gender_adj
agfBIta		adj.	a/gfBIta	mfn·1a	a-stem		tri_gender_adj
agfBItaSocis		adj.	a/gfBItaSocis	mfn·8sa+2	consonant-stem	agfBIta+Socis	compound:2_members;tri_gender_adj
ago		adj.	ago	mfn·8√	consonant-stem		tri_gender_adj
agotA		f.	ago/tA	f·2a+2	ā-stem	ago+tA	compound:2_members;ā_stem_f(§364)
agopA		adj.	a/gopA	mfn·2a	ā-stem		tri_gender_adj
agoruDa		adj.	a/goruDa	mfn·1a	a-stem		tri_gender_adj
agohya		adj.	a/gohya	mfn·1a	a-stem		tri_gender_adj
agOkas		adj.	agOkas	mfn·8s	consonant-stem		tri_gender_adj
agnAmarut		m.	agnAmarut	m·8√	consonant-stem		
agnAyI		f.	agnA/yI	f·4a	ī-stem		
agnAvizRu		m.	agnAvizRu	m·5	u-stem		
agni		m.	agni/	m·3b	i-stem		
agnika		m.	agnika	m·1	a-stem		
agnikaRa		m.	agnikaRa	m·1+2	a-stem	agni+kaRa	compound:2_members
agnikarman		n.	agnikarman	n·8n*+2	consonant-stem	agni+karman	compound:2_members
agnikaSyapIya		adj.	agnikaSyapI/ya	mfn·1a	a-stem		tri_gender_adj
agnikArikA		f.	agnikArikA	f·2+2	ā-stem	agni+kArikA	compound:2_members;ā_stem_f(§364)
agnikArya		n.	agnikArya	n·1+2	a-stem	agni+kArya	compound:2_members
agnikAzWa		n.	agnikAzWa	n·1+2	a-stem	agni+kAzWa	compound:2_members
agnikukkuwa		m.	agnikukkuwa	m·1+2	a-stem	agni+kukkuwa	compound:2_members
agnikuRqa		n.	agnikuRqa	n·1+2	a-stem	agni+kuRqa	compound:2_members
agniketu		m.	agniketu	m·5+2	u-stem	agni+ketu	compound:2_members
agnikoRa		n.	agnikoRa	n·1+2	a-stem	agni+koRa	compound:2_members
agnikriyA		f.	agnikriyA	f·2	ā-stem		ā_stem_f(§364)
agnigarBa		adj.	agnigarBa	mfn·1+2	a-stem	agni+garBa	compound:2_members;tri_gender_adj
agnigfha		n.	agnigfha	n·1+2	a-stem	agni+gfha	compound:2_members
agnigranTa		m.	agnigranTa	m·1+2	a-stem	agni+granTa	compound:2_members
agnicaya		m.	agnicaya	m·1+2	a-stem	agni+caya	compound:2_members
agnicit		adj.	agnici/t	mfn·8√b+2	consonant-stem	agni+cit	compound:2_members;tri_gender_adj
agnicityA		f.	agnicityA	f·2+2	ā-stem	agni+cityA	compound:2_members;ā_stem_f(§364)
agnicitvant		adj.	agnici/tvant	mfn·8ta*	consonant-stem		tri_gender_adj
agnija		adj.	agnija	mfn·1+2	a-stem	agni+ja	compound:2_members;tri_gender_adj
agnijanman		m.	agnijanman	m·8n*+2	consonant-stem	agni+janman	compound:2_members
agnijA		adj.	agnijA/	mfn·2b+2	ā-stem	agni+jA	compound:2_members;tri_gender_adj
agnijAra		m.	agnijAra	m·1+2	a-stem	agni+jAra	compound:2_members
agnijAla		m.	agnijAla	m·1+2	a-stem	agni+jAla	compound:2_members
agnijihva		adj.	agnijihva/	mfn·1b+2	a-stem	agni+jihva	compound:2_members;tri_gender_adj
agnijihvA		f.	agnijihvA/	f·2b+2	ā-stem	agni+jihvA	compound:2_members;ā_stem_f(§364)
agnijvalitatejana		adj.	agnijvalitatejana	mfn·1+2	a-stem	agni+jvalitatejana	compound:2_members;tri_gender_adj
agnijvAlA		f.	agnijvAlA	f·2+2	ā-stem	agni+jvAlA	compound:2_members;ā_stem_f(§364)
agnitap		adj.	agnita/p	mfn·8√b+2	consonant-stem	agni+tap	compound:2_members;tri_gender_adj
agnitapas		adj.	agnita/pas	mfn·8sa+2	consonant-stem	agni+tapas	compound:2_members;tri_gender_adj
agnitapta		adj.	agnitapta/	mfn·1b+2	a-stem	agni+tapta	compound:2_members;tri_gender_adj
agnitejas		adj.	agni/tejas	mfn·8sa+2	consonant-stem	agni+tejas	compound:2_members;tri_gender_adj
agnitraya		n.	agnitraya	n·1+2	a-stem	agni+traya	compound:2_members
agnitrA		adj.	agnitrA	mfn·2+2	ā-stem	agni+trA	compound:2_members;tri_gender_adj
agnitretA		f.	agnitretA	f·2+2	ā-stem	agni+tretA	compound:2_members;ā_stem_f(§364)
