slp1	hom	sense_id	gloss_de	ls_loci
A	2	1c	c〉 steigernd und hervorhebend: zumal, ganz, gar; nicht selten dient es nur um auf das Wort, nach welchem es steht, den Nachdruck zu werfen. ṚV. 1,38,10 . 37,6 . 6,45,33 . 59,2 . 2,12,15 . 4,7 . 7,20,2	ṚV. 1,38,10;ṚV. 1, 37,6;ṚV 6,45,33;ṚV. 6, 59,2;ṚV 2,12,15;ṚV 4,7;ṚV 7,20,2;ṚV 1,134,3;ṚV 10,11,6;ṚV. 10, 22,3;AV. 6,33,1;AV 7,22,1;ŚAT. BR. 14,7,2,20;BṚH. ĀR. UP. 4,4,16;ŚAT. BR 9,2,3,44;KENOP. 29;NIR. 3,13;ŚAṂK;KENOP. 19
A	2	1d	d〉 zur Verstärkung oder näheren Bestimmung verschiedener praepp. dienend; bei ṚV. 9,67,23 . 73,5 . 6 . 2,38,7 . 1,9,3 . S. u. d. Ww	ṚV. 9,67,23;ṚV 73,5;ṚV. 9, 6;ṚV 2,38,7;ṚV 1,9,3
A	2	2	2〉 praep	
A	2	2a	a〉 zu — hin, bis an, bis zu, bis auf, bevor: α〉 mit vorang. acc. : [Page1-0582] ṚV. 7,32,4 . 9,66,12 . 54,2 . 8,83,6 . 7,43,4 . — β〉 mit folg. acc. , häufig im ŚAT. BR. in Verbindung mit , wozu ein Ze	ṚV. 7,32,4;ṚV 9,66,12;ṚV. 9, 54,2;ṚV 8,83,6;ṚV 7,43,4;ŚAT. BR;ŚAT. BR 1,6,2,3;ŚAT. BR 2,2,3,3;ŚAT. BR. 2,2, 4,12;ŚAT. BR. 2, 3,4,2;ŚAT. BR 4,1,3,4;ŚAT. BR 11,5,1,4;ŚAT. BR. 11,5,1, 11;P. 2,1,13;P. 2, 3,10;ṚV. 3,53,20;VS. 4,9;AV. 7,59,1;AV 12,4,16;AV 18,3,62;AV 1,14,3;ŚAT. BR. 10,2,1,9;ŚAT. BR 3,1,3,9;ŚAT. BR 12,8,3,17;ŚAT. BR 4,2,4,5;ŚAT. BR 1,5,2,9;ŚAT. BR 2,4,2,21;ŚAT. BR 3,2,1,7;ŚAT. BR 14,4,2,9;BṚH. ĀR. UP. 1,4,4;ŚAT. BR 10,4,4,4;KĀTY. ŚR. 2,2,2;KĀTY. ŚR. 2, 6,9;KĀTY. ŚR 12,4,1;KĀTY. ŚR. 12, 6,18;M. 2,22;M. 2, 167;M. 2, 38;M. 2, 101;M. 2, 108;M. 2, 171;M. 2, 243;M. 2, 244;M 3,279;M 4,137;M 5,88;M. 2, 158;M 6,31;M 9,70;M. 2, 89;M 10,64;M. 2, 91;M. 2, 104;YĀJÑ. 3,23;MBH. 1,4405;BHAG. 8,16;R. 1,6,25;R 2,32,32;R. 2,32, 38;R 3,34,23;R. 3, 46,2;R 4,40,69;R. 4, 58,34;ŚĀK. 2;ŚĀK 26;ŚĀK 71,10;RAGH. 1,90;RAGH. 1, 91;ŚĀK. 54,21;P. 2,1,13;CHĀND. UP. 7,2,1;CHĀND. UP. 7, 8,1;M. 3,247;R. 4,9,106;PAÑCAT. I, 44;AK. 2,6,2,32;KATHĀS. 23,20;KATHĀS 10,208;VID. 54;P. 2,1,13;AMAR. 74;R. 4,37,3;MBH. 1,6965;R. 1,1,12;R 3,69,16;RAGH. 1,5;ŚĀK. 80;ŚĀK 145;VID. 21;HIT. I, 180;M. 9,101;MBH. 3,8333;MUṆḌ. UP. 1,2,3;MBH. 2,531;R. 4,34,16;YĀJÑ. 1,205
A	2	2b	b〉 von — her, von — aus, von — weg, von — an: α〉 mit folg. abl. : ṚV. 3,56,6 . 7 . 1,92,3 . 17 . 30,21 . AV. 3,3,4 . MBH. 1,3756 . R. 1,5,1 . RAGH. 1,17 . KATHĀS. 24,186 . ( v. l. ) ŚĀK. 121 . 14,19 .	ṚV. 3,56,6;ṚV. 3,56, 7;ṚV 1,92,3;ṚV. 1,92, 17;ṚV. 1, 30,21;AV. 3,3,4;MBH. 1,3756;R. 1,5,1;RAGH. 1,17;KATHĀS. 24,186;ŚĀK. 121;ŚĀK 14,19;KATHĀS. 25,195;KATHĀS 12,191;VID. 130;ŚĀK. CH. 13,6;ṚV. 1,33,7;ṚV 2,17,7;ṚV 1,129,6;ṚV 8,66,6;AV. 4,15,11;MBH. 3,1403;KATHĀS. 2,29;KATHĀS. 2, 28;KATHĀS 4,53;RAGH. 1,5;KATHĀS. 21,122;KATHĀS. 10,69
A	2	2c	c〉 aus, von, unter, zur Hervorhebung eines Einzelnen unter Mehreren: ṚV. 1,84,9 . 20 . 4,4	ṚV. 1,84,9;ṚV. 1,84, 20;ṚV. 1, 4,4
A	2	2d	d〉 in, bei, mit dem loc. NIR. 5,5 . ṚV. 1,61,9 . 73,4 . 91,13 . 113,10 . 27,6 . 150,1 . 82,2 . 112,17 . 2,30,1 . 4,11,1 . 5,48,1 . 9,62,8 . 9,110,4 . 73,7 . 10,40,2 . 72,7 . AV. 7,8,1 . 16,4,2	NIR. 5,5;ṚV. 1,61,9;ṚV. 1, 73,4;ṚV. 1, 91,13;ṚV. 1, 113,10;ṚV. 1, 27,6;ṚV 150,1;ṚV 82,2;ṚV 112,17;ṚV 2,30,1;ṚV 4,11,1;ṚV 5,48,1;ṚV 9,62,8;ṚV 9,110,4;ṚV. 9, 73,7;ṚV 10,40,2;ṚV. 10, 72,7;AV. 7,8,1;AV 16,4,2
A	2	2e	e〉 im comp. mit einem adj. oder partic. etwas, ein wenig, kaum P. 2,2,18 , SAUN. Vārtt. 3. Scheinbar adv. , aber ursprünglich gewiss praep. und zwar in der unter a. aufgeführten Bedeutung: bis zum Gel	P. 2,2,18;SAUN;R. 2,76,4;ŚĀK. 69,2;H. 1239;RAGH. 3,8;RAGH 16,51;AMAR. 89;P. 1,1,14;ŚĀK. 184;DAŚAK;BENF. Chr. 198,23;AK. 2,9,47;BHARTṚ. 3,48;ŚĀK. 176;RAGH. 1,83;P. 1,1,14;P. 1, 4,89;P 2,1,13;P. 2, 3,10;VOP. 1,8;VOP 2,19;AK. 3,4,32,1;COL. 3,4,28,1;H. an. 7,2;MED. avy. 13;P. 6,1,74;P. 6,1, 95;P. 6,1, 126;VOP. 2,5;VOP. 2, 19
A	2	2	2〉	
A	2	2a	a〉β〉 bis auf, bis exclusive: der Dvād. besteht nach Abzug ( SĀY. ) des zehnten Tages und der beiden Atirātra aus drei Tryaha AIT. BR. 4,24 . Zu der Verbindung ist nicht ein Zeiltwort der Bewegung (was	SĀY;AIT. BR. 4,24;ŚAT. BR. 11,5,1,4;AIT. BR. 2,13;KĀTY. ŚR. 4,13,16;ṚV. PRĀT. 11,9;M. 10,64
A	2	2b	b〉α〉	
A	2	2e	e〉 Z. 6 lies	
A	3	1	1〉 m. , Śiva PURUṢ. _im_ ŚKDR	PURUṢ;ŚKDR
A	3	2	2〉 f. Lakṣmī H. 226	H. 226
A	3	1	3. ¦ m. angeblich auch = und EKĀKṢARĀBHIDHĀNA _im_ AGNI-P. ŚKDR	EKĀKṢARĀBHIDHĀNA;AGNI-P;ŚKDR
ABIla		1	1〉 adj. Furcht erregend, schrecklich AK. 1,2,2,4 . TRIK. 3,1,7 . 3,381 . H. ś. 87 . an. 3,625 . MED. l. 61 ( ). MBH. 3,388	AK. 1,2,2,4;TRIK. 3,1,7;TRIK. 3, 3,381;H. ś. 87;H an. 3,625;MED. l. 61;MBH. 3,388
ABIla		2	2〉 n. Schmerz AK. TRIK. 3,3,381 . H. 1371 . H. an. MED	AK;TRIK. 3,3,381;H. 1371;H. an;MED
ABIra		1	1〉 m. N. pr. eines Volkes MBH. 2,1192 . 1832 . 3,12840 . 14,832 . 16,223 . 270 . R. 4,43,5 . 19 VARĀH. BṚH. S. 14,12 . 18 _in_ Verz. d. B. H. 241 . VP. 189 . 195 . 474 . 481 . PRAB. 88,1 . PAÑCAT. I, 	MBH. 2,1192;MBH. 2, 1832;MBH 3,12840;MBH 14,832;MBH 16,223;MBH. 16, 270;R. 4,43,5;R. 4,43, 19;VARĀH. BṚH. S. 14,12;VARĀH. BṚH. S. 14, 18;Verz. d. B. H. 241;VP. 189;VP 195;VP 474;VP 481;PRAB. 88,1;PAÑCAT. I, 88;LIA. I, 539;LIA. I, 799;LIA. I, II, 589. fgg
ABIra		2	2〉 m. Kuhhirt AK. 2,9,57 . H. 889 . BURN. Intr. 150 . 424 . Nach M. 10,15 der Sohn eines Brahmanen von einem Ambaṣṭha -Mädchen. H. 522 , Sch. f. AK. 2,6,1,13 . H. 522 . VOP. 5,6	AK. 2,9,57;H. 889;BURN. Intr. 150;BURN. Intr 424;M. 10,15;H. 522;AK. 2,6,1,13;H. 522;VOP. 5,6
ABIra		3	3〉 Name eines Metrums COLEBR. Misc. Ess. II, 156 (	COLEBR. Misc. Ess. II, 156 (30)
ABIra		4	4〉 (nämlich ) die Sprache der Ābhīra COLEBR. Misc. Ess. II, 68	COLEBR. Misc. Ess. II, 68
ABIra		1	1〉 MBH. 16,270 . VARĀH. BṚH. S. 5,38 . 42 . 16,31 . DAŚAR. 2,42 . BHĀG. P. 12,1,36 . Verz. d. Oxf. H. 333,b,15 . 217,b,34 ( sg. ). 338,b,35 . 339,a,2 v. u. 339,b,13 . 45 . 352,b,19 . 204,a,8 . 217,b,1	MBH. 16,270;VARĀH. BṚH. S. 5,38;VARĀH. BṚH. S. 5, 42;VARĀH. BṚH. S 16,31;DAŚAR. 2,42;BHĀG. P. 12,1,36;Verz. d. Oxf. H. 333,b,15;Verz. d. Oxf. H 217,b,34;Verz. d. Oxf. H 338,b,35;Verz. d. Oxf. H 339,a,2 v. u. 339,b,13;Verz. d. Oxf. H. 339,a,2 v. u. 339,b, 45;Verz. d. Oxf. H 352,b,19;Verz. d. Oxf. H 204,a,8;Verz. d. Oxf. H 217,b,12;BHĀG. P. 12,1,27
ABIra		2	2〉 ( ) Spr. 4897 . GĪT. 1,48	Spr. 4897;GĪT. 1,48
ABIra		4	4〉 SĀH. D. 432 . — Vgl	SĀH. D. 432
ABUti		1	1〉 f. Tüchtigkeit, lebendige Wirksamkeit: ṚV. 10,84,6 . AIT. BR. 7,13	ṚV. 10,84,6;AIT. BR. 7,13
ABUti		2	2〉 m. N. pr. eines Mannes ŚAT. BR. 14,5,5,22 . 7,3,28 = BṚH. ĀR. UP. 2,6,3 . 4,6,3	ŚAT. BR. 14,5,5,22;ŚAT. BR. 14, 7,3,28;BṚH. ĀR. UP. 2,6,3;BṚH. ĀR. UP 4,6,3
ABaraRa		1	1〉 Schmuck, Schmucksache AK. 2,6,3,3 . H. 650 . ( ) ( ) ( ) Citat beim Sch. zu ŚĀK. 80 . M. 7,219 . 222 . 8,2 . 10,56 . N. 1,12 . 2,10 . R. 1,6,13 . VIŚV. 8,10 . SUŚR. 2,149,15 . ŚĀK. 8,13 . 80 . 185 	AK. 2,6,3,3;H. 650;ŚĀK. 80;M. 7,219;M. 7, 222;M 8,2;M 10,56;N. 1,12;N 2,10;R. 1,6,13;VIŚV. 8,10;SUŚR. 2,149,15;ŚĀK. 8,13;ŚĀK. 8, 80;ŚĀK. 8, 185;HIT. I, 16;ṚT. 1,4;R. 1,9,22;R 6,103,4;PAÑCAT. III, 266
ABaraRa		2	2〉 Titel verschiedener Werke COLEBR. Misc. Ess. II, 49 . 323	COLEBR. Misc. Ess. II, 49;COLEBR. Misc. Ess. II, 323
ABaraRa		2	2〉 SIDDH. K. 132,b,2	SIDDH. K. 132,b,2
ABaradvasu		1	1〉 adj. Güter bringend: ṚV. 5,79,3	ṚV. 5,79,3
ABaradvasu		2	2〉 m. N. pr. Verz. d. B. H. 57,2 v. u	Verz. d. B. H. 57,2 v. u
ABicArika		1	1〉 adj. f. auf das Zaubern bezüglich: BṚH. DEV. _in_ Ind. St. 1,120,14	BṚH. DEV;Ind. St. 1,120,14
ABicArika		2	2〉 n. Zauber KAUŚ. 25 . 47	KAUŚ. 25;KAUŚ 47
ABijita		1	1〉 adj. unter dem Sternbilde Abhijit geboren P. 4,3,36	P. 4,3,36
ABijita		2	2〉 patron. f. von P. 5,3,118 . Verz. d. B. H. 55,20	P. 5,3,118;Verz. d. B. H. 55,20
ABijita		1	¦ Z. 2 lies	
ABimuKya		1	1〉 die Richtung nach Etwas hin P. 2,1,14 . [Page1-0666] PAÑCAT. I, 370 . SĀH. D. 63,18 . 64,1	P. 2,1,14;PAÑCAT. I, 370;SĀH. D. 63,18;SĀH. D 64,1
ABimuKya		2	2〉 das nach Etwas hin gerichtete Begehren, Verlangen: P. 8,2,99 , Sch	P. 8,2,99
ABimuKya		1	1〉 mit acc. (!): Schol. zu KĀTY. ŚR. 16,7,12	KĀTY. ŚR. 16,7,12
ABimuKya		3	3〉 Geneigtheit, das Zugethansein Spr. 2586	Spr. 2586
ABimuKya		3	3〉 in den Nachträgen zu streichen, da die Stelle zu	
ABimuKya		1	1〉 gehört; vgl. Spr. (II) 5708	Spr. (II) 5708
ABoga		1	1〉 Windung, Krümmung, Wölbung: (könnte auch zu 3. gehören) MBH. 3,9957 . 15,1077 . R. 2,65,3 . BHARTṚ. 1,19 . PRAB. 81,15 . ŚRUT. 40 . MEGH. 89 . (von einem Betttuch) SĀH. D. 42,11 . BALLANTYNE : with	MBH. 3,9957;MBH 15,1077;R. 2,65,3;BHARTṚ. 1,19;PRAB. 81,15;ŚRUT. 40;MEGH. 89;SĀH. D. 42,11;BALLANTYNE
ABoga		2	2〉 Ausdehnung, Fülle, Mannigfaltigkeit AK. 2,6,3,28 . TRIK. 3,3,55 . H. 1432 . an. 3,117 . MED. g. 29 . ( ) VID. 4 . ŚĀK. 8,1 . ŚĀNTIŚ. 4,20 . BHARTṚ. 3,85	AK. 2,6,3,28;TRIK. 3,3,55;H. 1432;H an. 3,117;MED. g. 29;VID. 4;ŚĀK. 8,1;ŚĀNTIŚ. 4,20;BHARTṚ. 3,85
ABoga		3	3〉 Schlange: ṚV. 7,94,12	ṚV. 7,94,12
ABoga		4	4〉 die Anschwellung im Nacken der Brillenschlange, die sogenannte Haube: ( ) MBH. 3,12387 . 16,118 . wird als Varuṇa ʼs Sonnenschirm betrachtet, daher = H. an. MED. — Diese und TRIK. haben noch die Be	MBH. 3,12387;MBH 16,118;H. an;MED;TRIK;WILSON
ABoga		1	1〉 wohl Gewölbe eines Gemachs KATHĀS. 51,186 . Schol. zu R. 2,65,3 erklärt: . Vgl. 1. u. 2	KATHĀS. 51,186;R. 2,65,3
ABoga		5	5〉 = Vollgenuss MED. ṇ. 93	MED. ṇ. 93
ABoga		6	6〉 = (bedeutet Autor nach HAUGHT. ) ŚKDR. the third of the three divisions of a MOLESW. Bei ( vgl. ) heisst es ebend. : the introductory stanza [Page5-1112] of a song. It is distinct from the verses o	HAUGHT;ŚKDR;MOLESW;ebend
ABu		1	1〉 leer: VS. 16,10 . ṚV. 10,129,3	VS. 16,10;ṚV. 10,129,3
ABu		2	2〉 leerhändig, karg: ṚV. 10,27,1 . 4 . — Vgl	ṚV. 10,27,1;ṚV. 10,27, 4
AByudayika		1	1〉 adj	
AByudayika		1a	a〉 am Ende eines adj. comp. mit dem Aufgange, dem Beginn von dem und dem verbunden: M. 12,88	M. 12,88
AByudayika		1b	b〉 heilbringend: MṚCCH. 111,5 . Verz. d. B. H. No. 1042	MṚCCH. 111,5;Verz. d. B. H. No. 1042
AByudayika		2	2〉 n. eine bestimmte Form eines Manenopfers ĀŚV. ŚR. 4,7 . P. 5,4,42, Vārtt. , Sch	ĀŚV. ŚR. 4,7;P. 5,4,42, Vārtt
AByudayika		1	1〉	
AByudayika		1b	b〉 Schol. zu KĀTY. ŚR. 7,1,31 . 32	KĀTY. ŚR. 7,1,31;KĀTY. ŚR. 7,1, 32
AByudayika		2	2〉 Verz. d. Oxf. H. 40,a,14 . Ind. St. 5,299	Verz. d. Oxf. H. 40,a,14;Ind. St. 5,299
ADAna		1	1〉 das Anlegen, Zulegen, Legen ŚAT. BR. 2,1,4,29 . 11,2,7,33 . KĀTY. ŚR. 5,5,35 . 6,10,9 . 4,10,15 . M. 2,176 . KĀTY. ŚR. 4,11,1 . 8,6,30 . 10,8,6 . Vgl	ŚAT. BR. 2,1,4,29;ŚAT. BR 11,2,7,33;KĀTY. ŚR. 5,5,35;KĀTY. ŚR 6,10,9;KĀTY. ŚR 4,10,15;M. 2,176;KĀTY. ŚR. 4,11,1;KĀTY. ŚR 8,6,30;KĀTY. ŚR 10,8,6
ADAna		2	2〉 = ( s. d. ): M. 5,168 ( KULL. : ). ( RĀGHAV. : , KULL. : ; gehört viell. zu 3.) 8,209 . (die Sonne wird angeredet) MBH. 3,184 . 8194 . 10663	M. 5,168;KULL;RĀGHAV;KULL;M 8,209;MBH. 3,184;MBH. 3, 8194;MBH. 3, 10663
ADAna		3	3〉 = Empfängniss Verz. d. B. H. No. 858 ( III ). 862 ( 258,17 ). Ind. St. 1,59,3 v. u. 2,287, N. 2 . MEGH. 3	Verz. d. B. H. No. 858;Verz. d. B. H III;Verz. d. B. H. No 862;Verz. d. B. H 258,17;Ind. St. 1,59,3 v. u. 2,287, N. 2;MEGH. 3
ADAna		4	4〉 das Niederlegen als Pand, Verpfändung YĀJÑ. 2,238 . 247 . Vgl. 1	YĀJÑ. 2,238;YĀJÑ 247
ADAna		5	5〉 das Beilegen, Zutheilen, Anwenden: SĀH. D. 10,13 . RAGH. 1,24 . P. 1,3,32 , Sch	SĀH. D. 10,13;RAGH. 1,24;P. 1,3,32
ADAna		6	6〉 der Ort, an welchen Etwas gelegt wird, in welchem Etwas ruht, sich befindet ŚAT. BR. 14,5,2,1 = BṚH. ĀR. UP. 2,2,1 . Vgl	ŚAT. BR. 14,5,2,1;BṚH. ĀR. UP. 2,2,1
ADAna		7	7〉 Umfangung, Umfassung: ṚV. 10,94,8	ṚV. 10,94,8
ADAna		1	1〉 das Drauflegen des Todten Verz. d. Oxf. H. 294,b,18	Verz. d. Oxf. H. 294,b,18
ADAna		2	2〉 Ind. St. 3,379	Ind. St. 3,379
ADAna		4	4〉 lies Pfand st. Pand	
ADAna		5	5〉 das Beibringen MBH. 13,4633 . das Erweisen eines Liebesdienstes MAHĀVĪRAC. 92,16 . so v. a. Kraft mit Geschwindigkeit verbunden KATHĀS. 67,25	MBH. 13,4633;MAHĀVĪRAC. 92,16;KATHĀS. 67,25
ADAna		7	7〉 lies Zügel oder Pferdegeschirr überh. und füge TBR. 1,6,3,9 hinzu. — Vgl	TBR. 1,6,3,9
ADAna		1	1〉 das Hinzufügen VĀMANA 1,3,16	VĀMANA 1,3,16
ADAna		8	8〉 Zaum, Gebiss; s. weiter unten	
ADAra		1	1〉 Stütze, Stützpunkt, Unterlage (auch bildlich) NIR. 1,13 . MBH. 3,10053 . SUŚR. 2,348,2 . (Dachstuhl) H. 1011 . R. 5,3,77 . 89,39 . HIT. I, 195 . DEV. 11,3 . ŚĀNTIŚ. 2,6 . n. (!) KAIV. UP. _in_ Ind.	NIR. 1,13;MBH. 3,10053;SUŚR. 2,348,2;H. 1011;R. 5,3,77;R. 5, 89,39;HIT. I, 195;DEV. 11,3;ŚĀNTIŚ. 2,6;KAIV. UP;Ind. St. 2,12,9
ADAra		2	2〉 Rückhalt (?): AV. 12,3,48	AV. 12,3,48
ADAra		3	3〉 Behälter, Behältniss: YĀJÑ. 3,165 . SUŚR. 1,78,18 . KUMĀRAS. 3,48 . [Page1-0638] PAÑCAT. I, 77 . KUMĀRAS. 6,67 . H. 1096 . YĀJÑ. 3,144 . ŚĀK. 14 . H. 598 . 1365 . SĀH. D. 13,8	YĀJÑ. 3,165;SUŚR. 1,78,18;KUMĀRAS. 3,48;PAÑCAT. I, 77;KUMĀRAS. 6,67;H. 1096;YĀJÑ. 3,144;ŚĀK. 14;H. 598;H 1365;SĀH. D. 13,8
ADAra		4	4〉 Deich, Damm AK. 1,2,3,28 . H. an. 3,521 . MED. r. 114 . RAGH. 5,6	AK. 1,2,3,28;H. an. 3,521;MED. r. 114;RAGH. 5,6
ADAra		5	5〉 = H. an. 3,522 . MED. Aus der Verbindung zweier geschiedener, aber auf einander folgender Artikel im AK. entstanden	H. an. 3,522;MED;AK
ADAra		6	6〉 der Behälter (einer Handlung heisst) (die Beziehung des Locativs) P. 1,4,45 . Auf dieser Stelle beruht die Gleichsetzung von mit H. an. MED. SIDDH. K. 40,b . VOP. 5,30 . in der auf die Endung des n	P. 1,4,45;H. an;MED;SIDDH. K. 40,b;VOP. 5,30;P. 1,1,32;H. an. 4,161
ADAra		1	1〉 WEBER, RĀMAT. UP. 278 . 321 . 323 . VEDĀNTAS. (Allah.) No. 2 . Unterlage (worauf eine Erscheinung oder Thätigkeit beruht) KAP. 2,42 . Boden —, Gebiet der Wirksamkeit TATTVAS. 45 . Subject, von welc	WEBER, RĀMAT. UP. 278;WEBER, RĀMAT. UP 321;WEBER, RĀMAT. UP 323;VEDĀNTAS. (Allah.) No. 2;KAP. 2,42;TATTVAS. 45;PRATĀPAR. 90,a,7;PRATĀPAR. 90, b,7
ADAra		3	3〉	
ADAra		3	3〉 HALĀY. 5,12	HALĀY. 5,12
ADAra		5	5〉 vgl	
ADAra		6	6〉 hierher kann ŚĀNTIŚ. 2,6 ( Spr. 2351 ), das unter	ŚĀNTIŚ. 2,6;Spr. 2351
ADAra		1	1〉 steht, gezogen werden: worauf soll die Liebe gerichtet und die Trauer bezogen werden?	
ADAra		7	7〉 Teich HALĀY. 3,54 . N. pr. eines Teiches WILSON, Sel. Works 2,23	HALĀY. 3,54;WILSON, Sel. Works 2,23
ADAra		8	8〉 N. pr. des Verfassers der Ādhārakārikā Verz. d. Oxf. H. 238,b, N. 1 . 353,b,7	Verz. d. Oxf. H. 238,b, N. 1;Verz. d. Oxf. H 353,b,7
ADava		1	1〉 Aufrüttler, Erreger: ṚV. 10,26,4	ṚV. 10,26,4
ADava		2	2〉 viell. so v. a. oder die geschüttelte Masse, Mischung: 1,141,3	ṚV 1,141,3
ADeya		1	1〉 adj	
ADeya		1a	a〉 niederzulegen, zu deponiren: Pfand YĀJÑ. 2,60	YĀJÑ. 2,60
ADeya		1b	b〉 was hingelegt wird, dem ein Platz angewiesen wird: TRIK. 3,3,424	TRIK. 3,3,424
ADeya		1c	c〉 beizulegen, zuzutheilen, zu geben: PAÑCAT. 134,9 . Kār. in P. II, p. 451 . VOP. 4,16	PAÑCAT. 134,9;P. II, p. 451;VOP. 4,16
ADeya		2	2〉 n. = ; s. und	
ADeya		1	1〉	
ADeya		1c	c〉 (wohl zu lesen) Spr. 5122 . was einer Person oder Sache beigelegt wird; n. Prädicat, Aussage. SĀH. D. 725 . 330,16 . PRATĀPAR. 90,a,7 . b,7 . — Vgl	Spr. 5122;SĀH. D. 725;SĀH. D 330,16;PRATĀPAR. 90,a,7;PRATĀPAR. 90, b,7
ADi	1	1	1〉 Standort, Lage AK. 3,4,108 . H. an. 2,239 . MED. dh. 3	AK. 3,4,108;H. an. 2,239;MED. dh. 3
ADi	1	2	2〉 Depositum, Pfand AK. H. 882 . H. an. MED. (?) ṚV. 10,109,3 . M. 8,143 . 144 . 145 . 149 . 150 . YĀJÑ. 2,23 . Ind. St. 1,246, N. MIT. 268,9	AK;H. 882;H. an;MED;ṚV. 10,109,3;M. 8,143;M. 8, 144;M. 8, 145;M. 8, 149;M. 8, 150;YĀJÑ. 2,23;Ind. St. 1,246, N;MIT. 268,9
ADi	1	3	3〉 = nähre Bestimmung, Epitheton u. s. w. TRIK. 3,3,215 . Vgl. 5. und 1,c	TRIK. 3,3,215
ADi	1	1	1〉 Behälter BHĀG. P. 11,13,33	BHĀG. P. 11,13,33
ADi	2	1	1〉 Gedanken, Sorge, Seelenleiden AK. 1,1,7,28 . 3,4,100 . H. 312 . 1371 . an. 2,239 . MED. dh. 3 . Fast immer pl. und häufig in Verbindung mit körperliches Leiden. VS. 22,20 . TS. 3,4,7,3 . MBH. 3,195	AK. 1,1,7,28;AK. 1, 3,4,100;H. 312;H 1371;H an. 2,239;MED. dh. 3;VS. 22,20;TS. 3,4,7,3;MBH. 3,195;MBH. 3, 11259;YĀJÑ. 3,63;N. 18,11;R. 3,72,8;ŚĀK. 93;ŚĀK 59;BHARTṚ. 3,34;MBH. 3,69;RAGH. 8,27;RAGH 9,54;KATHĀS. 6,128
