k1	hom	homonym_precise	deriv_base	deriv_suffix	deriv_class	deriv_citation	panini_sutras	compound_members_pwg	compound_status	ganas	gana_sutras	gana_corroborated
akzavAwa		1						akza + vAwa	agrees			
akzavftta		1						akza + vftta	agrees			
akzaSORqa		1					P.6.2.2	akza + SORqa	agrees			
akzasUkta		1						akza + sUkta	agrees			
akzAnti		1						a + kzAnti	pwg-new-fill			
akzAralavaRa		1						a + kzAralavaRa	differs			
akzArAlavaRASin		1						akzAra + alavaRa	pwg-new-fill			
akzAvapana		1						akza + Avapana	pwg-new-fill			
akzAvApa		1						akza + AvApa	pwg-new-fill			
akzi							P.3.5.44|P.5.4.113|P.7.1.75|P.7.1.77			karRAdiH	5.2.24	
akzikUwa		1						akzi + kUwa	agrees			
akzikUwaka		1						akzi + kUwaka	agrees			
akzigata		1						akzi + gata	agrees			
akzijAha		1						akzi + jAha	agrees			
akzita		1					P.6.4.60	a + kzita	pwg-new-fill			
akzitAvasu		1						akzita + vasu	pwg-new-fill			
akziti		1						a + kziti	pwg-new-fill			
akzitoti		1						akzita + Uti	pwg-new-fill			
akzipat		1						akzi + pat	agrees			
akziBU		1						akzi + BU	agrees			
akziBezaja		1						akzi + Bezaja	agrees			
akziBruva		1					P.5.4.77	akzi + BrU	differs			
akziyant		1						a + kziyant	pwg-new-fill			
akziloman		1						akzi + loman	agrees			
akzivikURita		1						akzi + vikURita	agrees			
akzIyamARa		1						a + kzIyamARa	pwg-new-fill			
akzIva		1						a + kzIva	pwg-new-fill			
akzudra		1						a + kzudra	pwg-new-fill			
akzuD		1						a + kzuD	pwg-new-fill			
akzuDya		1						a + kzuDya	pwg-new-fill			
akzetra	1	1						a + kzetra	pwg-new-fill			
akzetra	2	1						a + kzetra	pwg-new-fill			
akzetrajYa		1					P.7.3.30	a + kzetrajYa	differs	brAhmaRAdiH	5.1.124	
akzetravid		1						a + kzetravid	differs			
akzetrin		1						a + kzetrin	pwg-new-fill			
akzEtrajYya							P.7.3.30					
akzoBa		1						a + kzoBa	pwg-new-fill			
akzoBya		1						a + kzoBya	pwg-new-fill			
akzoByarAja		1						akzoBya + rAja	pwg-new-fill			
akzOhiRI							P.6.1.89					
akzRayAvan		1						akzRa + yAvan	agrees			
aKaRqa		1						a + KaRqa	pwg-new-fill			
aKaRqana		1						a + KaRqana	pwg-new-fill			
aKaRqitartu		1						a + KaRqita	differs			
aKanant		1						a + Kanant	pwg-new-fill			
aKarva		1						a + Karva	pwg-new-fill			
aKAta		1						a + KAta	pwg-new-fill			
aKidra		1						a + Kidra	pwg-new-fill			
aKidrayAman		1						aKidra + yAman	agrees			
aKila		1						a + Kila	pwg-new-fill			
aKedin		1						a + Kedin	pwg-new-fill			
aga	1						P.6.3.77	a + ga	pwg-new-fill			
aga	2	1					P.6.3.77	a + ga	pwg-new-fill			
agacCa		1						a + gacCa	pwg-new-fill			
agaja		1						aga + ja	agrees			
agata		1						a + gata	pwg-new-fill			
agatika		1						a + gati	pwg-new-fill			
agada	1	1						a + gada	pwg-new-fill	kaRqvAdiH	3.1.27	
agada	2	1						a + gada	pwg-new-fill	kaRqvAdiH	3.1.27	
agadaMkAra		1					P.6.3.70	agada + kAra	pwg-new-fill			
agama		1						a + gama	pwg-new-fill			
agamya		1						a + gamya	pwg-new-fill			
agamyAgamana		1						agamya + gamana	differs			
agamyAgamanIya		1	agamyAgamana	Iya	относит./vṛddhi	M. 11,169			index-only			
agaru		1						a + garu	pwg-new-fill			
agarhita		1						a + garhita	pwg-new-fill			
agavyUti		1						a + gavyUti	pwg-new-fill			
agasti							P.2.4.70			gargAdiH|saNkASAdiH	4.1.105|4.2.80	
agastidru		1						agasti + dru	agrees			
agastI							P.6.4.149					
agastIya							P.6.4.149					
agastya										gargAdiH	4.1.105	
agastyagItA		1						agastya + gItA	agrees			
agastyacAra		1						agastya + cAra	agrees			
agastyasaMhitA		1						agastya + saMhitA	agrees			
agastyodaya		1						agastya + udaya	pwg-new-fill			
agA		1					P.3.2.67	a + gA	pwg-new-fill			
agADa		1						a + gADa	pwg-new-fill			
agADajala		1						agADa + jala	agrees			
agAra							P.3.3.79|P.4.4.70					
agAvaha		1						aga + Avaha	pwg-new-fill			
agirOkas		1						a + girOkas	pwg-new-fill			
agu		1						a + go	pwg-new-fill			
aguru		1						a + guru	pwg-new-fill			
aguruSiMSapA		1						aguru + SiMSapA	pwg-new-fill			
agUQaganDa		1						a + gUQa	differs			
agfBIta		1						a + gfBIta	pwg-new-fill			
agfBItaSocis		1						agfBIta + Socis	agrees			
ago		1						a + go	pwg-new-fill			
agotA		1	ago	tA	абстракт	ṚV. 3,16,5			index-only			
agopA		1						a + gopA	pwg-new-fill			
agoruDa		1						a + goruDa	pwg-new-fill			
agohya		1						a + gohya	pwg-new-fill			
agnAmarut		1					P.6.3.26|P.6.3.28	agni + marut	pwg-new-fill			
agnAyI							P.4.1.37					
agnAvizRu		1					P.6.3.26	agni + vizRu	pwg-new-fill			
agni							P.4.2.126			utkarAdiH	4.2.90	
agnika		1	agni	ika	относит./vṛddhi	H. 1209						
agnikaRa		1						agni + kaRa	agrees			
agnikarman		1						agni + karman	agrees			
agnikaSyapIya		1					P.4.3.88	agni + kaSyapa	pwg-new-fill			
agnikArikA		1						agni + kArikA	agrees			
agnikArya		1						agni + kArya	agrees			
agnikAzWa		1						agni + kAzWa	agrees			
agnikukkuwa		1						agni + kukkuwa	agrees			
agnikuRqa		1					P.3.3.116	agni + kuRqa	agrees			
agniketu		1						agni + ketu	agrees			
agnikoRa		1						agni + koRa	agrees			
agnikriyA		1						agni + kriyA	pwg-new-fill			
agnigarBa		1						agni + garBa	agrees			
agnigfha		1						agni + gfha	agrees			
agnigranTa		1					P.2.1.6	agni + granTa	agrees			
agnicaya		1						agni + caya	agrees			
agnicit		1					P.3.2.91|P.6.1.169	agni + cit	agrees			
agnicityA		1					P.3.1.132	agni + cityA	agrees			
agnicitvant							P.8.2.10					
agnija		1						agni + ja	agrees			
agnijanman		1						agni + janman	agrees			
agnijA		1						agni + jA	agrees			
agnijAra		1						agni + jAra	agrees			
agnijihva		1						agni + jihvA	differs			
agnijihvA		1						agni + jihvA	agrees			
agnijvalitatejana		1						agni + jvalita	differs			
agnijvAlA		1						agni + jvAlA	agrees			
agnitap		1						agni + tap	agrees			
agnitapas		1						agni + tapas	agrees			
agnitapta		1						agni + tapta	agrees			
agnitejas		1						agni + tejas	agrees			
agnitraya		1						agni + traya	agrees			
agnitrA		1						agni + trA	agrees			
agnitretA		1						agni + tretA	agrees			
agnida		1						agni + da	agrees			
agnidagDa		1						agni + dagDa	agrees			
agnidagDa		1						agni + dagDa	agrees			
agnidatta		1						agni + datta	agrees	saKyAdiH	4.2.80	
agnidamanI		1						agni + damanI	agrees			
agnidIpta		1						agni + dIpta	agrees			
agnidIpti		1						agni + dIpti	agrees			
agnidUta		1						agni + dUta	agrees			
agnidevA		1						agni + deva	differs			
agniDAna		1						agni + DAna	agrees			
agninakzatra		1						agni + nakzatra	agrees			
agninayana		1						agni + nayana	agrees			
agniniryAsa		1						agni + niryAsa	agrees			
agninunna		1						agni + nunna	agrees			
agninetra		1						agni + netra	agrees			
agniparikriyA		1						agni + parikriyA	agrees			
agniparicCada		1						agni + paricCada	agrees			
agniparvata		1						agni + parvata	agrees			
agnipurARa		1						agni + purARa	agrees			
agnipraRayana		1						agni + praRayana	agrees			
agnipraRayanIya		1	agnipraRayana	Iya	относит./vṛddhi	SĀY.			index-only			
agnipraveSana		1						agni + praveSana	agrees			
agniprastara		1						agni + prastara	agrees			
agnibAhu		1						agni + bAhu	agrees			
agniBa		1						agni + BA	differs			
agniBu		1						agni + BU	differs			
agniBU		1						agni + BU	agrees			
agniBUti		1					P.8.2.107	agni + BUti	agrees			
agniBrAjas		1						agni + BrAjas	agrees			
agnimaRi		1						agni + maRi	agrees			
agnimant							P.6.1.176|P.8.2.15					
agnimanTa		1						agni + manTa	agrees			
agnimanTana		1						agni + manTana	agrees			
agnimanTanIya		1	agnimanTana	Iya	относит./vṛddhi	ĀŚV. ŚR. 2,16			index-only			
agnimaya		1	agni	maya	материал	AIT. BR. 2,11			index-only			
agnimAWara		1						agni + mAWara	agrees			
agnimAndya		1						agni + mAndya	agrees			
agnimAruti		1						agni + maruta	differs			
agnimitra		1						agni + mitra	agrees			
agniminDa		1					P.6.3.70	agni + inDa	differs			
agnimuKa		1						agni + muKa	agrees			
agnimUQa		1						agni + mUQa	agrees			
agniyuta		1						agni + yuta	agrees			
agniyojana		1						agni + yojana	agrees			
agnirakzaRa		1						agni + rakzaRa	agrees			
agniraja		1						agni + raja	agrees			
agnirahasya		1						agni + rahasya	agrees			
agnirASi		1						agni + rASi	agrees			
agniruhA		1						agni + ruhA	agrees			
agnirUpa		1						agni + rUpa	agrees			
agniretasa		1						agni + retas	differs			
agniloka		1						agni + loka	agrees			
agnivarcas		1						agni + varcas	agrees			
agnivarRa		1						agni + varRa	agrees			
agnivarDaka		1						agni + varDaka	agrees			
agnivallaBa		1						agni + vallaBa	agrees			
agnivAyu		1					P.6.3.26	agni + vAyu	pwg-new-fill			
agnivAsas		1						agni + vAsas	agrees			
agnivAha		1						agni + vAha	agrees			
agnivindu		1						agni + vindu	pwg-new-fill			
agnivimocana		1						agni + vimocana	agrees			
agniviharaRa		1						agni + viharaRa	agrees			
agnivIja		1						agni + vIja	pwg-new-fill			
agnivIrya		1						agni + vIrya	agrees			
agniveSa		1						agni + veSa	agrees	gargAdiH	4.1.105	
agniSaraRa		1						agni + SaraRa	agrees			
agniSarman		1						agni + Sarman	agrees	bAhvAdiH	4.1.96	
agniSAla		1					P.2.4.25	agni + SAlA	differs			
agniSAlA		1						agni + SAlA	agrees			
agniSiKa		1						agni + SiKA	differs			
agniSuSrUzA		1						agni + SuSrUzA	agrees			
agniSeKara		1						agni + SeKara	agrees			
agniSeza		1						agni + Seza	agrees			
agniSrI		1						agni + SrI	agrees			
agnizwut		1					P.8.3.82	agni + stut	differs			
agnizwuB		1						agni + stuB	pwg-new-fill			
agnizwoma		1					P.4.3.66|P.8.3.82	agni + stoma	differs			
agnizWa		1					P.8.3.97	agni + sTa	differs			
agnizvAtta		1						agni + svAtta	differs			
agnisaMskAra		1						agni + saMskAra	agrees			
agnisaMkASa		1						agni + saMkASa	agrees			
agnisaMBava		1						agni + saMBava	pwg-new-fill			
agnisahAya		1						agni + sahAya	agrees			
agnisAkzika		1						agni + sAkzin	differs			
agnisAra		1						agni + sAra	agrees			
agnisiMha		1						agni + siMha	agrees			
agnisiMhanandana		1						agnisiMha + nandana	pwg-new-fill			
agnistamBa		1						agni + stamBa	agrees			
agnisvAmin		1						agni + svAmin	pwg-new-fill			
agnihut		1						agni + hut	agrees			
agnihotar		1						agni + hotar	pwg-new-fill			
agnihotra	1	1					P.2.3.3	agni + hotra	agrees			
agnihotra	2	1					P.2.3.3	agni + hotra	agrees			
agnihotrahavaRI		1						agnihotra + havanI	pwg-new-fill			
agnihotrahut		1						agnihotra + hut	differs			
agnihotrAhuti		1						agnihotra + Ahuti	differs			
agnihotrin		1	agnihotra	in	поссессив	H. 835			index-only			
agnihotrocCizwa		1						agnihotra + ucCizwa	differs			
agnID		1					P.8.2.92	agni + iD	pwg-new-fill			
agnIndra		1						agni + indra	pwg-new-fill			
agnInDana		1						agni + inDana	pwg-new-fill			
agnIparjanya		1						agni + parjanya	pwg-new-fill			
agnIya		1	agni	Iya	относит./vṛddhi							
agnIvaruRa		1					P.6.3.27	agni + varuRa	pwg-new-fill			
agnIzoma		1					P.6.3.27	agni + soma	pwg-new-fill			
agnIzomapraRayana		1						agnIzoma + praRayana	pwg-new-fill			
agnIzomIya		1	agnIzoma	Iya	относит./vṛddhi	P. 4,2,32	P.4.2.32					
agnIzomIyatva		1	agnIzomIya	tva	абстракт	SUŚR. 1,43,18						
agnyagAra		1						agni + agAra	pwg-new-fill			
agnyAgAra		1						agni + agAra	pwg-new-fill			
agnyAtmaka		1						agni + Atman	pwg-new-fill			
agnyADAna		1						agni + ADAna	pwg-new-fill			
agnyADeya		1						agni + ADeya	pwg-new-fill			
agnyAlaya		1						agni + Alaya	pwg-new-fill			
agnyAhita		1					P.2.2.37	agni + Ahita	pwg-new-fill			
agnyutpAta		1						agni + utpAta	pwg-new-fill			
agnyupasTAna		1						agni + upasTAna	pwg-new-fill			
agnyeDa		1						agni + eDa	pwg-new-fill			
agra	1						P.3.4.24|P.4.1|P.4.1.99			SAKAdiH|naqAdiH	4.1.99|5.3.103	1
agra	2						P.3.4.24|P.4.1|P.4.1.99			SAKAdiH|naqAdiH	4.1.99|5.3.103	1
agrakAya		1						agra + kAya	agrees			
agraga		1						agra + ga	agrees			
agragaRya		1						agra + gaRya	agrees			
agragAmin		1					P.8.3.92	agra + gAmin	agrees			
agraja		1						agra + ja	agrees			
agrajaNGA		1						agra + jaNGA	agrees			
agrajanman		1						agra + janman	agrees			
agrajA		1						agra + jA	agrees			
agrajAtaka		1						agra + jAtaka	agrees			
agrajAti		1						agra + jAti	agrees			
agrajihva		1						agra + jihvA	differs			
agraRI		1					P.8.4.14	agra + nI	differs			
agraRIti		1						agra + nIti	differs			
agratas		1	agra	tas	адверб	AK. 3,5,7			index-only			
agrataHsara		1					P.3.2.18	agratas + sara	pwg-new-fill			
agradAnin		1						agra + dAna	differs			
agranAsikA		1						agra + nAsikA	agrees			
agraparRI		1						agra + parRa	differs			
agrapUjA		1						agra + pUjA	agrees			
agrapeya		1						agra + peya	agrees			
agraBaRa		1						a + graBaRa	pwg-new-fill			
agraBAga		1						agra + BAga	agrees			
agraBuj		1						agra + Buj	agrees			
agramahizI		1						agra + mahizI	agrees			
agramAMsa		1						agra + mAMsa	agrees			
agrayAna		1						agra + yAna	agrees			
agrayAyin		1						agra + yAyin	agrees			
agrayAvan		1						agra + yAvan	agrees			
agrayoDin		1						agra + yoDin	agrees			
agralohitA		1						agra + lohitA	agrees			
agravIja		1						agra + vIja	pwg-new-fill			
agravIra		1						agra + vIra	pwg-new-fill			
agrasaMDAnI		1						agra + saMDAnI	agrees			
agrasaMDyA		1						agra + saMDyA	pwg-new-fill			
agrasara		1						agra + sara	agrees			
agrasArA		1						agra + sAra	differs			
agraha		1						a + graha	pwg-new-fill			
agrahasta		1						agra + hasta	agrees			
agrahAyaRa		1						agra + hAyana	differs			
agrahAra		1						agra + hAra	agrees			
agrAdvan		1						agra + advan	pwg-new-fill			
agrAyaRIya		1	agrAyaRa	Iya	относит./vṛddhi	H. 247		agra + ayana	pwg-new-fill			
agrAhin		1						a + grAhin	pwg-new-fill			
agrAhya		1						a + grAhya	pwg-new-fill			
agrima							P.4.1.17|P.4.3.23					
agriya							P.4.4.117					
agrIya		1	agra	Iya	относит./vṛddhi	P. 4,4,117	P.4.4.117					
agregA		1						agre + gA	agrees			
agregU		1					P.6.4.40	agre + gU	agrees			
agreRI		1						agre + nI	differs			
agretvan		1						agra + itvan	pwg-new-fill			
agrediDizu		1						agre + diDizu	agrees			
agrepA		1						agre + pA	agrees			
agrepU		1						agre + pU	agrees			
agreBrU		1					P.6.4.40	agre + BrU	agrees			
agrevaRa		1					P.8.4.4	agre + vana	differs			
agrevaDa		1						agre + vaDa	agrees			
agresara		1					P.3.2.18	agre + sara	agrees			
agresarika		1						agre + sarika	agrees			
agropaharaRa		1						agra + upaharaRa	pwg-new-fill			
agropaharaRIya		1	agropaharaRa	Iya	относит./vṛddhi	SUŚR. 1,14,16						
agrya		1	agra	ya	относит./vṛddhi	P. 4,4,116	P.4.4.116					
aGa							P.7.14.11			arSaAdiH	5.2.127	
aGakft		1						aGa + kft	agrees			
aGana		1						a + Gana	pwg-new-fill			
aGamarzaRa		1						aGa + marzaRa	agrees			
aGamAra		1						aGa + mAra	agrees			
aGarud		1						aGa + rud	agrees			
aGavant							P.8.3|P.8.3.1|P.8.3.17					
aGaviza		1						aGa + viza	agrees			
aGaSaMsa		1						aGa + SaMsa	agrees			
aGaSaMsahan		1						aGaSaMsa + han	differs			
aGaSaMsin		1						aGa + SaMsin	agrees			
aGahAra		1						aGa + hAra	agrees			
aGAtin		1						a + GAtin	pwg-new-fill			
aGArin		1						a + GArin	pwg-new-fill			
aGASva		1						aGa + aSva	pwg-new-fill			
aGASva		1						aGa + aSva	pwg-new-fill			
aGAsura		1						aGa + asura	pwg-new-fill			
aGora		1						a + Gora	pwg-new-fill			
aGoraGorarUpa		1						aGora + Gora	differs			
aGoracakzus		1						aGora + cakzus	agrees			
aGoza	1	1					P.1.1.9	a + Goza	pwg-new-fill			
aGoza	2	1					P.1.1.9	a + Goza	pwg-new-fill			
aGozamahAprARaprayatnavant		1					P.1.1.9|P.8.4.61	aGoza + mahAprARa	pwg-new-fill			
aGnant		1						a + Gnant	pwg-new-fill			
aGreya		1						a + Greya	pwg-new-fill			
aNka							P.1.1.9			saNkASAdiH	4.2.80	
aNkakaraRa		1						aNka + karaRa	agrees			
aNkati										bahvAdiH	4.1.45	
aNkaDAraRA		1						aNka + DAraRA	agrees			
aNkapAdavrata		1						aNka + pAda	differs			
aNkapAli		1						aNka + pAli	agrees			
aNkapAlI		1						aNka + pAlI	agrees			
aNkabanDa		1						aNka + banDa	agrees			
aNkaloqya		1						aNka + loqya	agrees			
aNkANka		1						aNka + aNka	pwg-new-fill			
aNkin		1	aNka	in	поссессив	ṚV. 3,45,4						
aNkura										tArakAdiH	5.2.36	
aNkuraka		1	aNkura	ka	уменьш./собират.	ŚABDAM.						
aNkuSa										arDarcAdiH|pakzAdiH	2.4.31|4.2.80	
aNkuSagraha		1					P.3.2.9	aNkuSa + graha	agrees			
aNkuSadurDara		1						aNkuSa + durDara	agrees			
aNkuSin		1	aNkuSa	in	поссессив	ṚV. 10,34,7						
aNkya	1	1	aNka	ya	относит./vṛddhi	AK. 1,1,7,5						
aNkya	2		aNka	ya	относит./vṛddhi	AK. 1,1,7,5						
aNga	1						P.1.4.13|P.2.3.20|P.2.4.62|P.4.1.54|P.4.2|P.6.1.119|P.8.1.33|P.11.3			cAdiH|gahAdiH	1.4.57|4.2.138	
aNga	2						P.1.4.13|P.2.3.20|P.2.4.62|P.4.1.54|P.4.2|P.6.1.119|P.8.1.33|P.11.3			cAdiH|gahAdiH	1.4.57|4.2.138	
