slp1	hom	n_pwg_senses	n_pwg_senses_with_ls	n_pwg_ls_total	dcs_lemma_count	n_dcs_wn_senses	dcs_sensetagged_count	sensetagged_share	n_pwg_senses_grounded	n_pwg_senses_grounded_verse	n_pwg_senses_gloss_overlap_only	grounding_computed	residual_class
SArada		18	18	113	113	7	30	0.2655	0	0	1	1	R3_tagged_but_unaligned
SItala		15	15	98	583	8	105	0.1801	0	0	2	1	R3_tagged_but_unaligned
SUnya		14	14	206	595	6	38	0.0639	0	0	0	1	R3_tagged_but_unaligned
SaNKa		12	12	162	1256	15	312	0.2484	0	0	1	1	R3_tagged_but_unaligned
SaNku		19	19	97	79	5	10	0.1266	0	0	2	1	R3_tagged_but_unaligned
Sambara		16	16	111	139	2	21	0.1511	0	0	2	1	R3_tagged_but_unaligned
SfNga		20	20	193	700	5	155	0.2214	1	0	1	1	R4_grounded_alignment
SfNgin		13	11	42	96	7	22	0.2292	0	0	1	1	R3_tagged_but_unaligned
SiKA		16	16	108	382	12	61	0.1597	0	0	1	1	R3_tagged_but_unaligned
SiKaRqin		12	12	69	422	5	52	0.1232	1	0	0	1	R4_grounded_alignment
SiKara		11	10	90	407	6	159	0.3907	0	0	0	1	R3_tagged_but_unaligned
SiKarin		13	13	67	48	3	8	0.1667	0	0	1	1	R3_tagged_but_unaligned
SiKin		18	17	149	231	10	84	0.3636	0	0	1	1	R3_tagged_but_unaligned
Siva		33	33	367	2958	26	437	0.1477	0	0	3	1	R3_tagged_but_unaligned
SoBana		12	12	115	629	7	92	0.1463	0	0	2	1	R3_tagged_but_unaligned
SoDana		11	11	63	499	10	184	0.3687	0	0	0	1	R3_tagged_but_unaligned
SrI	5	11	11	362	4152	32	260	0.0626	0	0	1	1	R3_tagged_but_unaligned
Sri	1	19	19	641	326	9	20	0.0613	0	0	0	1	R3_tagged_but_unaligned
Sruti	1	13	13	186	692	8	32	0.0462	1	0	1	1	R4_grounded_alignment
SuBa		22	22	226	2846	20	352	0.1237	0	0	1	1	R3_tagged_but_unaligned
Suci		18	18	224	1491	24	140	0.0939	0	0	3	1	R3_tagged_but_unaligned
SudDa		15	14	106	527	14	63	0.1195	1	0	0	1	R4_grounded_alignment
Sukla		26	26	171	892	9	94	0.1054	0	0	2	1	R3_tagged_but_unaligned
Sukra		17	17	221	1303	22	207	0.1589	1	0	1	1	R4_grounded_alignment
Sukti		11	11	57	132	5	40	0.3030	0	0	2	1	R3_tagged_but_unaligned
Sveta		17	17	171	1131	14	351	0.3103	0	0	0	1	R3_tagged_but_unaligned
aBi		12	11	70	1072	3	38	0.0354	0	0	0	1	R3_tagged_but_unaligned
aDara		12	9	51	311	8	38	0.1222	0	0	1	1	R3_tagged_but_unaligned
aNka		17	17	71	384	10	35	0.0911	0	0	1	1	R3_tagged_but_unaligned
aTa		20	13	247	14105	7	1153	0.0817	0	0	0	1	R3_tagged_but_unaligned
agni		15	15	53	9689	29	1844	0.1903	0	0	1	1	R3_tagged_but_unaligned
aja	2	12	12	42	579	11	132	0.2280	0	0	1	1	R3_tagged_but_unaligned
akza	2	22	22	65	1474	17	246	0.1669	0	0	3	1	R3_tagged_but_unaligned
akzara		16	13	76	1039	14	57	0.0549	0	0	2	1	R3_tagged_but_unaligned
alam		13	13	120	582	3	30	0.0515	0	0	0	1	R3_tagged_but_unaligned
amara		14	14	52	805	10	115	0.1429	0	0	1	1	R3_tagged_but_unaligned
amfta		36	30	206	1979	20	240	0.1213	0	0	3	1	R3_tagged_but_unaligned
amoGa		14	14	39	183	4	6	0.0328	0	0	1	1	R3_tagged_but_unaligned
ananta		19	19	106	879	12	63	0.0717	0	0	1	1	R3_tagged_but_unaligned
anta		20	20	111	3936	31	439	0.1115	0	0	1	1	R3_tagged_but_unaligned
antara		25	25	292	3224	25	262	0.0813	0	0	1	1	R3_tagged_but_unaligned
anu	1	23	23	138	1359	7	85	0.0625	0	0	0	1	R3_tagged_but_unaligned
anubanDa		17	16	54	218	3	10	0.0459	0	0	1	1	R3_tagged_but_unaligned
anyatra		11	11	62	809	7	49	0.0606	0	0	0	1	R3_tagged_but_unaligned
aparAjita		15	15	65	194	4	16	0.0825	0	0	1	1	R3_tagged_but_unaligned
apara		11	11	122	2478	13	205	0.0827	0	0	0	1	R3_tagged_but_unaligned
api		16	13	446	34022	13	1852	0.0544	0	0	0	1	R3_tagged_but_unaligned
arTa		14	14	227	12546	32	1167	0.0930	0	0	1	1	R3_tagged_but_unaligned
arizwa		20	20	135	303	13	43	0.1419	0	0	2	1	R3_tagged_but_unaligned
arjuna		21	21	141	2012	9	364	0.1809	0	0	2	1	R3_tagged_but_unaligned
arka		16	16	135	1487	9	929	0.6247	0	0	1	1	R3_tagged_but_unaligned
aruRa		20	19	154	523	14	121	0.2314	0	0	1	1	R3_tagged_but_unaligned
asita	2	12	12	92	400	11	63	0.1575	0	0	1	1	R3_tagged_but_unaligned
asura		15	13	145	1914	5	182	0.0951	0	0	1	1	R3_tagged_but_unaligned
bARa		13	13	117	1708	6	371	0.2172	0	0	2	1	R3_tagged_but_unaligned
badara		12	12	99	110	2	14	0.1273	0	0	1	1	R3_tagged_but_unaligned
bahula		22	22	175	404	13	78	0.1931	0	0	1	1	R3_tagged_but_unaligned
bahurUpa		13	13	51	25	2	8	0.3200	0	0	1	1	R3_tagged_but_unaligned
balin		12	8	40	776	16	72	0.0928	0	0	1	1	R3_tagged_but_unaligned
banD		16	16	500	2210	37	495	0.2240	0	0	0	1	R3_tagged_but_unaligned
banDura		12	11	47	32	0	0	0.0000	1	0	1	1	R4_grounded_alignment
barbara		13	9	52	37	3	7	0.1892	0	0	1	1	R3_tagged_but_unaligned
bfhant		18	17	223	169	1	2	0.0118	1	0	1	1	R4_grounded_alignment
boDana		14	12	38	42	3	13	0.3095	0	0	1	1	R3_tagged_but_unaligned
brAhma		13	13	131	400	3	20	0.0500	0	0	1	1	R3_tagged_but_unaligned
brAhmaRa		13	13	194	4709	9	432	0.0917	0	0	2	1	R3_tagged_but_unaligned
brahman	2	14	14	123	7813	35	888	0.1137	0	0	1	1	R3_tagged_but_unaligned
cUqa		12	12	32	11	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
ca	1	16	16	178	155088	7	15793	0.1018	0	0	0	1	R3_tagged_but_unaligned
caRqa		16	16	103	262	7	30	0.1145	0	0	1	1	R3_tagged_but_unaligned
cakra		23	22	156	1659	9	96	0.0579	0	0	1	1	R3_tagged_but_unaligned
cakrin		16	14	51	60	4	5	0.0833	0	0	2	1	R3_tagged_but_unaligned
candra		24	24	148	1476	15	315	0.2134	0	0	3	1	R3_tagged_but_unaligned
candraka		15	14	51	31	1	1	0.0323	0	0	1	1	R3_tagged_but_unaligned
capala		17	17	98	242	7	62	0.2562	0	0	0	1	R3_tagged_but_unaligned
car		12	12	488	3059	25	215	0.0703	0	0	1	1	R3_tagged_but_unaligned
cara		12	11	75	393	10	50	0.1272	0	0	1	1	R3_tagged_but_unaligned
caraRa		15	15	88	694	6	90	0.1297	0	0	0	1	R3_tagged_but_unaligned
citra		28	28	248	1462	37	156	0.1067	0	0	2	1	R3_tagged_but_unaligned
dA	1	20	20	435	9987	36	1563	0.1565	0	0	0	1	R3_tagged_but_unaligned
dIpaka		16	16	64	36	2	2	0.0556	0	0	1	1	R3_tagged_but_unaligned
dIpana		12	10	40	690	12	166	0.2406	0	0	1	1	R3_tagged_but_unaligned
daRqa		22	18	206	1764	23	153	0.0867	1	0	0	1	R4_grounded_alignment
daRqaka		11	11	61	138	4	51	0.3696	1	0	1	1	R4_grounded_alignment
dahana		11	10	56	174	9	36	0.2069	0	0	1	1	R3_tagged_but_unaligned
dakza		13	12	223	770	12	85	0.1104	0	0	1	1	R3_tagged_but_unaligned
dakziRa		15	15	229	1748	12	126	0.0721	1	0	2	1	R4_grounded_alignment
darSana		11	11	166	2334	19	168	0.0720	0	0	0	1	R3_tagged_but_unaligned
deva	1	15	15	177	15141	19	1512	0.0999	0	0	1	1	R3_tagged_but_unaligned
divya		13	12	32	3424	16	397	0.1159	0	0	0	1	R3_tagged_but_unaligned
droRa		21	20	152	2048	6	174	0.0850	0	0	2	1	R3_tagged_but_unaligned
durga		13	13	120	447	7	38	0.0850	0	0	1	1	R3_tagged_but_unaligned
fta		15	14	305	621	9	70	0.1127	1	0	1	1	R4_grounded_alignment
fzaBa		16	14	144	2255	10	212	0.0940	0	0	1	1	R3_tagged_but_unaligned
gOra		26	24	165	206	12	34	0.1650	0	0	2	1	R3_tagged_but_unaligned
gaRqa		15	13	74	160	6	77	0.4813	0	0	1	1	R3_tagged_but_unaligned
gam	1	26	26	640	15950	37	1441	0.0903	0	0	0	1	R3_tagged_but_unaligned
ganDa		14	14	110	2546	23	706	0.2773	0	0	1	1	R3_tagged_but_unaligned
ganDarva		12	12	196	1460	5	190	0.1301	0	0	1	1	R3_tagged_but_unaligned
gati		17	17	147	2445	27	192	0.0785	0	0	1	1	R3_tagged_but_unaligned
giri		11	11	67	1493	8	679	0.4548	0	0	1	1	R3_tagged_but_unaligned
go		28	28	170	4319	24	708	0.1639	0	0	0	1	R3_tagged_but_unaligned
gokarRa		14	14	61	200	5	21	0.1050	0	0	1	1	R3_tagged_but_unaligned
gola		14	14	59	242	6	153	0.6322	0	0	1	1	R3_tagged_but_unaligned
gopa		15	15	55	241	3	14	0.0581	0	0	1	1	R3_tagged_but_unaligned
gotra		15	12	83	320	8	39	0.1219	0	0	0	1	R3_tagged_but_unaligned
grAhin		13	12	30	223	3	15	0.0673	0	0	1	1	R3_tagged_but_unaligned
grAhya		16	16	76	23	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
granTila		13	6	15	23	1	7	0.3043	0	0	1	1	R3_tagged_but_unaligned
guRa		18	18	244	5780	27	672	0.1163	0	0	1	1	R3_tagged_but_unaligned
guqa		12	11	72	574	5	517	0.9007	0	0	1	1	R3_tagged_but_unaligned
guru		16	16	215	4857	15	619	0.1274	0	0	1	1	R3_tagged_but_unaligned
hA	2	15	13	441	2938	30	218	0.0742	0	0	1	1	R3_tagged_but_unaligned
haMsa		20	20	224	656	4	68	0.1037	0	0	1	1	R3_tagged_but_unaligned
han	1	40	40	1304	8257	39	1069	0.1295	0	0	0	1	R3_tagged_but_unaligned
hara		12	11	141	2018	10	368	0.1824	0	0	1	1	R3_tagged_but_unaligned
haraRa		11	11	76	243	10	28	0.1152	0	0	1	1	R3_tagged_but_unaligned
hari	1	19	18	212	2715	22	490	0.1805	0	0	1	1	R3_tagged_but_unaligned
harita		11	10	129	202	9	33	0.1634	0	0	2	1	R3_tagged_but_unaligned
hasta		14	14	232	2309	5	358	0.1550	0	0	1	1	R3_tagged_but_unaligned
haya		11	11	64	1094	2	220	0.2011	0	0	1	1	R3_tagged_but_unaligned
hetu		14	14	140	2415	10	135	0.0559	0	0	1	1	R3_tagged_but_unaligned
hi	1	14	14	224	19452	19	144	0.0074	0	0	0	1	R3_tagged_but_unaligned
i	3	11	11	1396	2133	13	227	0.1064	0	0	0	1	R3_tagged_but_unaligned
indra		12	12	157	8452	19	1488	0.1761	0	0	1	1	R3_tagged_but_unaligned
jAla		14	13	141	757	13	43	0.0568	0	0	0	1	R3_tagged_but_unaligned
jAlaka		15	14	38	18	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
jAta		11	11	206	173	7	24	0.1387	0	0	0	1	R3_tagged_but_unaligned
jAti		16	16	135	913	14	114	0.1249	0	0	1	1	R3_tagged_but_unaligned
jIva		16	16	114	762	14	71	0.0932	0	0	1	1	R3_tagged_but_unaligned
jIvaka		16	12	65	100	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
jIvana		15	15	82	243	7	14	0.0576	1	0	1	1	R4_grounded_alignment
jagat		12	12	139	16	3	5	0.3125	0	0	0	1	R3_tagged_but_unaligned
jayanta		16	16	64	36	3	10	0.2778	0	0	1	1	R3_tagged_but_unaligned
jyezWa		16	16	143	803	14	84	0.1046	0	0	2	1	R3_tagged_but_unaligned
jyotis		14	13	162	928	12	91	0.0981	0	0	2	1	R3_tagged_but_unaligned
kARqa	1	12	11	73	290	7	23	0.0793	0	0	1	1	R3_tagged_but_unaligned
kAhala		13	10	18	9	1	1	0.1111	0	0	0	1	R3_tagged_but_unaligned
kAka	1	18	12	63	312	2	39	0.1250	0	0	1	1	R3_tagged_but_unaligned
kAla	1	29	27	129	7662	35	509	0.0664	0	0	1	1	R3_tagged_but_unaligned
kAlaka		12	12	31	13	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
kAlika	1	24	24	82	21	1	1	0.0476	0	0	1	1	R3_tagged_but_unaligned
kAraRa	1	15	10	144	2426	10	87	0.0359	0	0	1	1	R3_tagged_but_unaligned
kUwa	1	19	18	115	279	5	40	0.1434	1	0	0	1	R4_grounded_alignment
ka	1	11	10	256	12187	14	494	0.0405	0	0	0	1	R3_tagged_but_unaligned
kaNka		11	11	76	156	2	48	0.3077	0	0	1	1	R3_tagged_but_unaligned
kaRwaka		19	18	102	263	8	33	0.1255	0	0	1	1	R3_tagged_but_unaligned
kaTam		13	13	128	3543	2	139	0.0392	0	0	0	1	R3_tagged_but_unaligned
kakza		23	19	136	200	10	39	0.1950	0	0	1	1	R3_tagged_but_unaligned
kalA		15	15	121	944	8	71	0.0752	0	0	1	1	R3_tagged_but_unaligned
kalpa		13	13	201	1369	16	123	0.0898	0	0	1	1	R3_tagged_but_unaligned
kalyARa		14	14	106	556	12	34	0.0612	0	0	2	1	R3_tagged_but_unaligned
kamala	1	21	19	104	488	5	80	0.1639	1	1	3	1	R4_grounded_alignment
kandala		13	12	43	5	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
kapila		12	11	153	293	10	41	0.1399	0	0	0	1	R3_tagged_but_unaligned
karRika		16	16	62	9	0	0	0.0000	0	0	1	1	R2_no_wordsem_tag
karaRa	2	25	22	195	1049	21	91	0.0867	0	0	1	1	R3_tagged_but_unaligned
karavIra		12	10	46	118	3	29	0.2458	0	0	1	1	R3_tagged_but_unaligned
karkawa		14	14	59	55	2	14	0.2545	0	0	1	1	R3_tagged_but_unaligned
karman		11	8	133	8625	35	738	0.0856	0	0	0	1	R3_tagged_but_unaligned
kawa		25	23	73	46	3	4	0.0870	0	0	1	1	R3_tagged_but_unaligned
kazAya		12	12	122	1498	7	322	0.2150	0	0	2	1	R3_tagged_but_unaligned
keSa		11	11	86	841	4	92	0.1094	1	0	1	1	R4_grounded_alignment
kfta		22	22	118	528	14	55	0.1042	1	0	0	1	R4_grounded_alignment
kfzRa		28	27	258	3716	31	675	0.1816	0	0	2	1	R3_tagged_but_unaligned
koSa		29	29	168	474	14	45	0.0949	0	0	2	1	R3_tagged_but_unaligned
kola		13	12	67	182	8	27	0.1484	0	0	2	1	R3_tagged_but_unaligned
krUra		13	11	93	476	11	34	0.0714	1	1	1	1	R4_grounded_alignment
krama		14	14	160	1238	17	240	0.1939	0	0	0	1	R3_tagged_but_unaligned
kuSa		17	16	128	447	4	47	0.1051	0	0	1	1	R3_tagged_but_unaligned
kuSala		12	10	85	1080	20	98	0.0907	1	0	0	1	R4_grounded_alignment
kuYjara		11	9	65	434	9	144	0.3318	0	0	1	1	R3_tagged_but_unaligned
kumAra		22	22	171	1044	11	70	0.0670	0	0	1	1	R3_tagged_but_unaligned
kumBa		19	19	164	589	6	78	0.1324	0	0	1	1	R3_tagged_but_unaligned
kumuda		18	16	73	181	8	33	0.1823	0	0	2	1	R3_tagged_but_unaligned
kva		19	19	159	915	3	33	0.0361	0	0	0	1	R3_tagged_but_unaligned
kzama		16	16	151	366	8	33	0.0902	0	0	0	1	R3_tagged_but_unaligned
kzema		12	12	130	248	9	16	0.0645	0	0	2	1	R3_tagged_but_unaligned
kzetra		12	12	82	893	16	63	0.0705	0	0	1	1	R3_tagged_but_unaligned
kzip	1	13	13	346	2391	22	897	0.3752	0	0	1	1	R3_tagged_but_unaligned
lANgala		12	10	65	54	2	8	0.1481	0	0	1	1	R3_tagged_but_unaligned
laGu		12	12	202	1374	20	279	0.2031	0	0	2	1	R3_tagged_but_unaligned
lakzaRa		13	13	201	2535	22	296	0.1168	0	0	2	1	R3_tagged_but_unaligned
lakzya		13	13	95	213	4	15	0.0704	1	0	0	1	R4_grounded_alignment
lalita		14	14	131	52	3	3	0.0577	0	0	2	1	R3_tagged_but_unaligned
latA		14	14	73	549	7	43	0.0783	0	0	1	1	R3_tagged_but_unaligned
lava		12	11	122	124	8	14	0.1129	0	0	2	1	R3_tagged_but_unaligned
lohita		20	19	147	480	8	59	0.1229	1	0	1	1	R4_grounded_alignment
mADava		19	19	121	548	9	75	0.1369	0	0	2	1	R3_tagged_but_unaligned
mAgaDa		16	16	122	222	4	19	0.0856	0	0	2	1	R3_tagged_but_unaligned
mAlaka		12	12	31	5	0	0	0.0000	0	0	2	1	R2_no_wordsem_tag
mAlatI		13	10	17	77	1	8	0.1039	0	0	0	1	R3_tagged_but_unaligned
mAlin		17	17	76	218	3	19	0.0872	0	0	1	1	R3_tagged_but_unaligned
mAnasa	1	11	11	176	1123	11	71	0.0632	1	0	1	1	R4_grounded_alignment
mAnin		11	11	118	265	6	9	0.0340	0	0	0	1	R3_tagged_but_unaligned
mArga	2	13	13	191	1391	19	102	0.0733	0	0	1	1	R3_tagged_but_unaligned
mAruta		11	11	95	810	11	179	0.2210	0	0	3	1	R3_tagged_but_unaligned
mAtfka		12	12	63	11	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
mAtra		11	11	361	2733	12	334	0.1222	0	0	0	1	R3_tagged_but_unaligned
mEtra		16	16	134	117	2	5	0.0427	0	0	2	1	R3_tagged_but_unaligned
mUla		17	17	128	3180	21	503	0.1582	0	0	0	1	R3_tagged_but_unaligned
ma	2	19	16	36	20	4	17	0.8500	0	0	0	1	R3_tagged_but_unaligned
maDu		16	15	279	2490	18	479	0.1924	0	0	2	1	R3_tagged_but_unaligned
maDura		12	12	139	1993	13	249	0.1249	0	0	2	1	R3_tagged_but_unaligned
maDya		14	14	258	3601	28	481	0.1336	0	0	1	1	R3_tagged_but_unaligned
maDyama		19	18	200	653	13	72	0.1103	1	0	1	1	R4_grounded_alignment
maNgala		14	14	151	468	4	36	0.0769	0	0	2	1	R3_tagged_but_unaligned
maRqUka		11	10	69	145	5	43	0.2966	0	0	2	1	R3_tagged_but_unaligned
maRqala		16	16	268	1356	20	104	0.0767	0	0	1	1	R3_tagged_but_unaligned
mada		11	11	147	1236	18	123	0.0995	0	0	2	1	R3_tagged_but_unaligned
madana		13	12	97	412	9	52	0.1262	0	0	1	1	R3_tagged_but_unaligned
mah	3	13	13	150	426	13	50	0.1174	0	0	0	1	R3_tagged_but_unaligned
mahAkAla		11	11	77	85	2	9	0.1059	0	0	1	1	R3_tagged_but_unaligned
mahAvIra		12	10	75	20	1	2	0.1000	0	0	1	1	R3_tagged_but_unaligned
mahant		11	10	290	284	6	17	0.0599	0	0	1	1	R3_tagged_but_unaligned
makara		11	11	74	198	3	16	0.0808	0	0	1	1	R3_tagged_but_unaligned
malla		13	10	57	116	4	73	0.6293	0	0	1	1	R3_tagged_but_unaligned
man		16	16	623	4122	24	397	0.0963	0	0	0	1	R3_tagged_but_unaligned
manda		17	17	183	1047	16	125	0.1194	0	0	1	1	R3_tagged_but_unaligned
marut		11	11	123	976	4	118	0.1209	0	0	1	1	R3_tagged_but_unaligned
mfga		18	17	214	1395	11	186	0.1333	0	0	1	1	R3_tagged_but_unaligned
mitra		11	11	214	1570	6	201	0.1280	0	0	2	1	R3_tagged_but_unaligned
mohana		16	16	61	98	4	4	0.0408	0	0	1	1	R3_tagged_but_unaligned
muKa		16	16	197	4007	32	691	0.1724	0	0	1	1	R3_tagged_but_unaligned
muRqa		16	14	84	229	8	85	0.3712	0	0	2	1	R3_tagged_but_unaligned
muh	1	12	12	244	1003	6	39	0.0389	0	0	0	1	R3_tagged_but_unaligned
nAga	1	16	15	163	2715	17	891	0.3282	0	0	2	1	R3_tagged_but_unaligned
nAgadanta		5	5	22	8	0	0	0.0000	1	0	0	1	R4_grounded_alignment
nAgadantaka		3	3	5	3	0	0	0.0000	0	0	0	1	R2_no_wordsem_tag
nAgara		16	12	65	316	4	28	0.0886	0	0	2	1	R3_tagged_but_unaligned
nAman		12	12	289	2667	9	283	0.1061	0	0	0	1	R3_tagged_but_unaligned
nArAyaRa		11	11	108	1038	9	163	0.1570	1	0	2	1	R4_grounded_alignment
nI	1	14	14	674	1809	21	151	0.0835	1	0	0	1	R4_grounded_alignment
nIla		21	17	167	1043	22	234	0.2244	0	0	1	1	R3_tagged_but_unaligned
nIlaka		12	11	27	17	3	5	0.2941	0	0	1	1	R3_tagged_but_unaligned
nIlakaRWa		12	11	46	79	3	40	0.5063	0	0	2	1	R3_tagged_but_unaligned
nala		14	14	76	304	5	52	0.1711	0	0	1	1	R3_tagged_but_unaligned
nalina		13	13	116	55	1	5	0.0909	0	0	1	1	R3_tagged_but_unaligned
nanda		33	32	103	229	4	12	0.0524	0	0	1	1	R3_tagged_but_unaligned
nandaka		13	13	29	16	1	2	0.1250	0	0	1	1	R3_tagged_but_unaligned
nandana		17	17	89	888	7	90	0.1014	0	0	2	1	R3_tagged_but_unaligned
nandin		19	19	81	234	4	37	0.1581	0	0	1	1	R3_tagged_but_unaligned
nara		17	16	87	5011	12	581	0.1159	0	0	1	1	R3_tagged_but_unaligned
nawa		11	9	66	81	4	13	0.1605	0	0	1	1	R3_tagged_but_unaligned
nivartana		12	12	54	75	2	10	0.1333	0	0	0	1	R3_tagged_but_unaligned
nizWa		11	11	109	63	1	1	0.0159	0	0	0	1	R3_tagged_but_unaligned
pARqu		11	11	74	1769	16	260	0.1470	0	0	2	1	R3_tagged_but_unaligned
pAli		15	15	47	75	5	29	0.3867	0	0	0	1	R3_tagged_but_unaligned
pAta	2	13	13	99	358	13	49	0.1369	0	0	1	1	R3_tagged_but_unaligned
pAvana		21	18	88	230	2	6	0.0261	1	0	1	1	R4_grounded_alignment
pAwala		11	9	78	56	3	3	0.0536	0	0	2	1	R3_tagged_but_unaligned
pItaka		15	10	29	54	8	17	0.3148	0	0	0	1	R3_tagged_but_unaligned
pOruza		11	11	89	355	6	23	0.0648	0	0	2	1	R3_tagged_but_unaligned
pUraRa		13	13	93	141	6	29	0.2057	0	0	1	1	R3_tagged_but_unaligned
pUrva		12	12	337	4404	22	634	0.1440	0	0	0	1	R3_tagged_but_unaligned
paYcama		15	14	80	879	3	77	0.0876	1	0	0	1	R4_grounded_alignment
pad	1	12	12	1326	382	5	58	0.1518	0	0	2	1	R3_tagged_but_unaligned
pada		18	18	311	2913	27	212	0.0728	0	0	1	1	R3_tagged_but_unaligned
padmAvatI		14	14	23	67	0	0	0.0000	1	0	0	1	R4_grounded_alignment
padma		33	33	129	1309	12	225	0.1719	0	0	2	1	R3_tagged_but_unaligned
padya		13	13	57	31	2	5	0.1613	0	0	1	1	R3_tagged_but_unaligned
para		18	18	319	8813	22	520	0.0590	0	0	1	1	R3_tagged_but_unaligned
parigraha		23	23	208	378	10	20	0.0529	0	0	1	1	R3_tagged_but_unaligned
paruza		13	12	90	349	10	40	0.1146	0	0	1	1	R3_tagged_but_unaligned
paryAya		12	11	101	343	5	27	0.0787	0	0	1	1	R3_tagged_but_unaligned
