id	k1	hom	L_id	verdict	rule	stratum	pwg_members	index_members	pwg_source_split	mw_first_variant	mw_variant_count	mw_k2_raw	pwg_source_paren	dcs_freq	evidence	reason
AharakarawA	AharakarawA		9873	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ahara + karawa	Ahara + karawA	Ahara + karawa	A-hara + karawA	1	A-hara—karawA	(von {#Ahara#}, <ab>imperat.</ab> von {#har#} mit {#A#}, + {#karawa#} und {#cela#})		form_diffs=karawa|karawA; mw_hyphen_members=A-hara	both sources cut the word in the same place; the members differ only in form (karawa|karawA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AhutIvfD	AhutIvfD		9906	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ahuti + vfD	AhutI + vfD	Ahuti + vfD	AhutI + vfD	1	AhutI—vf/D	({#Ahuti#} + {#vfD#} mit Dehnung des Auslauts)		form_diffs=Ahuti|AhutI	both sources cut the word in the same place; the members differ only in form (Ahuti|AhutI) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AmraganDaka	AmraganDaka		8989	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	Amra + ganDa	Amra + ganDaka	Amra + ganDa	Amra + ganDaka	1	Amra—ganDaka	(von {#Amra#} + {#ganDa#})		taddhita_suffix=ka	only the final member differs: PWG's `ganDa` is an attested headword and MW's `ganDaka` is that lexeme plus `-ka`, a suffix that derives the WHOLE compound rather than being one of its members
ApatkAlika	ApatkAlika		8728	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	Apad + kAla	Apat + kAlika	Apad + kAla	Apat + kAlika	1	Apat—kAlika	(von {#Apad#} + {#kAla#})		taddhita_suffix=ika	only the final member differs: PWG's `kAla` is an attested headword and MW's `kAlika` is that lexeme plus `-ika`, a suffix that derives the WHOLE compound rather than being one of its members
ArdrapawI	ArdrapawI		66826	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ardra + pawa	Ardra + pawI	Ardra + pawa	Ardra + pawI	1	Ardra—pawI	({#Ardra#} + {#pawa#})		form_diffs=pawa|pawI	both sources cut the word in the same place; the members differ only in form (pawa|pawI) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AryaliNgin	AryaliNgin		9317	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	Arya + liNga	Arya + liNgin	Arya + liNga	Arya + liNgin	1	Arya—liNgin	(von {#Arya#} + {#liNga#})		taddhita_suffix=in	only the final member differs: PWG's `liNga` is an attested headword and MW's `liNgin` is that lexeme plus `-in`, a suffix that derives the WHOLE compound rather than being one of its members
AsyaMDaya	AsyaMDaya		9840	pwg_members-right	mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	Asyam + Daya	Asya + MDaya	Asyam + Daya	Asya + M-Daya	1	Asya—M-Daya	({#Asyam#}, <ab>acc.</ab> von {#Asya#}, + {#Daya#})		index_members_unattested=MDaya; mw_hyphen_members=M-Daya; pwg_members_unattested=Asyam	MW puts the linking anusvāra on the right of the cut (`MDaya`, hyphenated in its own <k2>) while PWG keeps it on the accusative first member (`Asyam`) — MW's `MDaya` is not a word
AtmakAma	AtmakAma		8284	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Atman + kAma	Atma + kAma	Atman + kAma	Atma + kAma	1	Atma/—kAma	({#Atman#} + {#kAma#})		form_diffs=Atman|Atma	both sources cut the word in the same place; the members differ only in form (Atman|Atma) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
Atmapa	Atmapa		66310	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Atman + pa	Atma + pa	Atman + pa	Atma + pa	1	Atma—pa	({#Atman#} + <hom>2.</hom> {#pa#})		form_diffs=Atman|Atma	both sources cut the word in the same place; the members differ only in form (Atman|Atma) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
Atmatantra~~h1	Atmatantra	1	66300	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Atman + tantra	Atma + tantra	Atman + tantra	Atma + tantra	1	Atma—tantra	({#Atman#} + {#tantra#})	9	form_diffs=Atman|Atma	both sources cut the word in the same place; the members differ only in form (Atman|Atma) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
Atmatantra~~h2	Atmatantra	2	66300	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Atman + tantra	Atma + tantra	Atman + tantra	Atma + tantra	1	Atma—tantra	({#Atman#} + {#tantra#})	9	form_diffs=Atman|Atma	both sources cut the word in the same place; the members differ only in form (Atman|Atma) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
Atmayoga	Atmayoga		66323	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Atman + yoga	Atma + yoga	Atman + yoga	Atma + yoga	1	Atma—yoga	({#Atman#} + {#yoga#})		form_diffs=Atman|Atma	both sources cut the word in the same place; the members differ only in form (Atman|Atma) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
Attamanaska	Attamanaska		8279	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	Atta + manas	Atta + manaska	Atta + manas	A-tta + manas-ka	1	A-tta—manas-ka	(von {#Atta#} + {#manas#})		mw_hyphen_members=A-tta manas-ka; taddhita_suffix=ka	only the final member differs: PWG's `manas` is an attested headword and MW's `manaska` is that lexeme plus `-ka`, a suffix that derives the WHOLE compound rather than being one of its members
AvikasOtrika	AvikasOtrika		9481	unresolved	cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	Avika + sUtra	Avika + sOtrika	Avika + sUtra	Avika + sOtrika	1	Avika—sOtrika	(von {#Avika#} + {#sUtra#})			the two sources cut the word in different places and BOTH readings decompose into attested headwords (`Avika + sUtra` vs `Avika + sOtrika`) — a genuine lexicographic disagreement, not a notation difference
AvirBUti	AvirBUti		66945	unresolved	cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	Avis + BU	Avir + BUti	Avis + BU	Avir + BUti	1	Avir—BUti	(von {#Avis#} + <hom>1.</hom> {#BU#})			the two sources cut the word in different places and BOTH readings decompose into attested headwords (`Avis + BU` vs `Avir + BUti`) — a genuine lexicographic disagreement, not a notation difference
Avirhotra	Avirhotra		66947	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Avis + hotra	Avir + hotra	Avis + hotra	Avir + hotra	1	Avir—hotra	({#Avis#} + {#hotra#})	2	form_diffs=Avis|Avir	both sources cut the word in the same place; the members differ only in form (Avis|Avir) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AvirmuKa	AvirmuKa		66946	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Avis + muKa	Avir + muKa	Avis + muKa	Avir + muKa	1	Avir—muKa	({#Avis#} + {#muKa#})		form_diffs=Avis|Avir	both sources cut the word in the same place; the members differ only in form (Avis|Avir) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AyuHSeza	AyuHSeza		66723	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ayus + Seza	AyuH + Seza	Ayus + Seza	AyuH + Seza	1	AyuH—Seza	({#Ayus#} + {#Seza#})		form_diffs=Ayus|AyuH	both sources cut the word in the same place; the members differ only in form (Ayus|AyuH) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AyurdA	AyurdA		66720	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ayus + dA	Ayur + dA	Ayus + dA	Ayur + dA	1	Ayur—dA/	({#Ayus#} + {#dA#} von <hom>1.</hom> {#da#})		form_diffs=Ayus|Ayur	both sources cut the word in the same place; the members differ only in form (Ayus|Ayur) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AyurdA	AyurdA		66720	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ayus + dA	Ayur + dA	Ayus + dA	Ayur + dA	1	Ayur—dA/	({#Ayus#} + {#dA#} von <hom>1.</hom> {#da#})		form_diffs=Ayus|Ayur	both sources cut the word in the same place; the members differ only in form (Ayus|Ayur) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AyurdAya	AyurdAya		66721	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ayus + dAya	Ayur + dAya	Ayus + dAya	Ayur + dAya	1	Ayur—dAya	({#Ayus#} + <hom>1.</hom> {#dAya#})		form_diffs=Ayus|Ayur	both sources cut the word in the same place; the members differ only in form (Ayus|Ayur) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
Ayurdad	Ayurdad		9062	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ayus + dad	Ayur + dad	Ayus + dad	Ayur + dad	1	Ayur—da/d	({#Ayus#} + {#dad#})	1	form_diffs=Ayus|Ayur	both sources cut the word in the same place; the members differ only in form (Ayus|Ayur) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
Ayuzak	Ayuzak		9074	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ayu + sac	Ayu + zak	Ayu + sac	Ayu + zak	1	Ayu—za/k	({#Ayu#} + {#sac#})	3	form_diffs=sac|zak; index_members_unattested=zak	both sources cut the word in the same place; the members differ only in form (sac|zak) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
AyuzkAma	AyuzkAma		9076	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Ayus + kAma	Ayuz + kAma	Ayus + kAma	Ayuz + kAma	1	Ayuz—kAma	({#Ayus#} + {#kAma#})	19	form_diffs=Ayus|Ayuz	both sources cut the word in the same place; the members differ only in form (Ayus|Ayuz) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
Ayuzwoma	Ayuzwoma		9078	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	Ayus + stoma	Ayuz + woma	Ayus + stoma	Ayuz + woma	1	Ayuz—woma	({#Ayus#} + {#stoma#})		index_members_unattested=woma	the two segmentations differ and every PWG member is an attested headword while MW's `woma` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
BAgaMjaya	BAgaMjaya		54407	pwg_members-right	mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	BAgam + jaya	BAga + Mjaya	BAgam + jaya	BAga + M-jaya	1	BAga—M-jaya	({#BAgam#}, <ab>acc.</ab> von <hom>1.</hom> {#BAga#} + {#jaya#})		index_members_unattested=Mjaya; mw_hyphen_members=M-jaya; pwg_members_unattested=BAgam	MW puts the linking anusvāra on the right of the cut (`Mjaya`, hyphenated in its own <k2>) while PWG keeps it on the accusative first member (`BAgam`) — MW's `Mjaya` is not a word
BAnuPalA	BAnuPalA		54549	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BAnu + Pala	BAnu + PalA	BAnu + Pala	BAnu + PalA	1	BAnu—PalA	({#BAnu#} + {#Pala#})	1	form_diffs=Pala|PalA	both sources cut the word in the same place; the members differ only in form (Pala|PalA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BAnumatin	BAnumatin		54551	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BAnu + mati	BAnu + matin	BAnu + mati	BAnu + matin	1	BAnu—matin	(von {#BAnumant#} oder von {#BAnu#} + {#mati#})		form_diffs=mati|matin; index_members_unattested=matin	both sources cut the word in the same place; the members differ only in form (mati|matin) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BAnusena	BAnusena		54560	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BAnu + senA	BAnu + sena	BAnu + senA	BAnu + sena	1	BAnu—sena	({#BAnu#} + {#senA#})		form_diffs=senA|sena	both sources cut the word in the same place; the members differ only in form (senA|sena) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BAryAwika	BAryAwika		54657	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	BAryA + Awa	BAryA + wika	BAryA + Awa	BAryA + wika	1	BAryA—wika	(von {#BAryA#} + {#Awa#})		index_members_unattested=wika	the two segmentations differ and every PWG member is an attested headword while MW's `wika` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
BImasena	BImasena		54984	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BIma + senA	BIma + sena	BIma + senA	BIma + sena	1	BIma/—sena	({#BIma#} + {#senA#})	1295	form_diffs=senA|sena	both sources cut the word in the same place; the members differ only in form (senA|sena) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BImavikrama	BImavikrama		54974	unresolved	cut_moved_both_readings_lexical	cut_moved_both_readings_lexical	BIma + vi	BIma + vikrama	BIma + vi	BIma + vikrama	1	BIma—vikrama	({#BIma#} + {#vi#})			the two sources cut the word in different places and BOTH readings decompose into attested headwords (`BIma + vi` vs `BIma + vikrama`) — a genuine lexicographic disagreement, not a notation difference
BIrupattrI	BIrupattrI		55004	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BIru + pattra	BIru + pattrI	BIru + pattra	BIru + pattrI	1	BIru—pattrI	({#BIru#} + {#pattra#})		form_diffs=pattra|pattrI	both sources cut the word in the same place; the members differ only in form (pattra|pattrI) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BIruzWAna	BIruzWAna		55007	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BIru + sTAna	BIru + zWAna	BIru + sTAna	BIru + zWAna	1	BIru—zWAna	({#BIru#} + {#sTAna#})		form_diffs=sTAna|zWAna; index_members_unattested=zWAna	both sources cut the word in the same place; the members differ only in form (sTAna|zWAna) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BUDaraja	BUDaraja		55358	unresolved	arity_differs_no_alignment	residual-undersized	BUDara + ja	BU + Dara + ja	BUDara + ja	BU + Dara + ja	1	BU—Dara—ja	({#BUDara#} {%Berg%} + {#ja#})		mw_is_finer=False	the two member lists have different arity and neither is a merge of the other, so they are not two spellings of one analysis
BUliNgA	BUliNgA		55574	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BU + liNga	BU + liNgA	BU + liNga	BU + liNgA	1	BU—liNgA	(<hom>2.</hom> {#BU#} + {#liNga#})		form_diffs=liNga|liNgA; index_members_unattested=liNgA	both sources cut the word in the same place; the members differ only in form (liNga|liNgA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BUmiMjaya	BUmiMjaya		55425	pwg_members-right	mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	BUmim + jaya	BUmi + Mjaya	BUmim + jaya	BUmi + M-jaya	1	BUmi—M-jaya	({#BUmim#}, <ab>acc.</ab> von {#BUmi#}, + {#jaya#})	4	index_members_unattested=Mjaya; mw_hyphen_members=M-jaya; pwg_members_unattested=BUmim	MW puts the linking anusvāra on the right of the cut (`Mjaya`, hyphenated in its own <k2>) while PWG keeps it on the accusative first member (`BUmim`) — MW's `Mjaya` is not a word
BUmituRqika	BUmituRqika		55427	pwg_members-right	pwg_lexeme_vs_mw_suffixed_tail	pwg_lexeme_vs_mw_suffixed_tail	BUmi + tuRqi	BUmi + tuRqika	BUmi + tuRqi	BUmi + tuRqika	1	BUmi—tuRqika	(von {#BUmi#} + {#tuRqi#})		taddhita_suffix=ka	only the final member differs: PWG's `tuRqi` is an attested headword and MW's `tuRqika` is that lexeme plus `-ka`, a suffix that derives the WHOLE compound rather than being one of its members
BUpaputra	BUpaputra		55372	unresolved	arity_differs_no_alignment	residual-undersized	BUpa + putra	BU + pa + putra	BUpa + putra	BU + pa + putra	1	BU—pa—putra	({#BUpa#} + {#putra#})		mw_is_finer=False	the two member lists have different arity and neither is a merge of the other, so they are not two spellings of one analysis
BUpasuta	BUpasuta		55376	unresolved	arity_differs_no_alignment	residual-undersized	BUpa + suta	BU + pa + suta	BUpa + suta	BU + pa + suta	1	BU—pa—suta	({#BUpa#} + {#suta#})		mw_is_finer=False	the two member lists have different arity and neither is a merge of the other, so they are not two spellings of one analysis
BUpezwa	BUpezwa		55385	pwg_members-right	mw_cut_leaves_nonword	mw_cut_leaves_nonword	BUpa + izwa	BU + pezwa	BUpa + izwa	BU + pezwa	1	BU—pezwa	({#BUpa#} + <hom>1.</hom> {#izwa#})		index_members_unattested=pezwa	the two segmentations differ and every PWG member is an attested headword while MW's `pezwa` is not a word — MW cuts inside a sandhi-fused seam (mahA+arha -> mahA|rha) or spells the seam's surface form
BUryakza	BUryakza		55568	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BUri + akza	BUry + akza	BUri + akza	BUry + akza	1	BUry—akza/	({#BUri#} + <hom>3.</hom> {#akza#})		form_diffs=BUri|BUry	both sources cut the word in the same place; the members differ only in form (BUri|BUry) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BUtaganDA	BUtaganDA		55213	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BUta + ganDa	BUta + ganDA	BUta + ganDa	BUta + ganDA	1	BUta—ganDA	({#BUta#} + {#ganDa#})		form_diffs=ganDa|ganDA	both sources cut the word in the same place; the members differ only in form (ganDa|ganDA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BUtakesarA	BUtakesarA		55209	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BUta + kesara	BUta + kesarA	BUta + kesara	BUta + kesarA	1	BUta—kesarA	({#BUta#} + {#kesara#})		form_diffs=kesara|kesarA	both sources cut the word in the same place; the members differ only in form (kesara|kesarA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BUtapattrI	BUtapattrI		55235	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BUta + pattra	BUta + pattrI	BUta + pattra	BUta + pattrI	1	BUta—pattrI	({#BUta#} + {#pattra#})		form_diffs=pattra|pattrI	both sources cut the word in the same place; the members differ only in form (pattra|pattrI) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BUtavezI	BUtavezI		55277	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BUta + veza	BUta + vezI	BUta + veza	BUta + vezI	1	BUta—vezI	({#BUta#} + {#veza#})		form_diffs=veza|vezI; index_members_unattested=vezI	both sources cut the word in the same place; the members differ only in form (veza|vezI) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BUyaskara	BUyaskara		55490	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BUyaMs + kara	BUyas + kara	BUyaMs + kara	BUyas + kara	1	BU/yas—kara	({#BUyaMs#} + <hom>1.</hom> {#kara#})		form_diffs=BUyaMs|BUyas	both sources cut the word in the same place; the members differ only in form (BUyaMs|BUyas) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BUyaskft	BUyaskft		55491	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BUyaMs + kft	BUyas + kft	BUyaMs + kft	BUyas + kft	1	BUyas—kf/t	({#BUyaMs#} + {#kft#})		form_diffs=BUyaMs|BUyas	both sources cut the word in the same place; the members differ only in form (BUyaMs|BUyas) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BUyovidya	BUyovidya		55499	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BUyaMs + vidyA	BUyo + vidya	BUyaMs + vidyA	BUyo + vidya	1	BUyo—vidya	({#BUyaMs#} + {#vidyA#})		form_diffs=BUyaMs|BUyo; vidyA|vidya	both sources cut the word in the same place; the members differ only in form (BUyaMs|BUyo; vidyA|vidya) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BaNgavAsA	BaNgavAsA		53840	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BaNga + vAsa	BaNga + vAsA	BaNga + vAsa	BaNga + vAsA	1	BaNga—vAsA	({#BaNga#} + {#vAsa#})		form_diffs=vAsa|vAsA	both sources cut the word in the same place; the members differ only in form (vAsa|vAsA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BaNgiBAva	BaNgiBAva		53850	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	BaNgin + BAva	BaNgi + BAva	BaNgin + BAva	BaNgi + BAva	1	BaNgi—BAva	(wohl {#BaNgin#} nicht {#BaNgi#}] + {#BAva#})		form_diffs=BaNgin|BaNgi	both sources cut the word in the same place; the members differ only in form (BaNgin|BaNgi) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BadraBUzaRA	BadraBUzaRA		54021	pwg_members-right	same_split_pwg_lemma_form	same_split_pwg_lemma_form	Badra + BUzaRa	Badra + BUzaRA	Badra + BUzaRa	Badra + BUzaRA	1	Badra—BUzaRA	({#Badra#} + {#BUzaRa#})		form_diffs=BUzaRa|BUzaRA; index_members_unattested=BUzaRA	both sources cut the word in the same place; the members differ only in form (BUzaRa|BUzaRA) — MW spells each segment as it stands in the compound (sandhi applied), PWG names the lexeme behind it, which is what a member list is for
BadraMkara	BadraMkara		53991	pwg_members-right	mw_anusvara_right_of_boundary	mw_anusvara_right_of_boundary	Badram + kara	Badra + Mkara	Badram + kara	Badra + M-kara	1	Badra—M-kara	({#Badram#}, <ab>acc.</ab> von {#Badra#}, + <hom>1.</hom> {#kara#})	22	index_members_unattested=Mkara; mw_hyphen_members=M-kara	MW puts the linking anusvāra on the right of the cut (`Mkara`, hyphenated in its own <k2>) while PWG keeps it on the accusative first member (`Badram`) — MW's `Mkara` is not a word
