pwg_abbrev	citations	dcs_text_true	verdict	evidence	reason
KAṬHOP	445	Kaṭhopaniṣad	map	rank 19/220; verse 95.9%	pwgbib "in der Bibliotheca indica"; PWG cites vallī,verse over 6 vallīs; DCS carries exactly 6. Rank is soft (dense 2-tuple space) — accepted on the structural match plus the hand-check.
BHARTṚ	1214	Śatakatraya	map	rank 4/220; verse 98.0%	pwgbib "BHARTṚHARI, Ausg. von BOHLEN"; PWG cites śataka,verse and DCS's Śatakatraya IS Bhartṛhari's three śatakas. Another German-prose blind spot (the bib entry names the author, not the work).
TBR	3000	Taittirīyabrāhmaṇa	unverifiable	rank 6/220; verse 15.4%; null max 4.6% (x3.3)	The backlog paired TBR with Taittirīya*saṃhitā* — a different work; DCS does carry the Taittirīya*brāhmaṇa*. But at 15.4% it is beaten by Maitrāyaṇīsaṃhitā (43%) and Vārāhaśrautasūtra (31%): the Yajurveda prose texts share an address structure and cross-hit each other, so this pairing cannot be established from address evidence alone. Not mapped.
VP	3991	Viṣṇupurāṇa	unverifiable	rank 1/220 but verse only 19.1%; arity match 59.8%	pwgbib is explicit that PWG cites WILSON'S TRANSLATION by page ("Es wird die WILSON'sche Uebersetzung citirt"), and 2,679 of 4,037 citations are single page numbers up to 2087. The multi-component minority ranks first among all 270 texts, but 19.1% sits between the verified band (28.6-93.0%) and the rejected band (0.0-1.4%) and cannot be told from coincidence. Not mapped — H1670's rejection stands, now with a number.
KATHĀS	23198	Kathāsaritsāgara	no	rank 193/220; verse 0.0%	Confirms H1670. PWG follows Brockhaus's 124 continuously-numbered taraṅgas as a 2-tuple; DCS's KSS is a 3-tuple over 8 lambakas / 44 chapters. Not one of 13,288 distinct PWG tuples exists as a DCS verse address.
AK	15414	Amarakośa	no	arity match 1.3%; verse 0.0%	PWG cites kāṇḍa,varga,śloka (often 4 components with a sub-varga); DCS's Amarakośa is 2 chapters with a single continuous counter to 640. The numbering spaces are unrelated.
TRIK	8519	Trikāṇḍaśeṣa	no	arity match 6.6%; verse 1.4%	PWG cites kāṇḍa,varga,śloka; DCS carries only kāṇḍa 2 as a 904-token fragment with a continuous counter. Arity and coverage both fail.
HIT	2426	Hitopadeśa	no	verse 0.8%	pwgbib is explicit: the arabic number is die SEITE and the second die ZEILE — PWG cites Schlegel-Lassen by page and line, not book and verse.
HIT. I,	671	Hitopadeśa	no	locus is a single component	The book number is a ROMAN numeral, which split_ls() keeps in the abbrev ("HIT. I,"), leaving a 1-component locus. verse_equal() requires >=2 components, so this form can never match whatever the scheme is. A tokenizer limitation, not a scheme mismatch.
KAUŚ	3021	Kauśikasūtra	no	arity match 7.7%; verse 0.0%	Confirms H1670. pwgbib "Die Kaṇḍikā sind durchgezählt" — PWG numbers the kaṇḍikās continuously as one component; DCS numbers them per adhyāya as a 3-tuple.
DAŚAK	1656	Daśakumāracarita	no	verse 0.0%	pwgbib "ed. WILSON"; the sampled loci carry "ult" and "v. u." (letzte Zeile / von unten), so PWG cites page and line. DCS's address is part,ucchvāsa,sentence.
KĀṬH	1440	Kāṭhakasaṃhitā	no	verse 0.0%; chapter 34.3%	The work is right (pwgbib "KĀṬHAKA-Recension des YAJ. V."), but PWG stops at (sthānaka, anuvāka) while DCS's address reaches the mantra as a 3-tuple. Equal tuples are therefore impossible at verse level; the 34.3% chapter hit would come only from the 9.3% of DCS sentences that lack a counter — a biased subset, not a crosswalk.
PĀR. GṚHY	778	Pāraskaragṛhyasūtra	no	rank 142/220; verse 16.2%	Same arity mismatch as KĀṬH: PWG cites kāṇḍa,kaṇḍikā (2-tuple), DCS reaches the sūtra (3-tuple). Ranks below 141 texts it does not cite.
SŪRYAS	1761	Sūryasiddhānta	no	rank 55/220; verse 26.2%	PWG cites adhyāya,śloka over the Sūryasiddhānta's 14 adhyāyas; DCS carries only 2 chapters, so 12 of 14 adhyāyas have no corresponding address at all. pwgbib also cites it second-hand, "nach Anführungen in HAUGHTON".
ŚVETĀŚV. UP	538	Śvetāśvataropaniṣad	no	rank 126/220; verse 3.5%	Only 3.1% of DCS's Śvetāśvatara sentences carry a sent_counter, so its address stops at the adhyāya for 96.9% of the text and PWG's (adhyāya, verse) 2-tuple has nothing to equal.
ĀŚV. ŚR	2172	Āśvālāyanaśrautasūtra	no	rank 102/220; verse 7.4%	The backlog offered Āśvalāyana*gṛhya*sūtra — a different work. DCS does carry the Śrautasūtra (spelled Āśvā-, which is why the prefix match missed it), but PWG's tuples rank below 101 other texts against it.
ŚĀṄKH. BR	810	Kauṣītakibrāhmaṇa	no	verse 0.8%	The backlog offered Śāṅkhāyana*śrauta*sūtra. DCS carries the Śāṅkhāyana Brāhmaṇa under its other name, Kauṣītakibrāhmaṇa — and PWG's tuples still do not land on it.
ŚĀṄKH. GṚHY	835	Kauṣītakagṛhyasūtra	no	verse 0.0%	Same pattern: the backlog offered the Śrautasūtra; the Gṛhyasūtra exists in DCS as Kauṣītakagṛhyasūtra; the addresses do not correspond.
TAITT. ĀR	430	Taittirīyāraṇyaka	no	rank 92/220; verse 9.7%	The backlog offered Taittirīya*saṃhitā*. DCS carries the Āraṇyaka, but the numbering does not correspond.
TAITT. UP	371	Taittirīyopaniṣad	no	rank 115/220; verse 13.9%	The backlog offered Taittirīya*saṃhitā*. DCS carries the Upaniṣad separately; PWG's vallī,anuvāka,verse does not land on it.
SĀṂKHYAK	671	Sāṃkhyakārikā	no	verse 0.0%	The backlog offered Sāṃkhyakārikā*bhāṣya* because it picks the LARGEST name-alike; DCS also carries the bare Sāṃkhyakārikā. Either way PWG cites a single kārikā number, and a 1-component locus can never satisfy verse_equal().
MEGH	2159	Meghadūta	no	DCS ref carries a named section	DCS's Meghadūta ref names its two halves, so numeric_address() abstains on every sentence. PWG also cites a single continuous verse number, which is 1-component.
AMAR	502	Amaruśataka	no	verse 0.0%; 1-component locus	PWG cites a single verse number in the Calcutta edition; DCS's address is (1, verse). verse_equal() requires >=2 equal components.
CAURAP	391	Caurapañcaśikā	no	verse 0.0%; 1-component locus	Same as AMAR — a single verse number against DCS's (1, verse).
VET	575	Vetālapañcaviṃśatikā	no	DCS ref carries a named section	pwgbib "in LASSEN'S Anthologie" — PWG cites the anthology by page and line. DCS's 814-token Vetālapañcaviṃśatikā also names its section, so numeric_address() abstains.
VET. IN LA. (III)	444	Vetālapañcaviṃśatikā	no	DCS ref carries a named section	Same source and same two defects as VET.
BṚH. ĀR. UP. S	682	Bṛhadāraṇyakopaniṣad	no	1-component locus, values to 1096	The "S." form is Röer's SEITE — page numbers, not verse addresses.
SĀṂKHYAK (bhāṣya)	0	Sāṃkhyakārikābhāṣya	no	DCS ref carries a named section	Recorded so the backlog's original candidate is not re-litigated: the bhāṣya's ref names its section and numeric_address() abstains regardless.
BHĀVAPR	489	Bhāvaprakāśa	no	396 of 495 citations carry NO locus	pwgbib "nach Anführungen im ŚKDR" — cited second-hand, mostly bare. DCS's Bhāvaprakāśa ref also carries a named section.
KĀŚ	373	Kāśikāvṛtti	no	all 389 citations carry NO locus	Every KĀŚ citation in PWG is a bare abbreviation with no address at all, so there is nothing to match.
NIGH. PR	919	Nighaṇṭuśeṣa	no	919 of 923 citations carry NO locus	Two independent failures: PWG's Nighaṇṭaprakāśa is not DCS's Nighaṇṭuśeṣa, and the citations carry no address.
H	16185	Abhidhānacintāmaṇi	no	verse 0.0%	DCS does carry Hemacandra's Abhidhānacintāmaṇi (the backlog said DCS-LACKS on the German prose), but PWG's bare "H." citations do not land on its addresses.
H. AN	9641	Abhidhānacintāmaṇi	no	rank 32/220; verse 14.3%	The Anekārthasaṃgraha is a different Hemacandra work from the Abhidhānacintāmaṇi that DCS carries.
RĀJAN	6697	Rājanighaṇṭu	no	rank 33/220; verse 13.1%	DCS carries the Rājanighaṇṭu, but pwgbib cites it second-hand ("nach Anführungen im ŚKDR") and the addresses do not correspond.
KĀVYĀD	388	Kāvyādarśa	no	rank 59/220; verse 22.1%	DCS carries the Kāvyādarśa; PWG's tuples rank below 58 texts it does not cite, so the correspondence is not established.
ŚĀRṄG. SAṂH	611	Śārṅgadharasaṃhitā	no	verse 1.1%	DCS carries the text; PWG cites "nach Kāṇḍa, Adhyāya und der Reihenfolge der Verse" in the Bombay 1853 edition, which does not correspond to DCS's.
LĀṬY	2356	Drāhyāyaṇaśrautasūtra	no	rank 14/220; verse 29.4%	Lāṭyāyana and Drāhyāyaṇa are parallel but DISTINCT Sāmaveda Śrautasūtras. DCS does not carry Lāṭyāyana; mapping it to its sibling would be exactly the name-resemblance error this pass exists to avoid.
PAÑCAT	6088	Tantrākhyāyikā	no	verse 0.4%	DCS's only Pañcatantra witness is the Tantrākhyāyikā recension, whose numbering is not Kosegarten's.
SARVADARŚANAS	3968	Sarvadarśanasaṃgraha	no	arity match 0.0%	DCS carries the text but its address arity never matches PWG's citation form.
CARAKA	583	Carakasaṃhitā	no	arity match 0.0%	DCS carries the Carakasaṃhitā; PWG's citation form does not produce a comparable tuple.
LALIT	443	Lalitavistara	no	verse 0.0%	pwgbib cites FOUCAUX's translation, not the Sanskrit text DCS carries.
BHAG	2318	Mahābhārata (Bhagavadgītā)	no	DCS ref carries a named section	DCS sits the Gītā inside the Mahābhārata as "MBh, 6, BhaGī n"; numeric_address() abstains on the named component (H1670 defect 1), so no Gītā address is comparable.
