key1_slp1	key2_accented	iast	form_key	case_class	L	pc	source_xml
aDiSrayaRI	adhis4rayan2i1	adhiśrayaṇī	adhiśrayanī	fiction	1801	025-1	SCH-fiction-3147_cases.xml
aDyAsa	adhya1sa	adhyāsa	adhyāsa	fiction	1881	026-1	SCH-fiction-3147_cases.xml
anagAra	anaga1ra	anagāra	anagāra	fiction	1922	026-2	SCH-fiction-3147_cases.xml
anaNgatA	anan3gata1	anaṅgatā	anangatā	fiction	1936	026-3	SCH-fiction-3147_cases.xml
anacCa	anaccha	anaccha	anaccha	fiction	1958	027-1	SCH-fiction-3147_cases.xml
anaDIna	anadhi1na	anadhīna	anadhīna	fiction	2003	027-3	SCH-fiction-3147_cases.xml
anantA	ananta1	anantā	anantā	fiction	2056	028-2	SCH-fiction-3147_cases.xml
anavaskara	anavaskara	anavaskara	anavaskara	fiction	2255	031-1	SCH-fiction-3147_cases.xml
anAtapa	ana1tapa	anātapa	anātapa	fiction	2328	032-1	SCH-fiction-3147_cases.xml
anATakuwI	ana1thakut2i1	anāthakuṭī	anāthakuṭī	fiction	2339	032-1	SCH-fiction-3147_cases.xml
animiza	animis2a	animiṣa	animiṣa	fiction	2475	034-1	SCH-fiction-3147_cases.xml
anIkasTa	ani1kastha	anīkastha	anīkastha	fiction	2565	035-2	SCH-fiction-3147_cases.xml
anuka	anuka	anuka	anuka	fiction	2583	035-3	SCH-fiction-3147_cases.xml
anuKaqgam	anukhad2gam	anukhaḍgam	anukhaḍgam	fiction	2598	035-3	SCH-fiction-3147_cases.xml
anutara	anutara	anutara	anutara	fiction	2636	036-2	SCH-fiction-3147_cases.xml
anupadInA	anupadi1na1	anupadīnā	anupadīnā	fiction	2709	037-2	SCH-fiction-3147_cases.xml
anumanana	anumanana	anumanana	anumanana	fiction	2807	038-3	SCH-fiction-3147_cases.xml
anuvAda	anuva1da	anuvāda	anuvāda	fiction	2861	039-2	SCH-fiction-3147_cases.xml
anuvizRu	anuvis2n2u	anuviṣṇu	anuviṣnu	fiction	2868	039-2	SCH-fiction-3147_cases.xml
anuSrava	anus4rava	anuśrava	anuśrava	fiction	2886	039-3	SCH-fiction-3147_cases.xml
anusaMDi	anusam2dhi	anusaṃdhi	anusandhi	fiction	2908	040-1	SCH-fiction-3147_cases.xml
anelamUka	anelamu1ka	anelamūka	anelamūka	fiction	2974	041-1	SCH-fiction-3147_cases.xml
aneza	anes2a	aneṣa	aneṣa	fiction	2976	041-1	SCH-fiction-3147_cases.xml
antargaqu	antargad2u	antargaḍu	antargaḍu	fiction	3057	042-1	SCH-fiction-3147_cases.xml
antarvAvat	antarva14vat	antarvāvat	antarvāvat	fiction	3098	042-3	SCH-fiction-3147_cases.xml
antikA	antika1	antikā	antikā	fiction	3114	042-3	SCH-fiction-3147_cases.xml
antrAvaraRa	antra1varan2a	antrāvaraṇa	antrāvarana	fiction	3121	043-1	SCH-fiction-3147_cases.xml
anyataredyus	anyataredyus	anyataredyus	anyataredyus	fiction	3168	043-3	SCH-fiction-3147_cases.xml
apakzapAtin	apaks2apa1tin	apakṣapātin	apakṣapātin	fiction	3247	044-3	SCH-fiction-3147_cases.xml
apacikIrzA	apaciki1rs2a1	apacikīrṣā	apacikīrṣā	fiction	3269	045-1	SCH-fiction-3147_cases.xml
apaciti	apaciti	apaciti	apaciti	fiction	3273	045-1	SCH-fiction-3147_cases.xml
apatrapizRutA	apatrapis2n2uta1	apatrapiṣṇutā	apatrapiṣnutā	fiction	3292	045-2	SCH-fiction-3147_cases.xml
apaTakalpanA	apathakalpana1	apathakalpanā	apathakalpanā	fiction	3295	045-2	SCH-fiction-3147_cases.xml
apara	apara	apara	apara	fiction	3350	046-1	SCH-fiction-3147_cases.xml
aparakAya	aparaka1ya	aparakāya	aparakāya	fiction	3352	046-1	SCH-fiction-3147_cases.xml
aparacAnarAwa	Aparaca1nara1t2a	aparacānarāṭa	aparacānarāṭa	fiction	3356	046-1	SCH-fiction-3147_cases.xml
aparezukAzaSamI	Apares2uka1s2as4ami1	apareṣukāṣaśamī	apareṣukāṣaśamī	fiction	3458	047-3	SCH-fiction-3147_cases.xml
apavitray	apavitray	apavitray	apavitray	fiction	3494	048-1	SCH-fiction-3147_cases.xml
apAYc	apa1n5c	apāñc	apānc	fiction	3558	049-1	SCH-fiction-3147_cases.xml
apratipudgala	apratipudgala	apratipudgala	apratipudgala	fiction	3738	051-2	SCH-fiction-3147_cases.xml
aprativirata	aprativirata	aprativirata	aprativirata	fiction	3761	051-3	SCH-fiction-3147_cases.xml
apratiSaraRa	apratis4aran2a	apratiśaraṇa	apratiśarana	fiction	3764	051-3	SCH-fiction-3147_cases.xml
apratisama	apratisama	apratisama	apratisama	fiction	3779	052-1	SCH-fiction-3147_cases.xml
apratyudAvartya	apratyuda1vartya	apratyudāvartya	apratyudāvartya	fiction	3801	052-2	SCH-fiction-3147_cases.xml
apratyudDArya	apratyuddha1rya	apratyuddhārya	apratyuddhārya	fiction	3802	052-2	SCH-fiction-3147_cases.xml
aprapaYca	aprapan5ca	aprapañca	aprapanca	fiction	3810	052-2	SCH-fiction-3147_cases.xml
apsucara	apsucara	apsucara	apsucara	fiction	3889	053-3	SCH-fiction-3147_cases.xml
abda	abda	abda	abda	fiction	3941	054-2	SCH-fiction-3147_cases.xml
abDikaPa	abdhikapha	abdhikapha	abdhikapha	fiction	3946	054-2	SCH-fiction-3147_cases.xml
abBogIna	abbhogi1na	abbhogīna	abbhogīna	fiction	3950	054-2	SCH-fiction-3147_cases.xml
abrajas	abrajas	abrajas	abrajas	fiction	3951	054-2	SCH-fiction-3147_cases.xml
abrAhmaRya	abra1hman2ya	abrāhmaṇya	abrāhmanya	fiction	3957	054-2	SCH-fiction-3147_cases.xml
aBiDyA	abhidhya1	abhidhyā	abhidhyā	fiction	4052	056-1	SCH-fiction-3147_cases.xml
aBinamana	abhinamana	abhinamana	abhinamana	fiction	4055	056-1	SCH-fiction-3147_cases.xml
aBimanTa	abhimantha	abhimantha	abhimantha	fiction	4119	056-3	SCH-fiction-3147_cases.xml
aBimara	abhimara	abhimara	abhimara	fiction	4122	056-3	SCH-fiction-3147_cases.xml
aBiyAti	abhiya1ti	abhiyāti	abhiyāti	fiction	4143	057-1	SCH-fiction-3147_cases.xml
aBiyAna	abhiya1na	abhiyāna	abhiyāna	fiction	4144	057-1	SCH-fiction-3147_cases.xml
aBirADana	abhira1dhana	abhirādhana	abhirādhana	fiction	4151	057-2	SCH-fiction-3147_cases.xml
aBilapanatA	abhilapanata1	abhilapanatā	abhilapanatā	fiction	4159	057-2	SCH-fiction-3147_cases.xml
aBizaNga	abhis2an3ga	abhiṣaṅga	abhiṣanga	fiction	4195	057-3	SCH-fiction-3147_cases.xml
aBizava	abhis2ava	abhiṣava	abhiṣava	fiction	4197	057-3	SCH-fiction-3147_cases.xml
aBizecanI	abhis2ecani1	abhiṣecanī	abhiṣecanī	fiction	4201	057-3	SCH-fiction-3147_cases.xml
aBizeRay	abhis2en2ay	abhiṣeṇay	abhiṣenay	fiction	4202	057-3	SCH-fiction-3147_cases.xml
aBisaMkzepikam	abhisam2ks2epikam	abhisaṃkṣepikam	abhisankṣepikam	fiction	4206	058-1	SCH-fiction-3147_cases.xml
aBisamaya	abhisamaya	abhisamaya	abhisamaya	fiction	4208	058-1	SCH-fiction-3147_cases.xml
aBisamitAvin	abhisamita1vin	abhisamitāvin	abhisamitāvin	fiction	4210	058-1	SCH-fiction-3147_cases.xml
aBihava	abhihava	abhihava	abhihava	fiction	4218	058-1	SCH-fiction-3147_cases.xml
aBIru	abhi1ru	abhīru	abhīru	fiction	4229	058-1	SCH-fiction-3147_cases.xml
aBedyaparivAra	abhedyapariva1ra	abhedyaparivāra	abhedyaparivāra	fiction	4252	058-2	SCH-fiction-3147_cases.xml
aBedyaratnacUqa	Abhedyaratnacu1d2a	abhedyaratnacūḍa	abhedyaratnacūḍa	fiction	4253	058-2	SCH-fiction-3147_cases.xml
aByAgama	abhya1gama	abhyāgama	abhyāgama	fiction	4278	058-3	SCH-fiction-3147_cases.xml
aByAgArika	abhya1ga1rika	abhyāgārika	abhyāgārika	fiction	4279	058-3	SCH-fiction-3147_cases.xml
aByutsAha	abhyutsa1ha	abhyutsāha	abhyutsāha	fiction	4296	059-1	SCH-fiction-3147_cases.xml
aBramAtaNga	abhrama1tan3ga	abhramātaṅga	abhramātanga	fiction	4327	059-2	SCH-fiction-3147_cases.xml
aBravAwika	abhrava1t2ika	abhravāṭika	abhravāṭika	fiction	4333	059-2	SCH-fiction-3147_cases.xml
ama	ama	ama	ama	fiction	4341	059-3	SCH-fiction-3147_cases.xml
amata	amata	amata	amata	fiction	4348	059-3	SCH-fiction-3147_cases.xml
amanasikAra	amanasika1ra	amanasikāra	amanasikāra	fiction	4359	059-3	SCH-fiction-3147_cases.xml
amarA	amara1	amarā	amarā	fiction	4404	060-2	SCH-fiction-3147_cases.xml
amartya	amartya	amartya	amartya	fiction	4416	060-2	SCH-fiction-3147_cases.xml
amAtfjYa	ama1tr2jn5a	amātṛjña	amātṛjna	fiction	4429	060-3	SCH-fiction-3147_cases.xml
amAyAvin	ama1ya1vin	amāyāvin	amāyāvin	fiction	4441	060-3	SCH-fiction-3147_cases.xml
amUlaka	amu1laka	amūlaka	amūlaka	fiction	4469	061-1	SCH-fiction-3147_cases.xml
amfta	Amr2ta	amṛta	amṛta	fiction	4474	061-2	SCH-fiction-3147_cases.xml
amftanirgama	amr2tanirgama	amṛtanirgama	amṛtanirgama	fiction	4485	061-2	SCH-fiction-3147_cases.xml
amftAnDas	amr2ta1ndhas	amṛtāndhas	amṛtāndhas	fiction	4507	061-3	SCH-fiction-3147_cases.xml
amftASana	amr2ta1s4ana	amṛtāśana	amṛtāśana	fiction	4509	061-3	SCH-fiction-3147_cases.xml
ambariza	ambaris2a	ambariṣa	ambariṣa	fiction	4547	062-1	SCH-fiction-3147_cases.xml
ambazWA	ambas2t2ha1	ambaṣṭhā	ambaṣṭhā	fiction	4549	062-1	SCH-fiction-3147_cases.xml
ambuDara	ambudhara	ambudhara	ambudhara	fiction	4570	062-2	SCH-fiction-3147_cases.xml
amBoda	ambhoda	ambhoda	ambhoda	fiction	4597	062-3	SCH-fiction-3147_cases.xml
amlAtaka	amla1taka	amlātaka	amlātaka	fiction	4602	062-3	SCH-fiction-3147_cases.xml
amlAna	amla1na	amlāna	amlāna	fiction	4603	062-3	SCH-fiction-3147_cases.xml
ayavana	ayavana	ayavana	ayavana	fiction	4626	063-1	SCH-fiction-3147_cases.xml
ayaHSalmalIvana	ayah2s4almali1vana	ayaḥśalmalīvana	ayaḥśalmalīvana	fiction	4630	063-1	SCH-fiction-3147_cases.xml
ayaHSfNga	a4yah2s4r2n3ga	ayaḥśṛṅga	ayaḥśṛnga	fiction	4631	063-1	SCH-fiction-3147_cases.xml
ayATAtaTya	aya1tha1tathya	ayāthātathya	ayāthātathya	fiction	4645	063-2	SCH-fiction-3147_cases.xml
ayukparRa	ayukparn2a	ayukparṇa	ayukparna	fiction	4656	063-2	SCH-fiction-3147_cases.xml
ayugalaparRa	ayugalaparn2a	ayugalaparṇa	ayugalaparna	fiction	4657	063-2	SCH-fiction-3147_cases.xml
ayuta	ayuta	ayuta	ayuta	fiction	4667	063-2	SCH-fiction-3147_cases.xml
ayoguqa	ayogud2a	ayoguḍa	ayoguḍa	fiction	4679	063-3	SCH-fiction-3147_cases.xml
ayonitva	ayonitva	ayonitva	ayonitva	fiction	4687	063-3	SCH-fiction-3147_cases.xml
ara	ara	ara	ara	fiction	4695	064-1	SCH-fiction-3147_cases.xml
arajovirajonayayukta	arajovirajonayayukta	arajovirajonayayukta	arajovirajonayayukta	fiction	4707	064-1	SCH-fiction-3147_cases.xml
araRa	aran2a	araṇa	arana	fiction	4712	064-1	SCH-fiction-3147_cases.xml
araRasamavasaraRa	aran2asamavasaran2a	araṇasamavasaraṇa	aranasamavasarana	fiction	4713	064-1	SCH-fiction-3147_cases.xml
araRi	ara4n2i	araṇi	arani	fiction	4715	064-1	SCH-fiction-3147_cases.xml
araRyacArI	aran2yaca1ri1	araṇyacārī	aranyacārī	fiction	4717	064-2	SCH-fiction-3147_cases.xml
araRyaSvan	aran2yas4van	araṇyaśvan	aranyaśvan	fiction	4720	064-2	SCH-fiction-3147_cases.xml
aravAqa	Arava1d2a	aravāḍa	aravāḍa	fiction	4734	064-2	SCH-fiction-3147_cases.xml
aruRa	arun2a	aruṇa	aruna	fiction	4789	065-1	SCH-fiction-3147_cases.xml
aruRasAraTi	arun2asa1rathi	aruṇasārathi	arunasārathi	fiction	4801	065-2	SCH-fiction-3147_cases.xml
aruRopala	arun2opala	aruṇopala	arunopala	fiction	4809	065-2	SCH-fiction-3147_cases.xml
arUpabrahmaDAtu	Aru1pabrahmadha1tu	arūpabrahmadhātu	arūpabrahmadhātu	fiction	4816	065-2	SCH-fiction-3147_cases.xml
arUpyabrahmaDAtu	Aru1pyabrahmadha1tu	arūpyabrahmadhātu	arūpyabrahmadhātu	fiction	4818	065-2	SCH-fiction-3147_cases.xml
aroka	aroka	aroka	aroka	fiction	4821	065-3	SCH-fiction-3147_cases.xml
arkadugDa	arkadugdha	arkadugdha	arkadugdha	fiction	4836	065-3	SCH-fiction-3147_cases.xml
arkAtmaja	arka1tmaja	arkātmaja	arkātmaja	fiction	4844	065-3	SCH-fiction-3147_cases.xml
arjin	arjin	arjin	arjin	fiction	4865	066-1	SCH-fiction-3147_cases.xml
arjuna	arjuna	arjuna	arjuna	fiction	4866	066-1	SCH-fiction-3147_cases.xml
arRavaBava	arn2avabhava	arṇavabhava	arnavabhava	fiction	4871	066-2	SCH-fiction-3147_cases.xml
artni	artni	artni	artni	fiction	4873	066-2	SCH-fiction-3147_cases.xml
arDacakravartin	ardhacakravartin	ardhacakravartin	ardhacakravartin	fiction	4941	067-2	SCH-fiction-3147_cases.xml
arDacandra	ardhacandra	ardhacandra	ardhacandra	fiction	4942	067-2	SCH-fiction-3147_cases.xml
arDadrORika	ardhadraun2ika	ardhadrauṇika	ardhadraunika	fiction	4945	067-2	SCH-fiction-3147_cases.xml
arDamAsatama	ardhama1satama	ardhamāsatama	ardhamāsatama	fiction	4975	068-1	SCH-fiction-3147_cases.xml
arDaSaPara	ardhas4aphara	ardhaśaphara	ardhaśaphara	fiction	4990	068-1	SCH-fiction-3147_cases.xml
arDuzwa	ardhus2t2a	ardhuṣṭa	ardhuṣṭa	fiction	5011	068-2	SCH-fiction-3147_cases.xml
arDendu	ardhendu	ardhendu	ardhendu	fiction	5013	068-2	SCH-fiction-3147_cases.xml
arpaRA	arpan2a1	arpaṇā	arpanā	fiction	5019	068-2	SCH-fiction-3147_cases.xml
arya	arya4	arya	arya	fiction	5025	068-3	SCH-fiction-3147_cases.xml
arhadGawIcakra	arhadghat2i1cakra	arhadghaṭīcakra	arhadghaṭīcakra	fiction	5040	068-3	SCH-fiction-3147_cases.xml
ala	ala	ala	ala	fiction	5044	068-3	SCH-fiction-3147_cases.xml
alaMkartar	alam2kartar	alaṃkartar	alankartar	fiction	5062	069-1	SCH-fiction-3147_cases.xml
alambuza	alambus2a	alambuṣa	alambuṣa	fiction	5102	069-3	SCH-fiction-3147_cases.xml
alAtacakra	ala1tacakra	alātacakra	alātacakra	fiction	5114	070-1	SCH-fiction-3147_cases.xml
alipta	alipta	alipta	alipta	fiction	5123	070-1	SCH-fiction-3147_cases.xml
alimaka	alimaka	alimaka	alimaka	fiction	5124	070-1	SCH-fiction-3147_cases.xml
avakalpanA	avakalpana1	avakalpanā	avakalpanā	fiction	5184	071-1	SCH-fiction-3147_cases.xml
avaga	avaga	avaga	avaga	fiction	5204	071-1	SCH-fiction-3147_cases.xml
avagaRanA	avagan2ana1	avagaṇanā	avagananā	fiction	5206	071-1	SCH-fiction-3147_cases.xml
avagIta	avagi1ta	avagīta	avagīta	fiction	5213	071-2	SCH-fiction-3147_cases.xml
avagraha	avagraha	avagraha	avagraha	fiction	5217	071-2	SCH-fiction-3147_cases.xml
avadravya	avadravya	avadravya	avadravya	fiction	5268	072-1	SCH-fiction-3147_cases.xml
avana	avana	avana	avana	fiction	5278	072-1	SCH-fiction-3147_cases.xml
avanaha	avanaha	avanaha	avanaha	fiction	5280	072-1	SCH-fiction-3147_cases.xml
avantisoma	avantisoma	avantisoma	avantisoma	fiction	5303	072-2	SCH-fiction-3147_cases.xml
avamUrDa	Avamu1rdha	avamūrdha	avamūrdha	fiction	5330	072-3	SCH-fiction-3147_cases.xml
avara	avara	avara	avara	fiction	5341	073-1	SCH-fiction-3147_cases.xml
avaragodAnIya	avaragoda1ni1ya	avaragodānīya	avaragodānīya	fiction	5343	073-1	SCH-fiction-3147_cases.xml
avaracAmara	Avaraca1mara	avaracāmara	avaracāmara	fiction	5344	073-1	SCH-fiction-3147_cases.xml
avaroha	avaroha	avaroha	avaroha	fiction	5363	073-2	SCH-fiction-3147_cases.xml
avalupta	avalupta	avalupta	avalupta	fiction	5387	073-3	SCH-fiction-3147_cases.xml
avazwamBanatA	avas2t2ambhanata1	avaṣṭambhanatā	avaṣṭambhanatā	fiction	5418	074-1	SCH-fiction-3147_cases.xml
avasarpa	avasarpa	avasarpa	avasarpa	fiction	5429	074-1	SCH-fiction-3147_cases.xml
avasAda	avasa1da	avasāda	avasāda	fiction	5431	074-2	SCH-fiction-3147_cases.xml
avasAdin	avasa1din	avasādin	avasādin	fiction	5433	074-2	SCH-fiction-3147_cases.xml
avasAraRA	avasa1ran2a1	avasāraṇā	avasāranā	fiction	5436	074-2	SCH-fiction-3147_cases.xml
avaskara	avaskara	avaskara	avaskara	fiction	5442	074-2	SCH-fiction-3147_cases.xml
avasnAna	avasna1na	avasnāna	avasnāna	fiction	5449	074-2	SCH-fiction-3147_cases.xml
avahAra	avaha1ra	avahāra	avahāra	fiction	5460	074-3	SCH-fiction-3147_cases.xml
avahela	avahela	avahela	avahela	fiction	5465	074-3	SCH-fiction-3147_cases.xml
avahelana	avahelana	avahelana	avahelana	fiction	5466	074-3	SCH-fiction-3147_cases.xml
avAkpuzpI	ava1kpus2pi1	avākpuṣpī	avākpuṣpī	fiction	5469	074-3	SCH-fiction-3147_cases.xml
avArapAra	ava1rapa1ra	avārapāra	avārapāra	fiction	5493	075-1	SCH-fiction-3147_cases.xml
avAsas	ava1sas	avāsas	avāsas	fiction	5502	075-2	SCH-fiction-3147_cases.xml
avi	avi	avi	avi	fiction	5505	075-2	SCH-fiction-3147_cases.xml
avikAra	avika1ra	avikāra	avikāra	fiction	5515	075-2	SCH-fiction-3147_cases.xml
avijYapti	avijn5apti	avijñapti	avijnapti	fiction	5552	076-1	SCH-fiction-3147_cases.xml
avinivartanIya	avinivartani1ya	avinivartanīya	avinivartanīya	fiction	5590	076-2	SCH-fiction-3147_cases.xml
avipariRAmavartin	aviparin2a1mavartin	avipariṇāmavartin	aviparināmavartin	fiction	5598	076-3	SCH-fiction-3147_cases.xml
aviprapaYca	aviprapan5ca	aviprapañca	aviprapanca	fiction	5602	076-3	SCH-fiction-3147_cases.xml
avirajas	avirajas	avirajas	avirajas	fiction	5629	077-1	SCH-fiction-3147_cases.xml
avivarta	avivarta	avivarta	avivarta	fiction	5657	077-2	SCH-fiction-3147_cases.xml
avela	avela	avela	avela	fiction	5720	078-2	SCH-fiction-3147_cases.xml
avEvartacakra	Avaivartacakra	avaivartacakra	avaivartacakra	fiction	5728	078-2	SCH-fiction-3147_cases.xml
avyantIkfta	avyanti1kr2ta	avyantīkṛta	avyantīkṛta	fiction	5743	078-3	SCH-fiction-3147_cases.xml
avyAbADa	avya1ba1dha	avyābādha	avyābādha	fiction	5763	079-1	SCH-fiction-3147_cases.xml
aSasti	as4asti	aśasti	aśasti	fiction	5809	079-3	SCH-fiction-3147_cases.xml
aSiTilatva	as4ithilatva	aśithilatva	aśithilatva	fiction	5824	079-3	SCH-fiction-3147_cases.xml
aSiSvidAna	as4is4vida1na	aśiśvidāna	aśiśvidāna	fiction	5835	080-1	SCH-fiction-3147_cases.xml
