id,headword,de,en,human_label,notes
10,vipra+vad,"<div n=""p"">— {#vipra#} <ab>act.</ab> <ab>med.</ab> {%sich gegenseitig widersprechen%}: {#vipravadante sAMvatsarAH, mOhUrtAH#}
<ls>P. 1,3,50</ls>, <ab>Sch.</ab>
<ls>VOP. 23,42.</ls>
<ls>BHAṬṬ. 8,30.</ls>","<div n=""p"">— {#vipra#} <ab>act.</ab> <ab>med.</ab> to contradict one another, to be mutually inconsistent: {#vipravadante sAMvatsarAH, mOhUrtAH#}
<ls>P. 1,3,50</ls>, <ab>Sch.</ab>
<ls>VOP. 23,42.</ls>
<ls>BHAṬṬ. 8,30.</ls>",,
11,pravraj,"<div n=""1"">— 2) {%Jmd als Asketen wandern lassen%}
<ls>BURNOUF, Intr. 46.</ls> wohl hierher {#pravrAjayitum#}
<ls>MBH. 13,446.</ls> {#viDivatsvocitaM karma tyAjayitum#}
<ls>NILAK.</ls>","<div n=""1"">— 2) to cause someone to wander as an ascetic
<ls>BURNOUF, Intr. 46.</ls> probably here {#pravrAjayitum#}
<ls>MBH. 13,446.</ls> {#viDivatsvocitaM karma tyAjayitum#}
<ls>NILAK.</ls>",,
12,mad,"<div n=""1"">— 4) {%schlafen%} (nach
<ls>MAHĪDH.</ls>): {#agne\ tvaM su jA^gfhi va\yaM su ma^ndizImahi#}
<ls>VS. 4,14.</ls> es würde genügen: {%wir wollen es uns behaglich machen.%}","<div n=""1"">— 4) to sleep (according to <ls>MAHĪDH.</ls>): {#agne\ tvaM su jA^gfhi va\yaM su ma^ndizImahi#}
<ls>VS. 4,14.</ls> it would suffice: we wish to make ourselves comfortable.",,
13,upasamdhā,"<div n=""1""> 1) {%zulegen, zufügen; vermehren%}: {#mUlata uttarAraRimupasaMDAya#}
<ls>KAUŚ. 69.</ls> {#upaprayanto aDvaramityupasaMdaDAti#}
<ls>ŚĀṄKH. BR. 11,4.</ls>","<div n=""p"">— {#upasam#}
<div n=""1""> 1) to add, to append; to augment: {#mUlata uttarAraRimupasaMDAya#}
<ls>KAUŚ. 69.</ls> {#upaprayanto aDvaramityupasaMdaDAti#}
<ls>ŚĀṄKH. BR. 11,4.</ls>",,
14,upapragā,"<div n=""p"">— {#upapra#} {%herbeikommen, hinzutreten zu%}: {#upa\ prAgA^dde\vaH#}
<ls>AV. 1,28,1.</ls> <ls n=""AV. 1,28,"">6.</ls> <ls n=""AV. 1,"">37,1.</ls> {#upa\ prAgA\cCasa^naM vA\jyarvA^#}
<ls>ṚV. 1,163,12.</ls> <ls n=""ṚV. 1,163,"">13.</ls> <ls n=""ṚV. 1,"">162,7.</ls> {#upa^ de\vAndEvI\rviSa\H prAgu^H#}
<ls>VS. 6,7.</ls>","<div n=""p"">— {#upapra#} to come near, approach, draw near to: {#upa\ prAgA^dde\vaH#}
<ls>AV. 1,28,1.</ls> <ls n=""AV. 1,28,"">6.</ls> <ls n=""AV. 1,"">37,1.</ls> {#upa\ prAgA\cCasa^naM vA\jyarvA^#}
<ls>ṚV. 1,163,12.</ls> <ls n=""ṚV. 1,163,"">13.</ls> <ls n=""ṚV. 1,"">162,7.</ls> {#upa^ de\vAndEvI\rviSa\H prAgu^H#}
<ls>VS. 6,7.</ls>",,
15,prahi,"<div n=""1"">— 6) <ab>med.</ab> {%dahinfahren%}: {#raTA^ iva\ pra sargA^ ahezata#}
<ls>ṚV. 9,22,1.</ls>","<div n=""1"">— 6) <ab>med.</ab> to travel away, go forth: {#raTA^ iva\ pra sargA^ ahezata#}
<ls>ṚV. 9,22,1.</ls>",,
16,pat,"<div n=""1"">— 4〉 {%zubringen%} (die Zeit).","<div n=""1"">— 4〉 to spend (time).",,
17,rakṣ,"[Jin , unsp , 1349 A.D. , Delhi] Kaus: to cause to be preserved. Rajaśekharasuri 1935, S. 119, Z. 12","8. [NWS: SJS 3 : 86] [Jin , unsp , 1349 A.D. , Delhi] Kaus: to cause to be preserved. Rajaśekharasuri 1935, S. 119, Z. 12",,
18,pā,"<div n=""1"">— 1〉 {%hineintrinken, einschlürfen, trinken%} (<ls n=""Chr."">57,8</ls>) {%aus%} (<ab>Abl.</ab>) oder {%an%} (<ab>Acc.</ab>), {%austrinken, einsaugen, aussaugen, einziehen%} (Rauch) <ls>CARAKA. 6,20</ls>.","<div n=""1"">— 1〉 to drink in, sip, drink (<ls n=""Chr."">57,8</ls>) from (<ab>Abl.</ab>) or at (<ab>Acc.</ab>), to drink up, imbibe, suck out, draw in (smoke) <ls>CARAKA. 6,20</ls>.",,
19,bhid,"<div n=""p"">— {#pravi#}, ˚{#Binna#} {%geborsten%}
<ls>KATHĀS. 106,181.</ls>","<div n=""p"">— {#pravi#}, ˚{#Binna#} {%burst, cracked%}
<ls>KATHĀS. 106,181.</ls>",,
20,tirasdhā,"<div n=""p"">— {#tiras#} <ab>s. u.</ab> <ab>d. W.</ab>","<div n=""p"">— {#tiras#} <ab>s. u.</ab> <ab>d. W.</ab>",,
21,mad,"<div n=""2"">— b〉 {%berauscht, freudig erregt,%} so <ab>v. a.</ab> {%brünstig%} (von Thieren aller Art, <ab>insbes.</ab> aber vom Elephanten). — Die Lexicographen geben folgende Bedeutungen an: {#harze, stumodasvapragatizu, kAnta/, jAqe#}, = {#'valati#} und {#arcati#}.","<div n=""2"">— b〉 intoxicated, joyfully excited, and so <ab>v. a.</ab> in rut (of animals of all kinds, <ab>insbes.</ab> especially of the elephant). — The lexicographers give the following meanings: {#harze, stumodasvapragatizu, kAnta/, jAqe#}, = {#'valati#} and {#arcati#}.",,
22,dhā,"<div n=""p"">— Mit {#ati#}, {#a/tihita#} {%beseitigt%}.","<div n=""p"">— With {#ati#}, {#a/tihita#} removed, set aside.",,
23,pā,"{#aBipIta#} {%getränkt, erfüllt von%}: {#na kzutpipAse rAjendra BUmeSCidre BavizyataH . vasorDArABipItatvAttejasApyAyitena ca ..#} <ls>MBH. 12,12844.</ls>","{#aBipIta#} steeped in, filled with: {#na kzutpipAse rAjendra BUmeSCidre BavizyataH . vasorDArABipItatvAttejasApyAyitena ca ..#} <ls>MBH. 12,12844.</ls>",,
24,abhyastamgā,"<div n=""p"">— {#aByastam#} {%untergehen vor, bei, während einer Handlung <ab>u. s. w.</ab>%}: {#udDftamaByastamagAt#}
<ls>ŚAT. BR. 2,3,1,7.</ls> <ls n=""ŚAT. BR. 2,"">4,4,6.</ls>","<div n=""p"">— {#aByastam#} to set (of a heavenly body) before, during, in the course of an action <ab>u. s. w.</ab>: {#udDftamaByastamagAt#}
<ls>ŚAT. BR. 2,3,1,7.</ls> <ls n=""ŚAT. BR. 2,"">4,4,6.</ls>",,
25,dhā,"<div n=""1"">— 2〉 {%bei Seite setzen%}.","<div n=""1"">— 2〉 to set aside.",,
26,chid,"[Buddh , unsp] durchschneiden. zerhacken","[Buddh , unsp] to cut through; to hack to pieces",,
27,pat,"<div n=""1"">— 2〉 {%überfliegen, im Fliegen überholen%}.","<div n=""1"">— 2〉 to fly over, to outfly, to overtake in flight.",,
28,pat,"<div n=""1"">— 3〉 *{#pitsant#} = {#pratipanna#}.","<div n=""1"">— 3〉 *{#pitsant#} = {#pratipanna#}.",,
29,pragā,"<div n=""p"">— {#pra#} {%vorschreiten, fortgehen, gehen, sich in Bewegung setzen%}: {#f\zvA te\ pAdA\ pra yajjigA^si#}
<ls>ṚV. 10,73,3.</ls> {#mA pra gA^ma pa\To va\yam#}
<ls n=""ṚV. 10,"">57,1.</ls> {#sU\ryAyA^ vaha\tuH prAgA^t#}
<ls n=""ṚV. 10,"">85,13.</ls> {#pra dIDi^tirjigAti#}
<ls n=""ṚV."">3,4,3.</ls> <ls n=""ṚV."">7,104,17.</ls> <ls n=""ṚV."">8,48,2.</ls> {#soma^sya ji\hvA pra ji^gAti\ cakza^sA#}
<ls n=""ṚV."">1,87,5.</ls> <ls n=""ṚV. 1,"">85,6.</ls> <ls>VĀLAKH. 1,2.</ls> {#prAgA^ddevapu\rA a\yam#}
<ls>AV. 5,28,9.</ls> {#sA gadA tatkarAnmuktA prAgAddroRajiGAMsayA#}
<ls>MBH. 6,2212.</ls> Hierher gehört der Form nach das <ab>partic.</ab> {#praji/gat#}, welches
<ls>SĀY.</ls> zu <ls n=""MBH."">2.</ls> {#gA#} zieht: {#ka\dA ca\na pra\jiga^to\ ade^vayoH#}
<ls>ṚV. 1,150,2.</ls>","<div n=""p"">— {#pra#} to step forward, go forth, go, set oneself in motion: {#f\zvA te\ pAdA\ pra yajjigA^si#}
<ls>ṚV. 10,73,3.</ls> {#mA pra gA^ma pa\To va\yam#}
<ls n=""ṚV. 10,"">57,1.</ls> {#sU\ryAyA^ vaha\tuH prAgA^t#}
<ls n=""ṚV. 10,"">85,13.</ls> {#pra dIDi^tirjigAti#}
<ls n=""ṚV."">3,4,3.</ls> <ls n=""ṚV."">7,104,17.</ls> <ls n=""ṚV."">8,48,2.</ls> {#soma^sya ji\hvA pra ji^gAti\ cakza^sA#}
<ls n=""ṚV."">1,87,5.</ls> <ls n=""ṚV. 1,"">85,6.</ls> <ls>VĀLAKH. 1,2.</ls> {#prAgA^ddevapu\rA a\yam#}
<ls>AV. 5,28,9.</ls> {#sA gadA tatkarAnmuktA prAgAddroRajiGAMsayA#}
<ls>MBH. 6,2212.</ls> Formally belonging here is the <ab>partic.</ab> {#praji/gat#}, which
<ls>SĀY.</ls> refers to <ls n=""MBH."">2.</ls> {#gA#}: {#ka\dA ca\na pra\jiga^to\ ade^vayoH#}
<ls>ṚV. 1,150,2.</ls>",,
30,pratyabhi+vad,"<div n=""v"">— <ab>Vgl.</ab> {#pratyaBivAda#} <ab>fgg.</ab>","<div n=""v"">— <ab>Vgl.</ab> {#pratyaBivAda#} <ab>fgg.</ab>",,
31,anvapidhā,"<div n=""p"">— {#anvapi#} <ab>pass.</ab> {%nach Jmd verhüllt werden, — verschwinden%}: {#tamanvapiDIyante lokA BUrAdayastrayaH#} <ls>BHĀG. P. 3,11,28.</ls>","<div n=""p"">— {#anvapi#} <ab>pass.</ab> to become veiled after someone, to disappear after someone: {#tamanvapiDIyante lokA BUrAdayastrayaH#}
<ls>BHĀG. P. 3,11,28.</ls>
[Page3-0907]",,
32,nirbhid,"<div n=""1"">— 4) {%verrathen%}: {#nirBinnaprAyaM rahasyam#}
<ls>DAŚAK.</ls> in <ls>BENF. Chr. 193,8.</ls>","<div n=""1"">— 4) to betray: {#nirBinnaprAyaM rahasyam#}
<ls>DAŚAK.</ls> in <ls>BENF. Chr. 193,8.</ls>",,
33,pat,"Mit {%vyati%} über etwas hinauskommen, Haravijaya 6,30. [46,43.]","With vyati to go beyond something, Haravijaya 6,30. [46,43.]",,
34,saṃnidhā,"<div n=""1""> 4) {#tadA ca saMniDAsye te yadA tvaM mAM smarizyasi#}
<ls>KATHĀS. 74,324.</ls> {#rAtriH SivA kAcana saMniDatte#} ({%steht bevor%})
<ls>KUVALAY. 103,a,3.</ls> <ab>Z.</ab> 8 lies {#tayA#} <ab>st.</ab> {#tvayA#} .","<div n=""p"">— {#saMni#}
<div n=""1""> 4) {#tadA ca saMniDAsye te yadA tvaM mAM smarizyasi#}
<ls>KATHĀS. 74,324.</ls> {#rAtriH SivA kAcana saMniDatte#} (is imminent)
<ls>KUVALAY. 103,a,3.</ls> <ab>Z.</ab> 8 read {#tayA#} <ab>st.</ab> {#tvayA#} .",,
35,dhā,"<div n=""1"">— 3〉 {%entgegenarbeiten%}. {#asya kiM prativiDAsyasi#} {%was wirst du dagegen thun?%} <ls>KĀD. 77,17</ls>.","<div n=""1"">— 3〉 to work against, to counteract. {#asya kiM prativiDAsyasi#} what will you do against it? <ls>KĀD. 77,17</ls>.",,
36,upanipat,"<div n=""1"">— 2) {%dazu eintreten%}: {#tattu saptaviDe vyADAvupanipatati#}
<ls>SUŚR. 1,89,6.</ls> {%gelegentlich zur Erwähnung kommen%}
<ls n=""SUŚR."">14,6.</ls>","<div n=""1"">— 2) to come in additionally: {#tattu saptaviDe vyADAvupanipatati#}
<ls>SUŚR. 1,89,6.</ls> to come up for mention incidentally
<ls n=""SUŚR."">14,6.</ls>",,
37,mad,"<div n=""1"">— 2) <ab>med.</ab>","<div n=""1"">— 2) <ab>med.</ab>",,
38,pratigā,"<div n=""p"">— {#prati#} {%zurückkehren%}: {#svaDAma pratyagAtpraBuH#}
<ls>BHĀG. P. 4,20,37.</ls>","<div n=""p"">— {#prati#} to return: {#svaDAma pratyagAtpraBuH#}
<ls>BHĀG. P. 4,20,37.</ls>",,
39,yat,"<div n=""2""> a) mit <ab>loc.</ab>: {#yataDvaM nalamArgaRe#} <ls>MBH. 3,2727.</ls> {#hitAnudarSane#} <ls>R. 5,76,22.</ls> <ls>BHĀG. P. 3,25,26.</ls> {#jIvitahftO#} <ls>Spr. 1140.</ls> {#dvizatAM vaDe#} <ls>R. 3,71,16.</ls> {#piturvinigrahe#} <ls>R. GORR. 2,20,46.</ls> <ls>BHAṬṬ. 5,29.</ls> {#saMsidDO#} <ls>BHAG. 6,43.</ls> {#arTasidBO Darme yatitumarhasi#} <ls>R. GORR. 2,20,11.</ls> <ls>MBH. 4,680.</ls> {#sidDe 'nyaTArTe na yateta#} <ls>BHĀG. P. 2,2,3.</ls> {#nalasyAnayane yata#} <ls>MBH. 3,2722.</ls> <ls>MĀRK. P. 69,26.</ls> <ls n=""MĀRK. P."">126,3.</ls> <ls n=""MĀRK. P."">132,10.</ls> {#yatizyati mahABaye#} <ls>R. 4,14,29.</ls> {#svAdvanne na tu yatyatAm#} (<ab>impers.</ab>) <ls>Spr. 795.</ls>","a) with <ab>loc.</ab>: {#yataDvaM nalamArgaRe#} <ls>MBH. 3,2727.</ls> {#hitAnudarSane#} <ls>R. 5,76,22.</ls> <ls>BHĀG. P. 3,25,26.</ls> {#jIvitahftO#} <ls>Spr. 1140.</ls> {#dvizatAM vaDe#} <ls>R. 3,71,16.</ls> {#piturvinigrahe#} <ls>R. GORR. 2,20,46.</ls> <ls>BHAṬṬ. 5,29.</ls> {#saMsidDO#} <ls>BHAG. 6,43.</ls> {#arTasidBO Darme yatitumarhasi#} <ls>R. GORR. 2,20,11.</ls> <ls>MBH. 4,680.</ls> {#sidDe 'nyaTArTe na yateta#} <ls>BHĀG. P. 2,2,3.</ls> {#nalasyAnayane yata#} <ls>MBH. 3,2722.</ls> <ls>MĀRK. P. 69,26.</ls> <ls n=""MĀRK. P."">126,3.</ls> <ls n=""MĀRK. P."">132,10.</ls> {#yatizyati mahABaye#} <ls>R. 4,14,29.</ls> {#svAdvanne na tu yatyatAm#} (<ab>impers.</ab>) <ls>Spr. 795.</ls>",,
40,nipat,"<div n=""1"">— 3) {%gerathen in%}: {#(AKuH) nipatito naktaM muKe BoginaH#}
<ls>BHARTṚ. 2,82.</ls> {#eko bahUnAM mUrKARaM maDye nipatito buDaH#}
<ls>KATHĀS. 32,56.</ls>","<div n=""1"">— 3) to fall into, get into: {#(AKuH) nipatito naktaM muKe BoginaH#}
<ls>BHARTṚ. 2,82.</ls> {#eko bahUnAM mUrKARaM maDye nipatito buDaH#}
<ls>KATHĀS. 32,56.</ls>",,
41,paribhuj,"<div n=""p"">— {#pari#}
<div n=""1""> 1) {%Etwas%} (<ab>acc.</ab>) {%vorweg essen%}: {#parocCizwaM ca yadBuktaM pariBuktaM ca yadBavet#}
<ls>MBH. 13,1579.</ls>","<div n=""p"">— {#pari#}
<div n=""1""> 1) to eat something (<ab>acc.</ab>) in advance, to eat first: {#parocCizwaM ca yadBuktaM pariBuktaM ca yadBavet#}
<ls>MBH. 13,1579.</ls>",,
